Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty,,,,,,,,
Bluewater,81.10%,,8.22%,0.27%,0.14%,5.48%,4.79%,15.21%,$30,600.00,$31,339.00,$25,833.00,$21,250.00,$16,525.00,7.00%,10.80%,21.60%,7.70%,,,,,,,,
Bouse,95.61%,0.33%,1.30%,0.16%,0.33%,0.81%,1.46%,4.55%,$19,479.00,$27,935.00,$36,250.00,$20,536.00,$13,623.00,9.90%,21.00%,47.40%,12.30%,,,,,,,,
Bowie,,,,,,,,,,,,,,,,,,,,,,,,,
Brenda,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce,,,,,,,,,,,,,,,,,,,,,,,,,
Buckeye,72.54%,3.37%,1.71%,0.44%,0.08%,19.34%,2.52%,36.65%,$35,383.00,$39,194.00,$32,357.00,$24,901.00,$15,627.00,16.20%,18.80%,27.60%,13.30%,,,,,,,,
Buckshot,92.20%,0.70%,3.30%,,,2.00%,2.00%,29.40%,,,,,,,,,,,,,,,,,
Bullhead City,81.90%,1.30%,1.10%,1.40%,0.10%,11.20%,3.00%,23.70%,$37,492.00,$45,269.00,,,$21,366.00,14.10%,20.50%,40.20%,5.40%,,,,,,,,
Burnside,7.12%,,91.77%,,,0.63%,0.47%,0.63%,$24,063.00,$25,441.00,$18,661.00,$21,389.00,$8,236.00,30.60%,38.90%,48.40%,13.20%,,,,,,,,
Bylas,,,,,,,,,,,,,,,,,,,,,,,,,
Cactus Flats,,,,,,,,,,,,,,,,,,,,,,,,,
Cactus Forest,86.70%,1.52%,4.38%,0.17%,,4.71%,2.53%,21.38%,,,,,,,,,,,,,,,,,
Cameron,1.74%,0.10%,94.68%,0.10%,,0.82%,2.56%,4.09%,$24,773.00,$21,420.00,$21,786.00,$12,614.00,$5,970.00,38.00%,36.50%,42.00%,52.80%,,,,,,,,
Camp Verde,85.05%,0.35%,7.31%,0.22%,0.14%,4.70%,2.23%,10.94%,$31,868.00,$37,049.00,$30,104.00,$20,306.00,$15,072.00,9.50%,14.00%,21.20%,6.10%,,,,,,,,
Campo Bonito,90.54%,,,,,5.41%,4.05%,18.92%,,,,,,,,,,,,,,,,,
Cane Beds,94.40%,0.70%,2.20%,0.20%,,,1.30%,2.00%,,,,,,,,,,,,,,,,,
Canyon Day,1.01%,,98.53%,,,0.18%,0.27%,0.64%,$20,987.00,$22,633.00,$25,469.00,$17,813.00,$6,940.00,32.20%,40.00%,46.50%,8.00%,,,,,,,,
Carefree,98.40%,0.20%,1.00%,1.00%,,1.00%,0.60%,2.70%,$88,702.00,$105,699.00,$61,050.00,$38,750.00,$62,433.00,2.00%,3.20%,1.20%,3.20%,,,,,,,,
Carrizo,,,,,,,,,,,,,,,,,,,,,,,,,
Casa Blanca,1.01%,0.29%,96.04%,0.14%,,0.94%,1.59%,13.04%,,,,,,,,,,,,,,,,,
Casa Grande,49.90%,4.27%,4.91%,1.17%,0.10%,21.09%,3.56%,39.13%,$36,212.00,$40,827.00,$34,858.00,$23,533.00,$15,917.00,12.40%,16.00%,21.20%,12.30%,,,,,,,,
Casas Adobes,88.67%,1.65%,0.66%,2.18%,0.06%,4.47%,2.31%,13.76%,$49,736.00,$57,926.00,$40,323.00,$29,892.00,$24,230.00,3.90%,5.30%,5.20%,5.00%,,,,,,,,
Catalina Foothills,91.35%,1.21%,0.49%,3.24%,0.09%,1.73%,1.88%,7.55%,$65,657.00,$82,675.00,$61,697.00,$37,077.00,$42,006.00,2.40%,4.30%,3.80%,3.20%,,,,,,,,
Catalina,85.21%,0.54%,1.44%,0.40%,0.16%,9.71%,2.55%,23.67%,$37,482.00,$41,114.00,$26,490.00,$22,667.00,$16,588.00,7.90%,9.70%,9.40%,3.80%,,,,,,,,
Cave Creek,94.98%,0.30%,0.19%,0.43%,0.05%,2.60%,1.45%,7.05%,$59,938.00,$76,549.00,$50,399.00,$31,607.00,$38,070.00,6.00%,7.70%,12.90%,7.30%,,,,,,,,
Cedar Creek,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial Park,94.60%,0.20%,,0.20%,0.10%,2.00%,2.90%,5.10%,,,,,,,,,,,,,,,,,
Central Heights-Midland City,87.16%,0.04%,1.04%,0.22%,0.22%,9.21%,2.12%,25.43%,$30,577.00,$35,729.00,$41,042.00,$20,139.00,$13,814.00,14.90%,16.70%,21.70%,14.80%,,,,,,,,
Central,,,,,,,,,,,,,,,,,,,,,,,,,
Chandler,73.30%,4.80%,1.50%,8.20%,0.20%,8.30%,,21.90%,$70,456.00,$81,720.00,$44,578.00,$31,763.00,$23,904.00,4.60%,6.60%,7.70%,8.00%,,,,,,,,
Charco,,,98.10%,,,1.90%,,11.50%,,,,,,,,,,,,,,,,,
Chiawuli Tak,,,100.00%,,,,,2.60%,,,,,,,,,,,,,,,,,
Chilchinbito,1.30%,,98.70%,,,,,0.00%,$30,529.00,$31,010.00,$19,688.00,$18,516.00,$5,495.00,36.80%,49.50%,42.00%,100.00%,,,,,,,,
Chinle,6.39%,0.19%,91.28%,0.17%,0.04%,0.60%,1.34%,1.83%,$27,324.00,$26,182.00,$25,321.00,$22,663.00,$8,755.00,40.40%,43.50%,52.60%,46.90%,,,,,,,,
Chino Valley,94.07%,0.23%,0.94%,0.15%,0.08%,2.59%,1.94%,9.78%,$32,289.00,$35,013.00,$27,160.00,$21,667.00,$15,555.00,12.60%,15.50%,20.20%,13.50%,,,,,,,,
Chloride,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Creek,,,,,,,,,,,,,,,,,,,,,,,,,
Chuichu,0.88%,,98.23%,,,,0.88%,5.60%,$40,179.00,$42,143.00,$31,429.00,$19,583.00,$7,574.00,12.90%,22.10%,15.80%,28.60%,,,,,,,,
Cibecue,2.63%,0.08%,96.02%,0.15%,,0.23%,0.90%,2.03%,$12,286.00,$13,750.00,$52,639.00,$21,591.00,$5,941.00,55.70%,68.70%,72.50%,70.90%,,,,,,,,
Cibola,75.58%,3.49%,6.40%,,,11.63%,2.91%,33.72%,$21,719.00,$43,250.00,$60,313.00,$17,500.00,$15,772.00,0.00%,12.60%,0.00%,26.70%,,,,,,,,
Cienega Springs,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Park,87.31%,1.71%,0.77%,1.46%,0.10%,6.85%,1.79%,17.92%,,,,,,,,,,,,,,,,,
Clacks Canyon,94.20%,,,0.60%,,3.50%,1.70%,3.50%,,,,,,,,,,,,,,,,,
Clarkdale,84.51%,0.29%,6.81%,0.35%,0.06%,5.41%,2.57%,11.81%,$34,911.00,$41,250.00,$28,824.00,$21,811.00,$18,441.00,7.40%,10.30%,10.90%,7.00%,,,,,,,,
Clay Springs,,,,,,,,,,,,,,,,,,,,,,,,,
Claypool,78.48%,0.95%,1.56%,0.11%,,15.83%,3.07%,41.03%,$34,196.00,$47,593.00,$33,571.00,$23,661.00,$16,246.00,6.40%,12.10%,16.40%,15.00%,,,,,,,,
Clifton,67.10%,0.96%,2.27%,0.04%,,26.73%,2.89%,55.86%,$39,786.00,$41,820.00,$39,813.00,$19,485.00,$15,313.00,8.10%,11.50%,12.40%,10.30%,,,,,,,,
Cochise County,78.50%,4.20%,1.20%,1.90%,0.30%,9.90%,4.00%,32.40%,$44,876.00,$53,077.00,$42,164.00,$31,019.00,$23,010.00,11.80%,15.70%,23.20%,10.70%,,,,,,,,
Coconino County,61.70%,1.20%,27.30%,1.40%,0.10%,5.20%,3.10%,13.50%,$49,510.00,$58,841.00,$42,331.00,$31,869.00,$22,632.00,11.60%,18.60%,22.50%,13.80%,,,,,,,,
Colorado City,96.85%,0.18%,,0.09%,0.21%,1.77%,0.90%,2.91%,$32,826.00,$32,344.00,$24,429.00,$22,969.00,$5,293.00,29.00%,31.90%,34.50%,6.30%,,,,,,,,
Colorado River Indian Reservation,,,,,,,,,,,,,,,,,,,,,,,,,
Comobabi,,,100.00%,,,,,0.00%,,,,,,,,,,,,,,,,,
Concho,,,,,,,,,,,,,,,,,,,,,,,,,
Congress,95.92%,,0.52%,0.06%,,1.81%,1.69%,7.98%,$27,868.00,$32,250.00,$25,588.00,$19,000.00,$15,926.00,10.00%,12.40%,17.80%,10.60%,,,,,,,,
Coolidge,57.85%,8.30%,5.63%,0.72%,0.05%,23.58%,3.88%,39.20%,$29,049.00,$33,536.00,$29,159.00,$21,472.00,$13,663.00,20.90%,24.70%,30.90%,20.50%,,,,,,,,
Copper Hill,,,,,,,,,,,,,,,,,,,,,,,,,
Cordes Lakes,96.50%,0.15%,0.87%,0.15%,0.24%,0.68%,1.41%,6.17%,$29,097.00,$32,300.00,$27,692.00,$16,250.00,$13,720.00,12.60%,17.70%,37.20%,7.10%,,,,,,,,
Cornfields,,,,,,,,,,,,,,,,,,,,,,,,,
Cornville,93.22%,0.39%,0.84%,0.60%,0.06%,2.70%,2.19%,9.12%,$36,992.00,$42,333.00,$31,567.00,$21,653.00,$16,500.00,11.00%,15.90%,19.50%,8.70%,,,,,,,,
Corona de Tucson,95.20%,0.25%,0.37%,0.37%,0.12%,1.72%,1.97%,6.77%,$52,813.00,$61,375.00,$49,722.00,$31,250.00,$28,304.00,0.00%,1.00%,0.00%,0.00%,,,,,,,,
Cottonwood, Apache County,,,,,,,,,,,,,,,,,,,,,,,,,
Cottonwood,85.24%,0.49%,1.57%,0.41%,0.03%,9.66%,2.59%,20.53%,$27,444.00,$37,794.00,$24,308.00,$19,977.00,$17,518.00,8.90%,13.50%,19.50%,11.30%,,,,,,,,
Cowlic,,,,,,,,,,,,,,,,,,,,,,,,,
Crozier,92.90%,,,,,7.10%,,7.10%,,,,,,,,,,,,,,,,,
Crystal Beach,92.50%,,1.80%,,,1.10%,4.70%,7.50%,,,,,,,,,,,,,,,,,
Cutter,,,,,,,,,,,,,,,,,,,,,,,,,
Dateland,,,,,,,,,,,,,,,,,,,,,,,,,
Deer Creek,,,,,,,,,,,,,,,,,,,,,,,,,
Del Muerto,,,,,,,,,,,,,,,,,,,,,,,,,
Dennehotso,0.82%,,98.64%,,,,0.54%,0.27%,$19,844.00,$21,944.00,$27,143.00,$16,250.00,$5,445.00,37.00%,40.60%,47.90%,28.90%,,,,,,,,
Desert Hills,93.08%,0.14%,0.55%,0.37%,,4.44%,1.42%,9.30%,$26,678.00,$32,685.00,$21,690.00,$20,433.00,$14,322.00,10.50%,14.10%,14.40%,11.00%,,,,,,,,
Dewey-Humboldt,96.43%,0.22%,0.59%,0.33%,0.03%,1.49%,0.91%,5.21%,$36,839.00,$41,232.00,$35,446.00,$22,484.00,$20,326.00,4.80%,8.70%,14.90%,6.20%,,,,,,,,
Dilkon,1.58%,0.00%,97.00%,0.00%,0.00%,0.40%,1.03%,1.82%,$16,146.00,$14,966.00,$16,786.00,$18,846.00,$5,949.00,56.10%,59.10%,65.80%,76.50%,,,,,,,,
Dolan Springs,93.63%,0.64%,0.86%,1.02%,0.05%,2.09%,1.71%,6.11%,$17,305.00,$23,750.00,$27,500.00,$18,365.00,$12,430.00,17.60%,24.50%,27.40%,16.20%,,,,,,,,
Doney Park,,,,,,,,,,,,,,,,,,,,,,,,,
Donovan Estates,53.40%,0.60%,0.50%,0.50%,0.40%,38.70%,5.80%,93.40%,,,,,,,,,,,,,,,,,
Douglas,68.20%,2.80%,1.70%,0.50%,0.10%,24.20%,2.60%,82.60%,,,,,,,,,,,,,,,,,
Dragoon,,,,,,,,,,,,,,,,,,,,,,,,,
Drexel Heights,58.60%,2.50%,2.30%,0.70%,0.10%,28.50%,4.30%,70.60%,,,,,,,,,,,,,,,,,
Dripping Springs,,,,,,,,,,,,,,,,,,,,,,,,,
Drysdale,55.90%,,1.80%,,,42.30%,,90.80%,,,,,,,,,,,,,,,,,
Dudleyville,61.98%,0.08%,2.12%,0.08%,0.30%,32.73%,2.72%,58.96%,$35,592.00,$37,200.00,$31,948.00,$25,800.00,$13,072.00,8.60%,13.60%,22.50%,7.90%,,,,,,,,
Duncan,81.77%,0.49%,0.86%,0.12%,,13.55%,3.20%,31.53%,$27,368.00,$33,750.00,$32,232.00,$18,333.00,$13,642.00,14.00%,16.50%,17.40%,23.20%,,,,,,,,
Eagar,87.08%,0.42%,3.35%,0.12%,0.35%,4.91%,3.77%,13.98%,$37,378.00,$41,250.00,$36,111.00,$21,274.00,$14,623.00,7.80%,7.40%,5.80%,10.00%,,,,,,,,
East Fork,0.45%,0.00%,99.55%,0.00%,0.00%,0.00%,0.00%,0.68%,$15,208.00,$20,000.00,$14,125.00,$16,034.00,$4,772.00,44.00%,53.90%,57.10%,72.50%,,,,,,,,
East Globe,,,,,,,,,,,,,,,,,,,,,,,,,
East Verde Estates,,,,,,,,,,,,,,,,,,,,,,,,,
Ehrenberg,82.76%,1.11%,1.62%,0.07%,0.07%,10.54%,3.83%,30.14%,$27,000.00,$28,000.00,$35,956.00,$18,100.00,$14,372.00,17.00%,22.70%,25.70%,17.90%,,,,,,,,
El Capitan,,,,,,,,,,,,,,,,,,,,,,,,,
El Mirage,66.26%,3.29%,0.85%,0.38%,0.05%,26.18%,2.98%,66.82%,$33,813.00,$33,468.00,$25,176.00,$19,192.00,$10,342.00,12.60%,15.90%,14.20%,22.00%,,,,,,,,
El Prado Estates,77.60%,0.80%,0.60%,1.20%,,17.10%,2.20%,84.50%,,,,,,,,,,,,,,,,,
Elephant Head,87.90%,,1.60%,1.50%,,6.50%,2.50%,26.60%,,,,,,,,,,,,,,,,,
Elfrida,,,,,,,,,,,,,,,,,,,,,,,,,
Elgin,91.59%,,2.91%,,,3.24%,2.27%,13.59%,$64,167.00,$66,250.00,$38,500.00,$21,250.00,$27,909.00,9.80%,13.30%,21.20%,7.40%,,,,,,,,
Eloy,41.00%,5.32%,4.48%,1.20%,0.11%,31.48%,4.71%,58.00%,$26,518.00,$28,494.00,$25,295.00,$21,088.00,$9,194.00,27.90%,31.90%,35.60%,24.60%,,,,,,,,
First Mesa,2.90%,0.00%,96.10%,0.00%,0.00%,0.20%,0.90%,2.50%,$19,605.00,$21,346.00,$37,000.00,$21,458.00,$7,897.00,36.50%,45.20%,45.50%,21.40%,,,,,,,,
Flagstaff,73.40%,1.90%,11.70%,1.90%,0.20%,7.30%,3.60%,18.40%,$37,146.00,$48,427.00,$31,973.00,$24,591.00,$18,637.00,10.60%,17.40%,17.60%,7.00%,,,,,,,,
Florence,82.20%,6.00%,4.50%,1.00%,0.30%,4.10%,2.00%,36.70%,$47,891.00,,,,,12.30%,16.80%,24.70%,10.60%,,,,,,,,
Flowing Springs,,,,,,,,,,,,,,,,,,,,,,,,,
Flowing Wells,84.21%,0.89%,1.46%,0.66%,0.05%,9.12%,3.61%,21.86%,$26,517.00,$31,786.00,$26,235.00,$21,972.00,$14,833.00,15.20%,17.10%,24.20%,9.80%,,,,,,,,
Fort Apache Indian Reservation,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Apache,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Defiance,4.53%,0.17%,92.86%,0.30%,0.02%,0.22%,1.90%,1.35%,$33,125.00,$35,448.00,$35,455.00,$24,522.00,$10,716.00,27.90%,29.50%,35.00%,32.50%,,,,,,,,
Fort Mohave,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Mojave Indian Reservation,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Valley,,,,,,,,,,,,,,,,,,,,,,,,,
Fortuna Foothills,90.06%,0.44%,0.70%,0.52%,0.07%,6.58%,1.62%,12.74%,$34,135.00,$37,031.00,$34,284.00,$24,576.00,$19,986.00,7.30%,10.60%,23.30%,5.60%,,,,,,,,
Franklin,,,,,,,,,,,,,,,,,,,,,,,,,
Fredonia,85.71%,1.06%,11.39%,,,0.39%,1.45%,1.45%,$30,288.00,$30,913.00,$24,904.00,$19,554.00,$13,309.00,12.30%,15.00%,25.40%,3.20%,,,,,,,,
Freedom Acres,,,,,,,,,,,,,,,,,,,,,,,,,
Gadsden,40.92%,,3.57%,0.31%,0.21%,53.62%,1.36%,93.81%,$21,000.00,$21,000.00,$18,365.00,$16,875.00,$6,562.00,41.70%,45.20%,51.80%,12.10%,,,,,,,,
Ganado,10.76%,0.13%,87.31%,0.13%,,1.13%,0.53%,2.39%,$38,958.00,$43,281.00,$36,250.00,$26,306.00,$7,500.00,10.30%,18.30%,29.80%,37.80%,,,,,,,,
Geronimo Estates,,,,,,,,,,,,,,,,,,,,,,,,,
Gila Bend,51.31%,1.31%,10.25%,0.35%,,32.42%,4.34%,52.63%,$26,895.00,$30,403.00,$25,284.00,$20,588.00,$10,793.00,22.20%,24.80%,29.30%,23.80%,,,,,,,,
Gila County,,,,,,,,,$37,580.00,$46,292.00,$41,698.00,$30,023.00,$19,600.00,11.60%,18.90%,27.40%,10.00%,,,,,,,,
Gila Crossing,3.38%,0.81%,84.06%,,,1.13%,10.63%,14.65%,,,,,,,,,,,,,,,,,
Gila River Indian Community,,,,,,,,,,,,,,,,,,,,,,,,,
Gisela,94.36%,,0.19%,,,2.26%,3.20%,5.64%,$24,044.00,$28,750.00,$31,328.00,$18,472.00,$15,974.00,5.80%,11.20%,17.50%,30.20%,,,,,,,,
Glendale,75.54%,4.70%,1.45%,2.74%,0.13%,11.97%,3.47%,24.84%,$45,015.00,$51,162.00,$35,901.00,$27,736.00,$19,124.00,8.80%,11.90%,15.30%,9.50%,,,,,,,,
Globe,77.60%,1.15%,3.10%,1.12%,0.04%,14.59%,2.40%,32.71%,$33,071.00,$42,280.00,$31,404.00,$21,952.00,$16,128.00,8.80%,11.40%,14.80%,8.40%,,,,,,,,
Gold Canyon,96.20%,0.30%,0.66%,0.48%,0.07%,1.36%,0.93%,3.53%,$57,705.00,$60,438.00,$47,727.00,$31,583.00,$35,010.00,2.80%,3.80%,10.60%,2.40%,,,,,,,,
Golden Shores,94.20%,0.30%,1.00%,0.30%,0.10%,2.30%,1.70%,7.70%,,,,,,,,,,,,,,,,,
Golden Valley,94.00%,0.51%,0.95%,0.73%,0.16%,1.82%,1.84%,8.04%,$27,857.00,$30,662.00,$26,319.00,$19,556.00,$13,948.00,10.60%,15.30%,22.30%,11.70%,,,,,,,,
Goodyear Village,5.47%,0.88%,91.03%,0.22%,,1.97%,1.59%,25.60%,,,,,,,,,,,,,,,,,
Goodyear,78.13%,5.20%,1.06%,1.71%,0.08%,10.87%,2.95%,20.80%,$57,492.00,$60,707.00,$40,702.00,$28,410.00,$22,506.00,3.60%,6.10%,8.70%,3.70%,,,,,,,,
Graham County,,,,,,,,,$41,683.00,$48,005.00,$41,732.00,$25,990.00,$15,644.00,15.90%,20.00%,26.30%,9.70%,,,,,,,,
Grand Canyon Village,73.70%,1.58%,18.84%,0.89%,0.27%,1.85%,2.88%,10.21%,$42,083.00,$53,676.00,$28,750.00,$23,565.00,$19,923.00,1.70%,4.80%,4.90%,0.00%,,,,,,,,
Grand Canyon West,100.00%,,,,,,,0.00%,,,,,,,,,,,,,,,,,
Greasewood,2.41%,,97.07%,,0.17%,0.17%,0.17%,0.69%,$16,583.00,$20,234.00,$28,333.00,$18,750.00,$5,490.00,42.20%,43.60%,47.50%,35.30%,,,,,,,,
Green Valley,98.35%,0.18%,0.19%,0.33%,0.05%,0.36%,0.54%,2.28%,$40,213.00,$48,369.00,$34,500.00,$25,932.00,$31,138.00,1.70%,3.00%,3.10%,2.80%,,,,,,,,
Greenlee County,,,,,,,,,$48,696.00,$51,729.00,$50,446.00,$34,171.00,$21,281.00,9.40%,13.50%,17.80%,13.20%,,,,,,,,
Greer,,,,,,,,,,,,,,,,,,,,,,,,,
Gu Oidak,,,100.00%,,,,,,$30,089.00,$30,931.00,$21,234.00,$19,282.00,$8,149.00,24.30%,26.70%,30.80%,42.40%,,,,,,,,
Guadalupe,17.46%,1.07%,44.19%,0.13%,0.21%,31.22%,5.72%,72.34%,,,,,,,,,,,,,,,,,
Hackberry,,,,,,,,,,,,,,,,,,,,,,,,,
Haigler Creek,,,,,,,,,,,,,,,,,,,,,,,,,
Haivana Nakya,,,99.00%,,,,1.00%,1.00%,,,,,,,,,,,,,,,,,
Hard Rock,1.10%,,94.70%,3.20%,,,5.30%,12.80%,$24,293.00,$26,964.00,$35,521.00,$22,500.00,$9,797.00,20.10%,27.30%,35.20%,14.90%,,,,,,,,
Havasupai Indian Reservation,,,,,,,,,,,,,,,,,,,,,,,,,
Hayden,56.95%,0.45%,1.68%,,0.56%,35.09%,5.27%,84.53%,,,,,,,,,,,,,,,,,
Heber-Overgaard,90.20%,0.20%,2.10%,0.30%,0.20%,4.50%,2.50%,11.60%,$29,609.00,$12,194.00,$51,746.00,$31,518.00,$12,893.00,24.70%,25.10%,36.20%,0.00%,,,,,,,,
Holbrook,59.28%,2.36%,24.00%,1.04%,,8.38%,4.94%,23.35%,$31,746.00,$36,349.00,$30,797.00,$24,088.00,$13,912.00,16.60%,20.10%,25.70%,3.20%,,,,,,,,
Hondah,3.30%,0.20%,92.70%,0.20%,,0.40%,3.10%,5.00%,,,,,,,,,,,,,,,,,
Hopi Reservation,,,,,,,,,,,,,,,,,,,,,,,,,
Hotevilla-Bacavi,3.78%,,95.96%,,,,0.26%,1.04%,$13,750.00,$18,500.00,$12,174.00,$19,095.00,$5,975.00,58.90%,69.40%,78.20%,41.40%,,,,,,,,
Houck,2.21%,0.09%,95.58%,0.09%,,,2.02%,1.01%,$12,353.00,$20,208.00,$18,750.00,$22,788.00,$5,219.00,53.80%,53.50%,55.70%,51.40%,,,,,,,,
Huachuca City,75.39%,6.80%,2.68%,1.48%,0.23%,8.17%,5.25%,16.28%,$26,311.00,$33,938.00,$26,685.00,$20,179.00,$14,378.00,13.80%,19.30%,24.60%,14.70%,,,,,,,,
Hualapai Indian Reservation,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Creek,,,,,,,,,,,,,,,,,,,,,,,,,
Icehouse Canyon,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Wells,1.30%,0.10%,97.50%,,,0.04%,1.10%,0.90%,,,,,,,,,,,,,,,,,
Jakes Corner,,,,,,,,,,,,,,,,,,,,,,,,,
Jeddito,6.41%,,92.56%,0.26%,,0.26%,0.51%,0.51%,$20,417.00,$12,778.00,$35,375.00,$30,469.00,$5,347.00,42.30%,45.50%,56.10%,25.00%,,,,,,,,
Joseph City,,,,,,,,,,,,,,,,,,,,,,,,,
Kachina Village,88.96%,0.34%,4.28%,0.30%,0.04%,4.77%,1.31%,9.72%,$45,703.00,$51,037.00,$34,375.00,$26,750.00,$17,849.00,4.40%,8.40%,10.50%,0.00%,,,,,,,,
