City,2010_White,2010_Black,2010_Native,2010_Asian,2010_PacIsle,2010_Other,2010_Mixed,2010_HispLat,2010_HH_Inc,2010_Fam_Inc,2010_Male_Inc,2010_Female_Inc,2010_PerCap_Inc,2010_Fam_Pov,2010_Pop_Pov,2010_Child_Pov,2010_Senior_Pov
Belk,97.20%,0.93%,,,,1.40%,0.47%,1.40%,"$32,188.00","$43,333.00","$30,313.00","$18,500.00","$16,848.00",2.80%,6.30%,11.50%,10.70%
Bellamy,8.30%,89.50%,,0.90%,,,,1.30%,,,,,,,,,
Belle Fontaine,,,,,,,,,,,,,,,,,
Belle Mina,,,,,,,,,,,,,,,,,
Belleville,,,,,,,,,,,,,,,,,
Bellwood,,,,,,,,,,,,,,,,,
Benton,76.60%,23.40%,,,,,,,"$90,000.00","$92,113.00","$41,250.00","$26,875.00","$28,035.00",7.70%,7.50%,14.30%,0.00%
Berry,90.80%,7.40%,0.00%,,,0.60%,1.20%,0.80%,"$20,792.00","$32,350.00","$26,346.00","$26,250.00","$12,960.00",20.80%,27.10%,19.90%,29.60%
Bessemer,28.93%,69.55%,0.28%,0.18%,0.02%,0.30%,0.74%,1.14%,"$23,066.00","$28,230.00","$29,413.00","$21,552.00","$12,232.00",24.20%,27.20%,37.80%,24.70%
Beulah,,,,,,,,,,,,,,,,,
Big Cove,,,,,,,,,,,,,,,,,
Bigbee,,,,,,,,,,,,,,,,,
Billingsley,90.52%,6.03%,1.72%,,1.72%,,,,"$44,688.00","$46,000.00","$30,625.00","$15,750.00","$14,713.00",10.00%,11.70%,14.80%,4.80%
Birmingham,22.30%,73.40%,0.20%,1.00%,0.00%,2.10%,1.00%,3.60%,"$31,898.00","$38,776.00","$36,031.00","$30,367.00","$19,962.00",22.50%,27.30%,41.90%,18.30%
Birmingport,,,,,,,,,,,,,,,,,
Black,94.06%,5.45%,0.50%,,,,,,"$31,250.00","$36,250.00","$27,857.00","$15,924.00","$12,628.00",13.20%,19.20%,32.40%,8.00%
Bladon Springs,,,,,,,,,,,,,,,,,
Blount Springs,,,,,,,,,,,,,,,,,
Blountsville,87.30%,0.70%,1.00%,0.40%,0.90%,8.80%,1.00%,15.30%,"$25,238.00","$41,042.00","$23,839.00","$24,940.00","$15,372.00",13.00%,18.20%,16.00%,20.10%
Blue Ridge,94.50%,2.70%,0.70%,0.90%,0.10%,,0.90%,1.00%,"$84,135.00","$85,066.00","$69,141.00","$46,029.00","$40,625.00",0.00%,,0.00%,0.00%
Blue Springs,99.17%,0.83%,,,,,,,"$38,000.00","$38,250.00","$27,000.00","$21,500.00","$17,224.00",6.50%,4.30%,0.00%,33.30%
Bluff,,,,,,,,,,,,,,,,,
Boaz,87.30%,1.80%,0.40%,0.70%,0.30%,7.90%,1.60%,14.20%,"$31,172.00","$42,973.00","$32,446.00","$27,924.00","$17,697.00",11.70%,16.00%,24.10%,17.10%
Boligee,10.57%,88.89%,,,,,0.54%,1.90%,"$15,000.00","$16,146.00","$23,750.00","$21,000.00","$7,909.00",41.40%,44.90%,63.30%,10.30%
Bolinger,,,,,,,,,,,,,,,,,
Bolling,,,,,,,,,,,,,,,,,
Bon Air,93.75%,6.25%,,,,,,,"$33,125.00","$36,667.00","$30,000.00","$17,083.00","$13,075.00",13.30%,29.00%,59.10%,22.20%
Bon Secour,96.40%,,1.70%,,,0.30%,1.70%,1.00%,,,,,,,,,
Booth,,,,,,,,,,,,,,,,,
Boykin,,,,,,,,,,,,,,,,,
Bradford,,,,,,,,,,,,,,,,,
Bradley,,,,,,,,,,,,,,,,,
Braggs,,,,,,,,,,,,,,,,,
Branchville,97.09%,0.36%,1.21%,,,0.48%,0.85%,1.94%,"$40,438.00","$43,594.00","$35,313.00","$32,639.00","$20,541.00",6.50%,7.80%,10.10%,5.30%
Brantley,59.35%,40.22%,0.43%,,,,,0.11%,"$21,574.00","$30,078.00","$26,063.00","$20,000.00","$14,108.00",18.80%,24.60%,33.50%,25.60%
Brantleyville,,,,,,,,,,,,,,,,,
Bremen,92.60%,5.98%,,,,1.00%,1.00%,1.00%,,,,,,,,,
Brent,45.10%,53.50%,0.10%,0.00%,,0.50%,0.60%,2.10%,"$35,044.00","$42,440.00","$43,211.00","$22,010.00","$16,799.00",14.90%,18.60%,25.10%,38.40%
Brewton,54.10%,42.60%,0.70%,0.40%,,1.10%,1.00%,2.20%,"$34,390.00","$49,554.00","$35,233.00","$28,879.00","$20,467.00",19.60%,22.30%,41.30%,7.90%
Bridgeport,84.00%,8.60%,1.90%,0.20%,,1.20%,4.10%,1.70%,"$36,282.00","$43,239.00","$44,188.00","$28,944.00","$19,048.00",14.00%,16.00%,32.10%,4.60%
Brierfield,,,,,,,,,,,,,,,,,
Brighton,6.50%,81.00%,1.00%,0.00%,0.00%,10.80%,0.90%,13.80%,"$25,929.00","$31,472.00","$20,838.00","$28,250.00","$14,858.00",14.10%,16.60%,19.60%,21.90%
Brilliant,99.61%,,0.13%,,,,0.26%,0.66%,"$18,224.00","$27,857.00","$28,611.00","$15,703.00","$14,516.00",22.40%,26.50%,37.30%,27.00%
Bristow Cove,,,,,,,,,,,,,,,,,
Bromley,,,,,,,,,,,,,,,,,
Brook Highland,73.60%,16.20%,0.20%,4.40%,0.00%,3.50%,2.10%,7.80%,"$57,214.00","$116,498.00","$57,413.00","$41,948.00","$40,578.00",2.40%,4.70%,2.30%,0.00%
Brookside,79.50%,18.50%,0.30%,,,0.20%,1.40%,0.70%,"$41,848.00","$55,833.00","$50,473.00","$31,208.00","$21,486.00",13.10%,14.50%,13.30%,21.10%
Brooksville,,,,,,,,,,,,,,,,,
Brookwood,92.20%,5.30%,0.70%,0.10%,,0.40%,1.40%,2.00%,"$55,357.00","$66,944.00","$44,837.00","$31,118.00","$19,352.00",7.20%,10.60%,12.10%,5.20%
Broomtown,,,,,,,,,,,,,,,,,
Browns,,,,,,,,,,,,,,,,,
Brownsboro,,,,,,,,,,,,,,,,,
Brundidge,34.10%,62.90%,0.50%,0.60%,,,1.30%,3.00%,"$21,798.00","$29,073.00","$30,517.00","$19,315.00","$14,671.00",23.70%,33.50%,55.50%,21.30%
Bryant,95.60%,0.30%,1.50%,,,,1.90%,1.30%,,,,,"$20,113.00",,13.70%,,
Bucks,59.40%,31.30%,3.10%,,,,6.30%,3.10%,,,,,,,,,
Buena Vista,,,,,,,,,,,,,,,,,
Buhl,,,,,,,,,,,,,,,,,
Bull Slough,,,,,,,,,,,,,,,,,
Burkville,,,,,,,,,,,,,,,,,
Burmuda,,,,,,,,,,,,,,,,,
Burningtree Mountain,,,,,,,,,,,,,,,,,
Burnt Corn,,,,,,,,,,,,,,,,,
Burntout,,,,,,,,,,,,,,,,,
Burnwell,,,,,,,,,,,,,,,,,
Butler,71.40%,26.70%,0.20%,,,,0.70%,0.70%,"$43,173.00","$67,031.00","$49,194.00","$17,500.00","$21,284.00",7.80%,10.40%,14.60%,10.50%
Caddo,,,,,,,,,,,,,,,,,
Cahaba,,,,,,,,,,,,,,,,,
Calera,71.20%,23.00%,0.20%,0.60%,0.00%,2.90%,2.00%,5.00%,"$54,080.00","$62,117.00","$47,125.00","$37,888.00","$24,391.00",9.60%,12.60%,18.90%,7.80%
Calvert,,,,,,,,,,,,,,,,,
Camden,42.00%,57.40%,0.10%,,,0.10%,0.40%,0.70%,"$21,563.00","$37,031.00","$60,250.00","$23,380.00","$15,978.00",27.00%,31.60%,42.60%,15.60%
Camp Hill,10.20%,88.40%,,,,0.50%,0.80%,0.70%,"$18,663.00","$23,646.00","$27,083.00","$16,694.00","$12,627.00",37.20%,38.60%,55.80%,31.30%
Campbell,,,,,,,,,,,,,,,,,
Capshaw,,,,,,,,,,,,,,,,,
Carbon Hill,89.40%,8.20%,0.20%,,,0.60%,1.20%,1.20%,"$25,481.00","$36,298.00","$32,455.00","$25,417.00","$15,167.00",24.60%,26.20%,44.00%,27.90%
Cardiff,93.90%,6.10%,,,,,,,"$34,107.00","$45,000.00","$28,906.00","$18,125.00","$16,067.00",5.60%,8.10%,0.00%,0.00%
Carlisle-Rockledge,,,,,,,,,,,,,,,,,
Carlton,,,,,,,,,,,,,,,,,
Carolina,99.60%,0.40%,,,,,,0.40%,"$33,750.00","$37,708.00","$26,250.00","$16,750.00","$13,491.00",12.70%,10.40%,15.50%,15.40%
Carrollton,49.00%,43.10%,0.10%,,,3.60%,4.20%,10.40%,"$24,318.00","$29,612.00","$30,833.00","$18,333.00","$12,153.00",31.40%,38.50%,56.90%,26.10%
Castleberry,63.22%,35.59%,,,0.85%,,0.34%,,"$21,204.00","$30,000.00","$27,386.00","$17,143.00","$13,154.00",21.80%,26.60%,34.00%,29.20%
Catherine,,,,,,,,,,,,,,,,,
Cecil,,,,,,,,,,,,,,,,,
Cedar Bluff,86.20%,9.90%,0.70%,0.30%,,0.50%,2.40%,1.20%,"$35,143.00","$37,500.00","$31,016.00","$26,583.00","$19,469.00",22.80%,25.70%,41.00%,8.50%
Center Point,32.60%,62.90%,0.20%,0.40%,0.02%,2.80%,1.10%,4.80%,"$40,929.00","$46,427.00","$35,500.00","$25,544.00","$18,160.00",7.70%,9.50%,12.20%,9.60%
Centerville,,,,,,,,,,,,,,,,,
Centre,87.00%,9.90%,0.40%,0.30%,,0.30%,2.10%,1.20%,"$40,564.00","$44,665.00","$43,816.00","$24,043.00","$20,491.00",14.70%,21.80%,42.00%,1.80%
Centreville,72.20%,23.70%,0.30%,0.40%,,2.40%,1.10%,3.00%,"$31,642.00","$58,000.00","$37,614.00","$17,088.00","$18,172.00",13.50%,15.90%,10.10%,1.10%
Chancellor,,,,,,,,,,,,,,,,,
Chapman,,,,,,,,,,,,,,,,,
Chatom,68.20%,31.10%,0.00%,,,0.30%,0.40%,0.60%,"$23,250.00","$27,375.00","$47,500.00","$28,235.00","$13,431.00",28.30%,35.30%,56.30%,6.10%
Chelsea,90.50%,4.70%,0.30%,2.00%,0.10%,1.10%,1.30%,3.20%,"$67,083.00","$72,206.00","$46,071.00","$28,403.00","$24,717.00",5.50%,7.20%,8.40%,9.20%
Cherokee,77.60%,18.30%,0.50%,,,,2.30%,1.70%,"$36,875.00","$41,250.00","$37,581.00","$23,421.00","$18,038.00",20.50%,20.90%,36.10%,12.20%
Chickasaw,63.00%,33.60%,0.80%,0.50%,0.00%,0.90%,1.20%,2.30%,"$33,061.00","$40,625.00","$35,300.00","$25,369.00","$18,105.00",18.90%,20.70%,30.00%,11.00%
Childersburg,60.10%,36.90%,0.40%,0.50%,0.00%,0.30%,1.80%,1.30%,"$38,310.00","$41,646.00","$43,333.00","$25,450.00","$20,221.00",14.80%,14.20%,18.40%,24.80%
Choccolocco,,,,,,,,,,,,,,,,,
Chunchula,,,,,,,,,,,,,,,,,
Citronelle,70.70%,20.20%,4.90%,0.50%,,,2.20%,2.60%,"$31,739.00","$39,922.00","$32,200.00","$19,702.00","$16,455.00",12.00%,15.40%,21.10%,19.10%
Clanton,46.31%,46.01%,1.29%,0.33%,0.01%,1.29%,0.74%,2.64%,"$30,394.00","$37,568.00","$32,484.00","$20,344.00","$15,299.00",15.10%,19.50%,27.50%,14.00%
Claud,,,,,,,,,,,,,,,,,
Clay,84.10%,13.30%,0.30%,0.60%,,0.60%,1.10%,1.30%,"$70,273.00","$82,911.00","$52,800.00","$42,813.00","$28,000.00",1.70%,3.60%,4.70%,8.70%
Clayhatchee,92.42%,4.19%,0.60%,0.80%,,0.20%,1.80%,1.80%,"$30,156.00","$34,821.00","$26,354.00","$21,250.00","$17,959.00",15.60%,20.00%,31.20%,10.90%
Clayton,35.80%,63.80%,0.00%,,,0.00%,0.30%,0.60%,"$23,629.00","$17,778.00","$33,750.00","$26,964.00","$11,288.00",27.40%,29.30%,30.60%,26.30%
Cleveland,89.20%,0.30%,0.20%,,,8.60%,1.40%,18.40%,"$46,786.00","$53,818.00","$37,344.00","$25,313.00","$18,250.00",11.10%,15.50%,27.60%,12.70%
Clio,32.00%,36.50%,0.40%,0.50%,0.10%,30.20%,0.40%,36.00%,"$21,806.00","$33,438.00","$32,908.00","$25,625.00","$8,722.00",28.30%,28.00%,33.10%,19.10%
Clopton,,,,,,,,,,,,,,,,,
Cloverdale,,,,,,,,,,,,,,,,,
Coaling,86.42%,11.40%,0.06%,,,0.50%,0.81%,1.68%,"$45,662.00","$55,125.00","$31,371.00","$21,394.00","$18,664.00",0.00%,1.40%,0.00%,15.90%
Coats Bend,,,,,,,,,,,,,,,,,
Coden,,,,,,,,,,,,,,,,,
Coffee Springs,93.23%,3.98%,,,,,2.79%,,"$26,477.00","$30,000.00","$28,750.00","$15,833.00","$12,393.00",13.80%,17.10%,15.40%,25.30%
Coffeeville,61.11%,38.89%,,,,,,,"$19,545.00","$33,125.00","$29,000.00","$17,500.00","$16,886.00",18.80%,25.60%,42.20%,19.70%
Coker,95.20%,2.00%,0.20%,0.90%,,0.15%,0.10%,1.80%,"$41,184.00","$50,875.00","$40,250.00","$26,429.00","$18,543.00",6.60%,5.00%,6.70%,9.30%
Collinsville,44.90%,9.00%,1.10%,0.10%,2.10%,36.80%,3.00%,43.10%,"$21,964.00","$27,500.00","$20,114.00","$16,635.00","$13,042.00",22.20%,25.70%,33.30%,27.00%
Colony,5.71%,93.51%,0.26%,,,0.26%,0.26%,0.78%,"$32,708.00","$35,417.00","$24,821.00","$19,125.00","$12,415.00",12.00%,12.70%,8.50%,41.30%
Columbia,74.38%,24.50%,0.62%,,,0.12%,0.37%,0.50%,"$27,500.00","$36,339.00","$29,821.00","$18,393.00","$15,248.00",12.30%,18.00%,24.00%,18.60%
Columbiana,71.30%,25.10%,0.30%,0.20%,0.10%,1.60%,1.30%,3.00%,"$31,108.00","$56,411.00","$43,304.00","$34,583.00","$21,003.00",11.00%,16.20%,29.10%,9.20%
Concord,98.34%,0.28%,0.55%,0.22%,,0.28%,0.33%,0.28%,"$63,150.00","$55,129.00","$35,825.00","$26,406.00","$24,490.00",1.50%,2.40%,0.00%,8.00%
Cooks Springs,,,,,,,,,,,,,,,,,
