Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Big Creek Township, Marion County,,,,,,,,,,,,,,,,,
Big Creek Township, Newton County,,,,,,,,,,,,,,,,,
Big Creek Township, Phillips County,,,,,,,,,,,,,,,,,
Big Creek Township, Sebastian County,,,,,,,,,,,,,,,,,
Big Creek Township, Sharp County,,,,,,,,,,,,,,,,,
Big Creek Township, White County,,,,,,,,,,,,,,,,,
Big Flat Township, Baxter County,,,,,,,,,,,,,,,,,
Big Flat,100.00%,,,,,,,,$21,094.00,$24,375.00,$18,750.00,$61,250.00,$11,294.00,0.00%,11.30%,0.00%,34.80%
Big Fork Township, Montgomery County,,,,,,,,,,,,,,,,,
Big Fork Township, Polk County,,,,,,,,,,,,,,,,,
Big Lake Township County,,,,,,,,,,,,,,,,,
Big Rock Township, Pulaski County,,,,,,,,,,,,,,,,,
Big Spring Township, Izard County,,,,,,,,,,,,,,,,,
Big Springs Township, Marion County,,,,,,,,,,,,,,,,,
Bigelow,97.57%,0.61%,0.91%,0.61%,,,0.30%,2.43%,$32,000.00,$47,750.00,$27,500.00,$21,429.00,$16,574.00,11.00%,18.00%,32.10%,22.20%
Biggers,95.49%,1.97%,1.41%,,,0.28%,0.85%,0.28%,$26,250.00,$31,250.00,$19,821.00,$17,917.00,$10,926.00,13.50%,17.30%,18.90%,22.50%
Bird Township, Conway County,,,,,,,,,,,,,,,,,
Bird Township, Jackson County,,,,,,,,,,,,,,,,,
Birdsong,,100.00%,,,,,,,$6,806.00,$7,083.00,$18,750.00,$28,750.00,$9,363.00,57.10%,56.30%,0.00%,100.00%
Bismarck Township, Hot Spring County,,,,,,,,,,,,,,,,,
Black Fish Township, St. Francis County,,,,,,,,,,,,,,,,,
Black Fork Township, Scott County,,,,,,,,,,,,,,,,,
Black Oak Township, Craighead County,,,,,,,,,,,,,,,,,
Black Oak Township, Crittenden County,,,,,,,,,,,,,,,,,
Black Oak Township, Franklin County,,,,,,,,,,,,,,,,,
Black Oak,97.55%,0.35%,0.70%,0.70%,,0.70%,,0.70%,$22,353.00,$32,917.00,$26,042.00,$20,833.00,$13,237.00,10.70%,17.50%,27.10%,16.70%
Black River Township, Independence County,,,,,,,,,,,,,,,,,
Black River Township, Lawrence County,,,,,,,,,,,,,,,,,
Black Rock Township, Lawrence County,,,,,,,,,,,,,,,,,
Black Rock,99.02%,,0.14%,,,,0.84%,0.28%,$22,407.00,$26,917.00,$23,646.00,$16,806.00,$11,731.00,19.10%,19.40%,19.50%,20.90%
Black Springs,97.37%,,,,,,2.63%,,$27,000.00,$25,250.00,$26,875.00,$15,625.00,$12,312.00,16.10%,23.70%,34.80%,10.30%
Blackland Township, Howard County,,,,,,,,,,,,,,,,,
Blansett Township, Scott County,,,,,,,,,,,,,,,,,
Blevins,73.15%,14.25%,2.47%,,,7.67%,2.47%,18.36%,,,,,,,,,
Bloomer Township, Sebastian County,,,,,,,,,,,,,,,,,
Blue Bayou Township, Howard County,,,,,,,,,,,,,,,,,
Blue Cane Township, Clay County,,,,,,,,,,,,,,,,,
Blue Cane Township, Greene County,,,,,,,,,,,,,,,,,
Blue Eye,91.67%,,,,,,8.33%,,$21,875.00,$36,250.00,$21,000.00,$40,417.00,$15,358.00,0.00%,0.00%,,
Blue Mountain Township, Logan County,,,,,,,,,,,,,,,,,
Blue Mountain Township, Stone County,,,,,,,,,,,,,,,,,
Blue Mountain,100.00%,,,,,,,,$16,500.00,$23,750.00,$32,500.00,$21,667.00,$10,481.00,5.60%,19.30%,23.50%,3.80%
Blue Ridge Township, Howard County,,,,,,,,,,,,,,,,,
Bluff City,27.22%,71.52%,1.27%,,,,,,$25,500.00,$26,667.00,$37,917.00,$20,000.00,$14,358.00,19.00%,23.60%,33.30%,17.40%
Bluffton Township, Yell County,,,,,,,,,,,,,,,,,
Blythe Township, Boone County,,,,,,,,,,,,,,,,,
Blythe Township, Marion County,,,,,,,,,,,,,,,,,
Blytheville,45.15%,52.15%,0.19%,0.60%,0.07%,0.48%,1.38%,1.31%,$26,683.00,$32,816.00,$30,889.00,$20,710.00,$14,426.00,23.30%,28.60%,42.20%,17.40%
Boas Township, Lawrence County,,,,,,,,,,,,,,,,,
Bob Ward Township, Crittenden County,,,,,,,,,,,,,,,,,
Bodcaw Township, Hempstead County,,,,,,,,,,,,,,,,,
Bodcaw,98.70%,1.30%,,,,,,1.30%,$24,375.00,$45,313.00,$35,625.00,$28,125.00,$13,574.00,18.60%,21.90%,28.60%,6.90%
Bogy Township, Jefferson County,,,,,,,,,,,,,,,,,
Bohannon Township, Madison County,,,,,,,,,,,,,,,,,
Bois d'Arc Township, Hempstead County,,,,,,,,,,,,,,,,,
Bolivar Township, Jefferson County,,,,,,,,,,,,,,,,,
Bolivar Township, Poinsett County,,,,,,,,,,,,,,,,,
Bonanza,95.72%,,1.17%,,,0.19%,2.92%,1.95%,$30,809.00,$37,344.00,$30,368.00,$17,500.00,$13,407.00,6.70%,7.80%,9.20%,11.50%
Bono,97.69%,0.13%,0.26%,0.07%,,0.66%,1.19%,1.72%,$31,307.00,$33,618.00,$25,063.00,$18,426.00,$13,764.00,13.60%,15.20%,18.70%,13.80%
Boone County,97.60%,0.11%,0.71%,0.32%,0.02%,0.34%,0.90%,1.06%,$29,988.00,$34,974.00,$27,114.00,$19,229.00,$16,175.00,10.70%,14.80%,19.00%,12.90%
Boone Township, Logan County,,,,,,,,,,,,,,,,,
Boone Township, Union County,,,,,,,,,,,,,,,,,
Booneville,96.62%,0.05%,1.12%,0.27%,0.05%,0.17%,1.72%,0.87%,$26,627.00,$31,012.00,$25,238.00,$20,092.00,$13,076.00,13.10%,18.40%,22.00%,23.90%
Boston Township, Franklin County,,,,,,,,,,,,,,,,,
Boston Township, Madison County,,,,,,,,,,,,,,,,,
Boston Township, Newton County,,,,,,,,,,,,,,,,,
Boston Township, Washington County,,,,,,,,,,,,,,,,,
Boughton Township, Nevada County,,,,,,,,,,,,,,,,,
Bowen Township, Madison County,,,,,,,,,,,,,,,,,
Bowen Township County,,,,,,,,,,,,,,,,,
Bowie Township, Chicot County,,,,,,,,,,,,,,,,,
Bowie Township, Desha County,,,,,,,,,,,,,,,,,
Bowman Township, Cleveland County,,,,,,,,,,,,,,,,,
Bradford,98.75%,0.12%,0.62%,,,0.25%,0.25%,1.38%,$22,381.00,$29,479.00,$24,400.00,$18,214.00,$12,953.00,8.40%,18.70%,23.30%,14.90%
Bradley County,53.36%,39.63%,0.24%,0.06%,0.01%,4.91%,0.75%,4.25%,,,,,,,,,
Bradley Township, Ouachita County,,,,,,,,,,,,,,,,,
Bradley Township, Van Buren County,,,,,,,,,,,,,,,,,
Bradley,46.36%,52.40%,,0.36%,,,0.89%,0.71%,$14,375.00,$19,306.00,$21,719.00,$14,688.00,$2,455.00,43.90%,49.60%,66.50%,42.20%
Bradshaw Township, Clay County,,,,,,,,,,,,,,,,,
Bragg Township, Ouachita County,,,,,,,,,,,,,,,,,
Branch,96.08%,,1.68%,0.84%,,0.56%,0.84%,0.56%,$29,531.00,$33,750.00,$21,875.00,$17,266.00,$15,317.00,6.90%,9.90%,16.90%,0.00%
Brawley Township, Scott County,,,,,,,,,,,,,,,,,
Breckenridge Township, Greene County,,,,,,,,,,,,,,,,,
Breckenridge Township, Jackson County,,,,,,,,,,,,,,,,,
Brewer Township County,,,,,,,,,,,,,,,,,
Brewer Township, Howard County,,,,,,,,,,,,,,,,,
Brewer Township, Pike County,,,,,,,,,,,,,,,,,
Briarcliff,97.92%,,0.83%,,,,1.25%,,$26,875.00,$32,188.00,$26,000.00,$16,250.00,$16,420.00,9.00%,13.70%,21.70%,5.10%
Bridge Creek Township, Ouachita County,,,,,,,,,,,,,,,,,
Briggsville Township, Yell County,,,,,,,,,,,,,,,,,
Brightwater Township, Benton County,,,,,,,,,,,,,,,,,
Brinkley Township, Monroe County,,,,,,,,,,,,,,,,,
Brinkley,49.09%,49.05%,0.18%,0.30%,0.05%,0.30%,1.62%,1.12%,$19,868.00,$27,820.00,$26,117.00,$16,714.00,$12,441.00,23.80%,30.90%,38.60%,18.70%
Bristol Township, Faulkner County,,,,,,,,,,,,,,,,,
Bristow Township, Randolph County,,,,,,,,,,,,,,,,,
Brookland Township, Craighead County,,,,,,,,,,,,,,,,,
Brookland,97.52%,0.68%,0.38%,,,0.68%,0.75%,1.05%,$33,125.00,$37,500.00,$27,471.00,$18,864.00,$13,744.00,7.00%,11.10%,17.40%,18.70%
Brown Springs Township, Hot Spring County,,,,,,,,,,,,,,,,,
Brown Township, Clay County,,,,,,,,,,,,,,,,,
Brown Township, Monroe County,,,,,,,,,,,,,,,,,
Brush Creek Township, Washington County,,,,,,,,,,,,,,,,,
Brushy Lake Township, Cross County,,,,,,,,,,,,,,,,,
Bryan Township, Boone County,,,,,,,,,,,,,,,,,
Bryan Township, Greene County,,,,,,,,,,,,,,,,,
Bryan Township, Izard County,,,,,,,,,,,,,,,,,
Bryan Township, Jackson County,,,,,,,,,,,,,,,,,
Bryan Township, Stone County,,,,,,,,,,,,,,,,,
Bryant Township, Saline County,,,,,,,,,,,,,,,,,
Bryant,95.20%,1.50%,0.34%,1.05%,,0.37%,0.84%,1.05%,$48,870.00,$56,038.00,$39,380.00,$26,261.00,$20,730.00,3.50%,4.80%,6.10%,8.00%
Buck Range Township, Howard County,,,,,,,,,,,,,,,,,
Buckhorn Township, Baxter County,,,,,,,,,,,,,,,,,
Buckhorn Township, Sevier County,,,,,,,,,,,,,,,,,
Buckner,52.53%,45.20%,0.76%,0.51%,,,1.01%,0.51%,$24,063.00,$25,179.00,$21,875.00,$15,625.00,$10,192.00,19.10%,25.80%,43.50%,21.70%
Buffalo Township, Craighead County,,,,,,,,,,,,,,,,,
Buffalo Township, Marion County,,,,,,,,,,,,,,,,,
Buford Township, Baxter County,,,,,,,,,,,,,,,,,
