Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Ewing Township, Boone County,,,,,,,,,,,,,,,,,
Extra Township, Ashley County,,,,,,,,,,,,,,,,,
Fair Oaks Township, Cross County,,,,,,,,,,,,,,,,,
Fairfield Bay,98.41%,0.53%,0.16%,0.24%,,,0.65%,0.53%,$35,089.00,$42,419.00,$30,337.00,$21,625.00,$24,900.00,4.80%,7.10%,20.10%,3.40%
Fairplay Township, Saline County,,,,,,,,,,,,,,,,,
Fairview Township, Independence County,,,,,,,,,,,,,,,,,
Fargo,53.39%,45.76%,,,,0.85%,,,$24,375.00,$28,750.00,$19,583.00,$21,250.00,$8,634.00,26.50%,30.00%,31.80%,72.70%
Farmington Township, Washington County,,,,,,,,,,,,,,,,,
Farmington,94.01%,0.64%,1.75%,0.25%,,0.94%,2.41%,2.19%,$38,969.00,$43,472.00,$30,317.00,$21,250.00,$15,387.00,5.20%,7.50%,7.30%,12.10%
Farris Township, Stone County,,,,,,,,,,,,,,,,,
Faulkner County,88.33%,8.48%,0.52%,0.72%,0.03%,0.68%,1.23%,1.75%,$38,204.00,$45,946.00,$32,288.00,$24,428.00,$17,988.00,7.90%,12.50%,12.90%,12.00%
Faulkner Township, Polk County,,,,,,,,,,,,,,,,,
Fayette Township, Calhoun County,,,,,,,,,,,,,,,,,
Fayetteville Township, Washington County,,,,,,,,,,,,,,,,,
Fayetteville,89.80%,4.00%,0.80%,1.10%,0.20%,2.80%,3.10%,6.40%,$31,393.00,$62,258.00,$42,004.00,$29,373.00,$26,267.00,26.90%,38.70%,19.00%,17.30%
Felker Township, Benton County,,,,,,,,,,,,,,,,,
Felsenthal,79.61%,16.45%,,,,2.63%,1.32%,3.95%,$31,000.00,$35,417.00,$45,833.00,$17,292.00,$16,975.00,2.40%,11.50%,16.00%,21.20%
Fenter Township, Grant County,,,,,,,,,,,,,,,,,
Fenter Township, Hot Spring County,,,,,,,,,,,,,,,,,
Ferguson Township, Yell County,,,,,,,,,,,,,,,,,
Fifty-Six,97.55%,,2.45%,,,,,1.84%,,,,,,,,,
Fisher,95.85%,1.51%,,,,2.26%,0.38%,2.64%,$19,286.00,$24,500.00,$22,500.00,$12,656.00,$10,334.00,24.40%,29.20%,29.80%,34.30%
Flag Township, Stone County,,,,,,,,,,,,,,,,,
Flat Creek Township, Lawrence County,,,,,,,,,,,,,,,,,
Fleener Township, Lee County,,,,,,,,,,,,,,,,,
Fletcher Township, Lonoke County,,,,,,,,,,,,,,,,,
Fletcher Township County,,,,,,,,,,,,,,,,,
Flint Township, Benton County,,,,,,,,,,,,,,,,,
Flippin,95.87%,0.44%,1.11%,0.29%,,0.07%,2.21%,0.81%,,,,,,,,,
Fogleman Township, Crittenden County,,,,,,,,,,,,,,,,,
Fordyce Township, Dallas County,,,,,,,,,,,,,,,,,
Fordyce,48.61%,49.66%,0.19%,0.42%,,0.75%,0.38%,1.19%,$23,297.00,$30,120.00,$24,971.00,$15,553.00,$12,118.00,16.20%,22.30%,27.20%,19.30%
Foreman,67.29%,27.29%,1.96%,,,1.07%,2.40%,2.04%,$22,176.00,$29,231.00,$26,944.00,$18,229.00,$13,202.00,18.20%,26.70%,32.90%,34.30%
Forrest City,35.52%,60.93%,0.19%,0.74%,,0.30%,2.31%,8.26%,$23,111.00,$27,432.00,$29,313.00,$21,295.00,$11,716.00,29.00%,33.40%,45.90%,22.30%
Fort Chaffee Township, Sebastian County,,,,,,,,,,,,,,,,,
Fort Smith,69.30%,9.00%,1.80%,5.30%,0.10%,10.30%,4.20%,16.50%,$32,157.00,$41,012.00,$29,799.00,$22,276.00,$18,994.00,12.10%,15.80%,22.20%,9.60%
Foster Township, Randolph County,,,,,,,,,,,,,,,,,
Fouke,95.45%,0.25%,2.46%,,,0.61%,1.23%,1.72%,$25,192.00,$35,089.00,$26,938.00,$20,375.00,$11,075.00,18.00%,17.50%,17.40%,26.70%
Fountain Hill,60.38%,35.22%,,,,1.89%,2.52%,2.52%,$25,250.00,$37,750.00,$22,000.00,$16,875.00,$12,568.00,2.70%,10.60%,4.00%,17.20%
Fountain Lake,97.56%,0.24%,0.98%,,,0.73%,0.49%,0.73%,$30,469.00,$31,188.00,$25,547.00,$11,731.00,$15,943.00,8.10%,16.20%,23.50%,0.00%
Fourche Lafave Township, Perry County,,,,,,,,,,,,,,,,,
Fourche,94.92%,5.08%,,,,,,,$30,417.00,$31,250.00,$29,583.00,$22,500.00,$12,927.00,5.90%,9.10%,18.20%,0.00%
Francis Township, Cleburne County,,,,,,,,,,,,,,,,,
Francure Township, White County,,,,,,,,,,,,,,,,,
Franklin County,96.17%,0.62%,0.80%,0.26%,0.06%,0.74%,1.35%,1.74%,$30,848.00,$36,189.00,$27,907.00,$18,822.00,$14,616.00,10.60%,15.20%,16.20%,15.70%
Franklin Township, Calhoun County,,,,,,,,,,,,,,,,,
Franklin Township, Carroll County,,,,,,,,,,,,,,,,,
Franklin Township, Desha County,,,,,,,,,,,,,,,,,
Franklin Township, Drew County,,,,,,,,,,,,,,,,,
Franklin Township, Grant County,,,,,,,,,,,,,,,,,
Franklin Township, Howard County,,,,,,,,,,,,,,,,,
Franklin Township, Izard County,,,,,,,,,,,,,,,,,
Franklin Township, Little River County,,,,,,,,,,,,,,,,,
Franklin Township, Marion County,,,,,,,,,,,,,,,,,
Franklin Township, Stone County,,,,,,,,,,,,,,,,,
Franklin Township, Union County,,,,,,,,,,,,,,,,,
Franklin,97.83%,,1.09%,,,1.09%,,2.72%,$19,750.00,$26,250.00,$20,341.00,$19,167.00,$13,434.00,13.50%,19.60%,17.60%,34.10%
Franks Township, County,,,,,,,,,,,,,,,,,
Franks Township, St. Francis County,,,,,,,,,,,,,,,,,
Fredonia (Biscoe),41.39%,58.19%,,,,,0.42%,,$21,406.00,$23,571.00,$22,344.00,$14,063.00,$9,641.00,23.40%,27.00%,34.30%,20.00%
Freedom Township, Polk County,,,,,,,,,,,,,,,,,
Freeman Township, Pope County,,,,,,,,,,,,,,,,,
Freeman Township, Woodruff County,,,,,,,,,,,,,,,,,
Freeo Township, Ouachita County,,,,,,,,,,,,,,,,,
French Township, Lafayette County,,,,,,,,,,,,,,,,,
Friendship Township, Greene County,,,,,,,,,,,,,,,,,
Friendship,99.51%,,,,,0.49%,,1.46%,$39,792.00,$45,000.00,$32,031.00,$15,625.00,$14,865.00,11.80%,13.90%,17.80%,7.50%
Fulton County,97.67%,0.20%,0.67%,0.21%,,0.06%,1.19%,0.53%,$25,529.00,$29,952.00,$22,213.00,$18,066.00,$15,712.00,12.70%,16.30%,20.10%,12.70%
Fulton Township, Fulton County,,,,,,,,,,,,,,,,,
Fulton Township, Polk County,,,,,,,,,,,,,,,,,
Fulton,55.92%,43.27%,0.41%,,,,0.41%,1.63%,$24,583.00,$29,167.00,$21,827.00,$17,656.00,$11,280.00,20.00%,18.80%,27.10%,18.20%
Furlow Township, Lonoke County,,,,,,,,,,,,,,,,,
Gainsboro Township, Independence County,,,,,,,,,,,,,,,,,
Gaither Township, Boone County,,,,,,,,,,,,,,,,,
Galla Rock Township, Yell County,,,,,,,,,,,,,,,,,
Galla Township, Pope County,,,,,,,,,,,,,,,,,
Gap Springs Township, Polk County,,,,,,,,,,,,,,,,,
Gap Township, Montgomery County,,,,,,,,,,,,,,,,,
Garden Township, County,,,,,,,,,,,,,,,,,
Garfield Township, Benton County,,,,,,,,,,,,,,,,,
Garfield,97.35%,,1.43%,0.61%,,,0.61%,1.43%,,,,,,,,,
Garland County,88.85%,7.80%,0.61%,0.50%,0.03%,0.72%,1.49%,2.56%,$31,724.00,$38,079.00,$28,117.00,$20,421.00,$18,631.00,10.50%,14.60%,22.70%,8.60%
Garland Township County,,,,,,,,,,,,,,,,,
Garland Township, Benton County,,,,,,,,,,,,,,,,,
Garland Township, Hempstead County,,,,,,,,,,,,,,,,,
Garland Township, Miller County,,,,,,,,,,,,,,,,,
Garland Township, St. Francis County,,,,,,,,,,,,,,,,,
Garland,27.84%,69.89%,0.28%,0.28%,,,1.70%,0.57%,$17,500.00,$20,625.00,$24,375.00,$15,000.00,$9,292.00,37.60%,44.70%,62.50%,38.90%
Garner Township, Union County,,,,,,,,,,,,,,,,,
Garner Township, White County,,,,,,,,,,,,,,,,,
Garner,95.07%,1.06%,,,,,3.87%,1.06%,$24,688.00,$28,393.00,$24,375.00,$18,750.00,$11,015.00,12.30%,19.20%,20.50%,15.80%
Gassville,97.83%,0.18%,0.41%,0.29%,0.06%,0.35%,0.88%,1.17%,$25,478.00,$30,481.00,$22,955.00,$17,267.00,$12,221.00,11.70%,18.90%,25.40%,14.00%
Gateway,96.55%,,3.45%,,,,,,$32,679.00,$45,625.00,$41,875.00,$33,958.00,$16,557.00,9.10%,10.10%,0.00%,50.00%
Gentry Township, Benton County,,,,,,,,,,,,,,,,,
Gentry,89.84%,0.18%,3.42%,0.32%,,3.33%,2.91%,5.59%,$31,765.00,$37,569.00,$27,361.00,$20,875.00,$14,309.00,11.70%,13.20%,15.00%,17.60%
Georgetown,96.83%,3.17%,,,,,,0.79%,$12,500.00,$25,357.00,$22,500.00,$15,625.00,$8,283.00,25.00%,38.00%,50.00%,37.10%
Georgia Township, Nevada County,,,,,,,,,,,,,,,,,
Gibson,86.21%,8.89%,0.88%,0.58%,0.02%,1.15%,2.27%,2.63%,$46,705.00,$51,250.00,$32,935.00,$25,291.00,$17,919.00,4.70%,4.90%,3.50%,8.30%
Gid Township, Izard County,,,,,,,,,,,,,,,,,
Gifford Township, Hot Spring County,,,,,,,,,,,,,,,,,
Gilbert,100.00%,,,,,,,,$18,750.00,$20,625.00,$28,750.00,$26,250.00,$15,729.00,0.00%,17.10%,0.00%,0.00%
Giles Township, Cleburne County,,,,,,,,,,,,,,,,,
Gilkerson Township, Craighead County,,,,,,,,,,,,,,,,,
Gilkey Township, Yell County,,,,,,,,,,,,,,,,,
Gillett,87.18%,12.58%,1.20%,,,1.02%,,0.37%,$31,538.00,$36,719.00,$27,308.00,$19,219.00,$17,247.00,12.10%,12.50%,20.30%,9.70%
Gillham,89.36%,,0.53%,1.06%,,7.45%,1.60%,10.64%,$24,375.00,$24,375.00,$25,469.00,$15,208.00,$10,758.00,16.00%,23.80%,34.90%,17.40%
Gilmore,19.86%,79.11%,,,,0.68%,0.34%,,$20,625.00,$22,031.00,$29,375.00,$18,000.00,$8,867.00,29.10%,38.60%,52.20%,44.80%
Glaize Township, Jackson County,,,,,,,,,,,,,,,,,
Glass Township, Jackson County,,,,,,,,,,,,,,,,,
Gleghorn Township, Clay County,,,,,,,,,,,,,,,,,
Glenwood,88.18%,1.03%,1.03%,0.17%,,8.79%,0.80%,11.31%,,,,,,,,,
Golden Lake Township County,,,,,,,,,,,,,,,,,
Goodrum Township, Lonoke County,,,,,,,,,,,,,,,,,
Goodwin Township, St. Francis County,,,,,,,,,,,,,,,,,
Goshen Township, Washington County,,,,,,,,,,,,,,,,,
Goshen,96.28%,0.13%,0.80%,0.40%,,1.06%,1.33%,0.80%,$47,083.00,$52,891.00,$32,353.00,$21,750.00,$18,513.00,5.60%,6.40%,5.80%,6.00%
Gosnell,80.12%,15.15%,0.43%,1.01%,,1.86%,1.44%,3.45%,$31,423.00,$37,176.00,$30,995.00,$17,625.00,$13,371.00,15.50%,17.10%,16.50%,31.40%
Gould Township, Lincoln County,,,,,,,,,,,,,,,,,
Gould,20.23%,78.01%,0.38%,0.08%,,0.77%,0.54%,1.07%,$19,031.00,$24,028.00,$25,833.00,$18,583.00,$11,881.00,28.00%,35.30%,42.90%,33.60%
Grady,31.36%,65.77%,,0.19%,,1.72%,0.96%,2.87%,$22,321.00,$24,500.00,$26,250.00,$20,313.00,$11,679.00,33.60%,38.80%,51.30%,28.30%
Grannis,78.78%,0.52%,4.35%,,0.17%,14.09%,2.09%,16.52%,$29,083.00,$30,893.00,$22,500.00,$17,000.00,$14,642.00,15.10%,15.80%,22.70%,19.40%
Grant County,95.55%,2.47%,0.45%,0.13%,0.03%,0.64%,0.73%,1.15%,$37,182.00,$42,901.00,$31,842.00,$22,098.00,$17,547.00,7.80%,10.20%,12.50%,13.00%
Grant Township, Johnson County,,,,,,,,,,,,,,,,,
Grassey Township, Cleburne County,,,,,,,,,,,,,,,,,
Gravel Hill Township, White County,,,,,,,,,,,,,,,,,
Gravelly Hill Township, Yell County,,,,,,,,,,,,,,,,,
Gravette,92.87%,0.17%,2.10%,0.61%,,1.05%,3.20%,2.93%,$29,881.00,$34,844.00,$28,571.00,$18,906.00,$15,241.00,11.50%,16.60%,22.50%,19.30%
Gray Township, Lonoke County,,,,,,,,,,,,,,,,,
Gray Township, White County,,,,,,,,,,,,,,,,,
Green Forest,64.30%,0.40%,1.07%,0.48%,0.37%,12.37%,2.76%,33.20%,$23,750.00,$26,765.00,$18,886.00,$16,686.00,$10,720.00,16.70%,22.10%,23.70%,23.50%
Greenbrier Township, Independence County,,,,,,,,,,,,,,,,,
Greenbrier,97.37%,0.59%,0.46%,0.07%,,0.36%,1.15%,0.99%,$37,351.00,$43,125.00,$28,699.00,$24,630.00,$17,950.00,7.20%,9.10%,11.00%,10.50%
Greene County,97.45%,0.13%,0.42%,0.17%,0.02%,0.47%,1.34%,1.16%,$30,828.00,$37,316.00,$27,535.00,$20,375.00,$16,403.00,9.90%,13.30%,15.40%,12.80%
Greenfield Township, Craighead County,,,,,,,,,,,,,,,,,
Greenfield Township, Monroe County,,,,,,,,,,,,,,,,,
Greenfield Township, Poinsett County,,,,,,,,,,,,,,,,,
Greenland Township, Washington County,,,,,,,,,,,,,,,,,
Greenland,95.48%,1.10%,1.21%,0.44%,,0.55%,1.21%,2.21%,$29,643.00,$33,875.00,$24,750.00,$18,750.00,$16,127.00,45.90%,33.30%,29.20%,29.30%
Greenway,99.18%,,,,,,0.82%,,,,,,,,,,
Greenwood Township, Baxter County,,,,,,,,,,,,,,,,,
Greenwood Township, Poinsett County,,,,,,,,,,,,,,,,,
Greenwood,96.13%,0.24%,1.53%,0.44%,,0.18%,1.48%,1.55%,$37,230.00,$41,278.00,$31,649.00,$21,564.00,$16,254.00,5.10%,6.70%,8.30%,5.60%
Greers Ferry,97.31%,0.11%,0.11%,0.22%,,0.22%,2.04%,1.18%,$30,238.00,$32,344.00,$24,200.00,$16,250.00,$16,496.00,12.00%,16.00%,26.40%,8.20%
Gregory Township, Conway County,,,,,,,,,,,,,,,,,
Griffin Township, Conway County,,,,,,,,,,,,,,,,,
Griffin Township, Pope County,,,,,,,,,,,,,,,,,
Griffithville,97.71%,,,,,1.91%,0.38%,5.34%,$25,000.00,$35,625.00,$27,250.00,$22,500.00,$13,082.00,11.60%,11.60%,11.10%,7.70%
Griggs Township, St. Francis County,,,,,,,,,,,,,,,,,
Griggs Township, Van Buren County,,,,,,,,,,,,,,,,,
Grove Township, Newton County,,,,,,,,,,,,,,,,,
Grover Township, Baxter County,,,,,,,,,,,,,,,,,
Grover Township, Franklin County,,,,,,,,,,,,,,,,,
Grubbs Township, Jackson County,,,,,,,,,,,,,,,,,
Grubbs,94.52%,,,,,,5.48%,0.68%,$23,929.00,$33,036.00,$26,125.00,$17,500.00,$11,809.00,11.90%,15.60%,10.60%,30.70%
Guion Township, Izard County,,,,,,,,,,,,,,,,,
Guion,88.89%,10.00%,,,,,1.11%,,$16,875.00,$20,833.00,$21,875.00,$16,875.00,$11,264.00,0.00%,14.60%,0.00%,12.90%
Gum Log Township, Pope County,,,,,,,,,,,,,,,,,
Gum Pond Township County,,,,,,,,,,,,,,,,,
Gum Springs Township, White County,,,,,,,,,,,,,,,,,
Gum Springs,44.85%,55.15%,,,,,,4.64%,$31,000.00,$34,167.00,$19,375.00,$16,875.00,$13,404.00,14.30%,17.30%,14.30%,29.10%
Gum Woods Township, Lonoke County,,,,,,,,,,,,,,,,,
Gurdon,60.24%,35.76%,0.13%,0.04%,0.04%,3.12%,0.66%,4.35%,,,,,,,,,
Guthrie Township, Izard County,,,,,,,,,,,,,,,,,
Guthrie Township, White County,,,,,,,,,,,,,,,,,
Guy,96.04%,0.50%,,,,,3.47%,,$35,625.00,$38,977.00,$26,875.00,$23,750.00,$15,732.00,10.20%,14.00%,16.20%,7.10%
Hackett,95.10%,0.43%,2.16%,1.15%,,0.14%,1.01%,0.72%,,,,,,,,,
Hadley Township, Lafayette County,,,,,,,,,,,,,,,,,
Hagarville,,,,,,,,,,,,,,,,,
Hale Township, Garland County,,,,,,,,,,,,,,,,,
Half Moon Lake Township County,,,,,,,,,,,,,,,,,
Halley Township, Desha County,,,,,,,,,,,,,,,,,
Hamburg,60.32%,33.63%,0.36%,0.13%,0.10%,3.62%,1.84%,6.55%,$26,189.00,$36,875.00,$28,696.00,$20,750.00,$14,599.00,20.80%,25.20%,35.10%,19.90%
Hamilton Township, Lonoke County,,,,,,,,,,,,,,,,,
Hampton Township, Lee County,,,,,,,,,,,,,,,,,
Hampton Township, Marion County,,,,,,,,,,,,,,,,,
Hampton,66.18%,32.05%,0.06%,,,1.08%,0.63%,1.39%,$25,057.00,$29,948.00,$29,375.00,$18,583.00,$15,489.00,19.70%,22.90%,30.30%,20.70%
Hardin Township, Faulkner County,,,,,,,,,,,,,,,,,
Hardy Township, Lee County,,,,,,,,,,,,,,,,,
Hardy Township, Sharp County,,,,,,,,,,,,,,,,,
Hardy,95.33%,,1.04%,0.52%,,,3.11%,0.52%,$17,375.00,$25,500.00,$20,208.00,$17,857.00,$12,204.00,12.20%,23.40%,23.60%,28.60%
Harmon Township, Washington County,,,,,,,,,,,,,,,,,
Harper Township, Cleveland County,,,,,,,,,,,,,,,,,
Harrell,43.00%,56.31%,,,,,0.68%,,$21,875.00,$33,333.00,$30,500.00,$14,500.00,$12,539.00,15.00%,23.50%,25.30%,20.00%
Harris Township, Stone County,,,,,,,,,,,,,,,,,
Harrisburg,96.66%,1.24%,0.09%,0.27%,0.05%,0.87%,0.82%,1.51%,$19,862.00,$24,274.00,$20,767.00,$18,461.00,$13,813.00,42.60%,42.60%,26.50%,25.60%
Harrison Township, Hot Spring County,,,,,,,,,,,,,,,,,
Harrison Township, Union County,,,,,,,,,,,,,,,,,
Harrison Township, White County,,,,,,,,,,,,,,,,,
Harrison,96.20%,0.30%,0.60%,0.70%,0.00%,,1.60%,2.20%,,,,,,,,,
Hartford Township, Sebastian County,,,,,,,,,,,,,,,,,
Hartford,93.52%,,1.17%,0.13%,,1.55%,3.63%,2.46%,$22,500.00,$27,321.00,$28,250.00,$22,813.00,$10,845.00,19.20%,25.90%,39.00%,18.30%
Hartman,98.32%,,1.01%,,,0.50%,0.17%,1.68%,,,,,,,,,
Hartsell Township, White County,,,,,,,,,,,,,,,,,
Hartsugg Township, Van Buren County,,,,,,,,,,,,,,,,,
Harve Township, Faulkner County,,,,,,,,,,,,,,,,,
Haskell Township, Saline County,,,,,,,,,,,,,,,,,
Haskell,89.07%,8.77%,0.72%,0.23%,,0.19%,1.02%,1.36%,$33,583.00,$38,438.00,$28,547.00,$21,346.00,$13,692.00,12.70%,22.10%,18.00%,16.30%
Hasty Township, Newton County,,,,,,,,,,,,,,,,,
Hatfield,95.52%,0.50%,1.49%,,,,2.49%,1.24%,$19,412.00,$23,750.00,$18,438.00,$16,875.00,$10,447.00,22.60%,25.60%,44.70%,16.70%
Havana,83.93%,,0.77%,1.79%,,11.22%,2.30%,17.86%,$30,625.00,$27,500.00,$18,558.00,$17,222.00,$10,963.00,20.20%,24.20%,39.10%,20.30%
Haynes,14.95%,85.05%,,,,,,,$19,583.00,$21,250.00,$22,188.00,$20,000.00,$8,057.00,30.00%,42.10%,54.40%,50.00%
Hays Township, Greene County,,,,,,,,,,,,,,,,,
Haywood Township, Clay County,,,,,,,,,,,,,,,,,
Hazen Township, Prairie County,,,,,,,,,,,,,,,,,
Hazen,80.57%,18.45%,0.55%,,,,0.43%,0.79%,$29,800.00,$35,990.00,$28,958.00,$19,792.00,$14,805.00,13.10%,13.80%,12.50%,18.60%
Healing Springs Township, Cleburne County,,,,,,,,,,,,,,,,,
Heber Springs,97.90%,0.23%,0.44%,0.39%,0.03%,0.22%,0.79%,1.80%,$29,599.00,$37,228.00,$30,772.00,$19,720.00,$19,656.00,8.60%,13.30%,17.60%,12.80%
Heber Township, Cleburne County,,,,,,,,,,,,,,,,,
Hector Township County,,,,,,,,,,,,,,,,,
Hector,96.64%,,0.99%,0.20%,0.20%,0.59%,1.38%,2.57%,$31,250.00,$36,375.00,$29,063.00,$18,750.00,$13,432.00,9.10%,11.50%,15.70%,10.30%
Hempstead County,63.28%,30.36%,0.42%,0.17%,0.02%,4.17%,1.59%,8.25%,$28,622.00,$34,082.00,$25,830.00,$17,383.00,$14,103.00,16.00%,20.30%,29.20%,16.70%
Henderson Township, Hot Spring County,,,,,,,,,,,,,,,,,
Henderson Township, Union County,,,,,,,,,,,,,,,,,
Hensley,34.00%,64.67%,,,,,1.33%,,$26,607.00,$29,286.00,$15,417.00,$21,875.00,$10,878.00,21.40%,21.20%,0.00%,29.00%
Henton Township County,,,,,,,,,,,,,,,,,
Hermitage,45.25%,30.30%,0.26%,0.13%,,22.50%,1.56%,27.57%,$18,438.00,$24,792.00,$21,136.00,$17,500.00,$10,571.00,34.80%,39.30%,51.00%,18.10%
Herndon Township, Craighead County,,,,,,,,,,,,,,,,,
Herring Township, Yell County,,,,,,,,,,,,,,,,,
Heth Township, St. Francis County,,,,,,,,,,,,,,,,,
Hickey Township, Johnson County,,,,,,,,,,,,,,,,,
Hickman Township, Scott County,,,,,,,,,,,,,,,,,
Hickory Grove Township, Newton County,,,,,,,,,,,,,,,,,
Hickory Plain Township, Prairie County,,,,,,,,,,,,,,,,,
Hickory Ridge Township, Cross County,,,,,,,,,,,,,,,,,
Hickory Ridge Township, Phillips County,,,,,,,,,,,,,,,,,
Hickory Ridge,99.48%,,,0.26%,,,0.26%,0.26%,,,,,,,,,
Hickory Township, Carroll County,,,,,,,,,,,,,,,,,
Hicksville Township, Phillips County,,,,,,,,,,,,,,,,,
Hico Township, Benton County,,,,,,,,,,,,,,,,,
Higden,94.06%,,2.97%,,,0.99%,1.98%,4.95%,$41,875.00,$48,750.00,$31,250.00,$23,750.00,$22,133.00,14.30%,19.60%,36.80%,0.00%
Higgins Township, Conway County,,,,,,,,,,,,,,,,,
Higginson Township, White County,,,,,,,,,,,,,,,,,
Higginson,97.35%,,0.26%,0.26%,,,2.12%,1.85%,$25,114.00,$29,250.00,$26,750.00,$17,344.00,$11,568.00,13.70%,18.20%,28.80%,20.00%
Highfill,92.08%,,5.28%,1.06%,,1.32%,0.26%,1.06%,$28,854.00,$30,938.00,$21,477.00,$21,705.00,$12,701.00,5.30%,18.60%,21.40%,29.20%
Highland Township, Sharp County,,,,,,,,,,,,,,,,,
Highland,98.07%,,0.41%,0.20%,,0.10%,1.22%,1.42%,$28,929.00,$32,788.00,$25,357.00,$15,938.00,$14,589.00,13.00%,18.20%,25.20%,9.60%
Hilburn Township, Madison County,,,,,,,,,,,,,,,,,
Hill Township, Independence County,,,,,,,,,,,,,,,,,
Hill Township, Pulaski County,,,,,,,,,,,,,,,,,
Hindman Township, Monroe County,,,,,,,,,,,,,,,,,
Hindsville,100.00%,,,,,,,2.67%,$22,500.00,$37,708.00,$18,750.00,$14,500.00,$13,868.00,9.50%,14.30%,0.00%,8.30%
Hogan Township, Franklin County,,,,,,,,,,,,,,,,,
Holiday Island,,,,,,,,,,,,,,,,,
Holland Township, Saline County,,,,,,,,,,,,,,,,,
Holland,96.01%,,1.39%,,0.17%,0.17%,2.25%,0.35%,$32,368.00,$34,583.00,$29,219.00,$20,982.00,$15,370.00,10.60%,15.10%,21.10%,7.80%
Holley Township, Van Buren County,,,,,,,,,,,,,,,,,
Holly Creek Township, Howard County,,,,,,,,,,,,,,,,,
Holly Grove,26.87%,72.58%,,0.14%,,,0.42%,0.14%,$15,294.00,$17,232.00,$24,444.00,$18,438.00,$10,047.00,37.70%,42.60%,61.30%,31.20%
Holly Springs Township, Dallas County,,,,,,,,,,,,,,,,,
Homan Township, Miller County,,,,,,,,,,,,,,,,,
Hon Township, Scott County,,,,,,,,,,,,,,,,,
Hoover Township, Benton County,,,,,,,,,,,,,,,,,
Hope,47.71%,43.17%,0.38%,0.30%,0.03%,6.63%,1.78%,13.48%,$25,385.00,$28,445.00,$23,525.00,$17,394.00,$12,783.00,22.30%,27.20%,41.10%,17.30%
Hopewell Township, Greene County,,,,,,,,,,,,,,,,,
Horatio,84.95%,2.71%,1.81%,0.20%,,8.53%,1.81%,14.94%,$27,419.00,$31,000.00,$26,339.00,$15,547.00,$11,738.00,12.60%,13.40%,16.60%,22.10%
Hornor Township, Phillips County,,,,,,,,,,,,,,,,,
Horsehead Township, Johnson County,,,,,,,,,,,,,,,,,
Horseshoe Bend,97.28%,0.22%,0.88%,0.13%,0.04%,0.40%,1.05%,1.23%,$26,714.00,$34,129.00,$24,286.00,$17,688.00,$18,987.00,6.90%,10.80%,26.70%,2.60%
Horseshoe Lake,94.39%,5.30%,,,,0.31%,,0.31%,$30,083.00,$36,250.00,$29,583.00,$23,750.00,$17,517.00,4.90%,10.20%,3.90%,20.50%
Hot Spring County,87.33%,10.26%,0.45%,0.22%,0.04%,0.44%,1.26%,1.27%,$31,543.00,$37,077.00,$27,800.00,$19,461.00,$15,216.00,10.30%,14.00%,19.00%,14.20%
Hot Springs Township, Garland County,,,,,,,,,,,,,,,,,
Hot Springs Village,97.98%,0.94%,0.14%,0.19%,,0.20%,0.55%,1.01%,$41,875.00,$48,958.00,$35,236.00,$20,313.00,$24,492.00,1.60%,2.50%,5.60%,1.90%
Hot Springs Village,97.98%,0.94%,0.14%,0.19%,,0.20%,0.55%,1.01%,$41,875.00,$48,958.00,$35,236.00,$20,313.00,$24,492.00,1.60%,2.50%,5.60%,1.90%
Hot Springs,78.86%,16.87%,0.55%,0.79%,0.05%,1.02%,1.86%,3.80%,$26,040.00,$32,819.00,$25,861.00,$20,155.00,$17,961.00,13.70%,19.20%,30.70%,11.70%
Houston Township, Perry County,,,,,,,,,,,,,,,,,
Houston,94.97%,0.63%,1.26%,,,,3.14%,1.26%,$25,000.00,$33,750.00,$26,250.00,$20,000.00,$17,130.00,5.40%,7.70%,0.00%,18.80%
Howard County,73.60%,21.86%,0.41%,0.50%,0.01%,2.76%,0.86%,5.08%,$28,699.00,$34,510.00,$28,086.00,$17,266.00,$15,586.00,11.90%,15.50%,20.10%,17.00%
Howard Township, Conway County,,,,,,,,,,,,,,,,,
Howell Township, Johnson County,,,,,,,,,,,,,,,,,
Hoxie,98.15%,0.46%,0.39%,,0.07%,0.28%,0.64%,1.49%,$24,726.00,$30,085.00,$26,583.00,$18,418.00,$12,190.00,20.70%,24.20%,31.30%,28.00%
Hudgin Township, Cleveland County,,,,,,,,,,,,,,,,,
Hudson Township, Newton County,,,,,,,,,,,,,,,,,
Huey Township, Calhoun County,,,,,,,,,,,,,,,,,
Huff Township, Independence County,,,,,,,,,,,,,,,,,
Hughes,29.41%,67.76%,0.11%,1.61%,0.11%,0.43%,0.59%,0.70%,$18,333.00,$22,976.00,$25,417.00,$16,641.00,$10,039.00,31.70%,38.00%,53.30%,31.50%
Humnoke,85.71%,10.36%,,0.36%,,1.79%,1.79%,2.86%,$21,528.00,$28,125.00,$27,500.00,$15,750.00,$15,194.00,15.20%,20.30%,23.50%,27.80%
Humphrey,57.82%,40.45%,1.20%,,,1.00%,1.49%,0.87%,$25,880.00,$33,824.00,$25,163.00,$23,472.00,$12,517.00,23.70%,22.90%,27.90%,21.40%
Hunt Township, Scott County,,,,,,,,,,,,,,,,,
