,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty,,,,,,,,
Acacia Villas,,,,,,,,,,,,,,,,,,,,,,,,,
Bell,95.99%,2.01%,0.29%,,,1.43%,0.29%,1.43%,$30,156.00,$30,987.00,$21,250.00,$23,125.00,$11,790.00,13.10%,17.20%,19.40%,5.90%,,,,,,,,
Bellair-Meadowbrook Terrace,70.90%,17.90%,0.50%,3.66%,0.20%,4.30%,3.60%,12.90%,$42,426.00,$47,926.00,$32,936.00,$23,117.00,$21,095.00,5.90%,7.50%,11.80%,1.10%,,,,,,,,
Belle Glade,13.80%,50.68%,0.17%,0.19%,0.04%,9.70%,8.93%,27.57%,$22,715.00,$26,756.00,$26,232.00,$21,410.00,$11,159.00,28.50%,32.90%,41.10%,21.40%,,,,,,,,
Belle Isle,4.36%,91.88%,0.13%,1.25%,0.02%,1.32%,1.05%,5.98%,$65,155.00,$68,571.00,$47,394.00,$32,150.00,$29,087.00,1.90%,2.90%,1.20%,4.20%,,,,,,,,
Belleair,98.35%,0.15%,0.15%,0.39%,,0.20%,0.76%,2.53%,$63,267.00,$96,400.00,$61,548.00,$31,313.00,$59,164.00,1.40%,4.00%,2.70%,4.40%,,,,,,,,
Belleair Beach,96.74%,0.23%,0.17%,1.37%,0.11%,0.34%,1.03%,2.86%,$63,529.00,$90,282.00,$56,354.00,$46,583.00,$61,569.00,4.00%,7.80%,10.60%,2.40%,,,,,,,,
Belleair Bluffs,97.95%,0.18%,,0.98%,,0.18%,0.71%,1.25%,$32,528.00,$48,421.00,$40,987.00,$25,658.00,$31,329.00,1.20%,6.10%,0.00%,7.70%,,,,,,,,
Belleview,91.14%,4.23%,0.46%,0.58%,,2.10%,1.50%,7.68%,$26,250.00,$33,701.00,$27,500.00,$18,250.00,$18,241.00,8.80%,12.30%,12.80%,7.40%,,,,,,,,
Bellview,80.66%,11.69%,1.08%,3.28%,0.16%,0.67%,2.46%,2.40%,$38,725.00,$44,693.00,$31,160.00,$21,613.00,$18,173.00,7.60%,10.20%,14.10%,9.30%,,,,,,,,
Berrydale,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Beach,96.71%,0.18%,0.73%,0.18%,,,2.19%,0.18%,$26,667.00,$34,167.00,$30,250.00,$24,583.00,$19,488.00,11.50%,8.70%,10.70%,4.20%,,,,,,,,
Beverly Hills,95.90%,1.71%,0.19%,0.60%,0.01%,0.38%,1.20%,3.97%,$24,875.00,$31,505.00,$27,500.00,$16,857.00,$17,014.00,8.40%,12.40%,20.30%,9.00%,,,,,,,,
Big Coppitt Key,92.91%,1.08%,0.81%,1.46%,0.08%,1.04%,2.62%,16.76%,$45,194.00,$49,783.00,$31,915.00,$27,721.00,$24,022.00,6.10%,8.60%,9.70%,7.50%,,,,,,,,
Big Pine Key,,,,,,,,,$44,514.00,$47,639.00,$31,552.00,$28,021.00,$23,169.00,5.60%,9.50%,17.40%,7.00%,,,,,,,,
Bithlo,93.36%,0.99%,0.91%,0.35%,0.04%,2.14%,2.20%,9.32%,$34,530.00,$34,425.00,$27,894.00,$17,250.00,$13,867.00,16.90%,21.50%,28.60%,9.20%,,,,,,,,
Black Diamond,94.09%,0.72%,,4.61%,,,0.58%,1.01%,,,,,,,,,,,,,,,,,
Black Hammock,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomingdale,88.12%,6.38%,0.26%,2.24%,0.07%,1.12%,1.80%,6.93%,$68,911.00,$72,282.00,$50,217.00,$31,727.00,$26,552.00,1.10%,1.70%,5.00%,2.10%,,,,,,,,
Blountstown,65.18%,31.79%,1.27%,0.33%,0.08%,0.29%,1.06%,0.70%,$23,271.00,$30,880.00,$23,313.00,$20,000.00,$11,498.00,18.50%,24.30%,33.60%,17.70%,,,,,,,,
Bokeelia,98.05%,0.25%,0.05%,0.30%,,0.85%,0.50%,12.47%,$36,319.00,$42,250.00,$24,271.00,$28,854.00,$27,613.00,12.40%,17.60%,25.60%,3.20%,,,,,,,,
Bonifay,84.80%,10.00%,0.90%,0.90%,0.10%,0.70%,2.70%,2.40%,,,,,,,,,,,,,,,,,
Boulevard Gardens,2.47%,94.13%,0.21%,0.35%,,0.78%,2.05%,2.40%,$22,167.00,$26,719.00,$19,934.00,$20,288.00,$14,843.00,25.60%,37.40%,42.30%,22.40%,,,,,,,,
Bowling Green,57.05%,13.52%,0.83%,0.35%,0.31%,26.00%,1.94%,46.06%,$28,209.00,$28,333.00,$22,695.00,$17,125.00,$9,978.00,22.00%,30.50%,33.50%,20.50%,,,,,,,,
Bradenton,78.14%,15.11%,0.29%,0.79%,0.05%,3.91%,1.71%,11.26%,$34,902.00,$42,366.00,$28,262.00,$23,292.00,$20,133.00,9.70%,13.60%,22.30%,8.20%,,,,,,,,
Bradenton Beach,98.52%,0.27%,0.13%,0.13%,,0.34%,0.61%,1.69%,,,,,,,,,,,,,,,,,
Bradford County,76.28%,20.79%,0.34%,0.61%,0.10%,0.65%,1.24%,2.38%,$33,140.00,$39,123.00,$29,494.00,$20,745.00,$14,226.00,11.10%,14.60%,18.30%,17.60%,,,,,,,,
Bradley Junction,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon,,,,,,,,,,,,,,,,,,,,,,,,,
Branford,80.20%,6.90%,0.80%,1.70%,,,,13.20%,$32,679.00,$36,625.00,,,$17,353.00,24.90%,29.20%,29.40%,12.60%,,,,,,,,
Brent,59.87%,34.25%,0.74%,2.28%,0.27%,0.47%,2.13%,1.95%,$27,488.00,$31,250.00,$26,390.00,$18,637.00,$11,774.00,20.50%,24.50%,37.90%,12.80%,,,,,,,,
Brevard County,,,,,,,,,$49,523.00,$60,842.00,$48,191.00,$33,276.00,$27,606.00,7.20%,10.50%,14.40%,6.90%,,,,,,,,
Brewster,,,,,,,,,,,,,,,,,,,,,,,,,
Briny Breezes,99.27%,,,0.49%,,0.24%,,0.49%,$34,583.00,$55,500.00,$31,250.00,$33,333.00,$35,338.00,1.50%,6.60%,0.00%,5.60%,,,,,,,,
Bristol,87.22%,3.79%,1.78%,,,5.44%,1.78%,5.80%,$31,607.00,$36,932.00,$26,473.00,$22,500.00,$17,949.00,14.80%,19.80%,24.90%,15.50%,,,,,,,,
Broadview Park,67.92%,16.98%,0.21%,1.94%,0.49%,8.16%,4.31%,42.32%,$38,125.00,$39,176.00,$27,473.00,$22,296.00,$14,591.00,13.60%,14.80%,18.20%,16.40%,,,,,,,,
Bronson,66.39%,29.15%,1.45%,0.10%,,2.07%,0.83%,8.09%,$26,944.00,$28,462.00,$27,969.00,$20,385.00,$12,532.00,21.90%,27.20%,36.50%,21.40%,,,,,,,,
Brooker,97.44%,0.57%,,,,1.14%,0.85%,3.12%,$40,000.00,$40,938.00,$29,000.00,$22,000.00,$15,091.00,8.80%,14.00%,2.60%,22.00%,,,,,,,,
Brookridge,98.87%,0.15%,0.09%,0.18%,,0.21%,0.49%,0.95%,$24,774.00,$30,139.00,$19,519.00,$15,194.00,$18,122.00,4.20%,5.70%,0.00%,5.70%,,,,,,,,
