City,State,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Kensington,Pennsylvania,,,,26,15,15,12,,,,,,,,,,,,,,,,
Lancaster,Pennsylvania,,25,27,29,34,45,54,52,67,77,94,90,,,,,,,,,,,
Moyamensing,Pennsylvania,,,,,40,27,27,,,,,,,,,,,,,,,,
Northern Liberties,Pennsylvania,6,6,6,7,7,8,11,,,,,,,,,,,,,,,,
Philadelphia,Pennsylvania,2,2,2,3,3,4,4,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5,5
Pittsburgh,Pennsylvania,,,31,23,17,17,13,17,16,12,13,11,8,9,10,10,12,16,24,30,40,53,60
Pottsville,Pennsylvania,,,,,,94,98,,,,,,,,,,,,,,,,
Reading,Pennsylvania,,,40,41,49,46,43,37,36,41,48,50,55,64,76,79,96,,,,,,
Scranton,Pennsylvania,,,,,,,,,,39,39,38,38,47,55,63,83,,,,,,
Southwark,Pennsylvania,11,7,8,8,10,12,20,,,,,,,,,,,,,,,,
Spring Garden,Pennsylvania,,,,53,20,11,9,,,,,,,,,,,,,,,,
Wilkes-Barre,Pennsylvania,,,,,,,,,,79,80,75,83,94,99,,,,,,,,
Williamsport,Pennsylvania,,,,,,,,,92,42,,,,,,,,,,,,,
York,Pennsylvania,,33,45,50,66,89,,,,,,,,,,,,,,,,,
Bayamon,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,86,
San Juan,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,39,46
Cumberland,Rhode Island,,,,,,79,,,,,,,,,,,,,,,,,
Newport,Rhode Island,8,11,15,21,33,49,66,88,,,,,,,,,,,,,,,
North Providence,Rhode Island,,,,,,,96,79,65,,,,,,,,,,,,,,
Pawtucket,Rhode Island,,,,,,,,,,,,95,,,,,,,,,,,
Providence,Rhode Island,9,9,11,13,12,14,17,16,21,20,25,20,23,27,37,37,43,56,71,100,,,
Warwick,Rhode Island,,,,,51,61,95,,,,,,,,,,,,,,,,
Charleston,South Carolina,4,5,5,6,6,10,15,22,26,36,53,68,90,,,,,,,,,,
Columbia,South Carolina,,,,,78,95,,,,,,,,,,,,,,,,,
Chattanooga,Tennessee,,,,,,,,,,,,,,,67,66,74,93,,87,,,
Knoxville,Tennessee,,,,,,,,,,,,,,88,81,77,84,,76,77,,,
Memphis,Tennessee,,,,,,,73,38,32,54,43,37,37,40,36,32,26,22,17,14,18,18,21
Nashville,Tennessee,,,,,50,58,63,54,52,40,38,47,45,56,51,50,56,73,30,25,25,22,26
Amarillo,Texas,,,,,,,,,,,,,,,,,,89,,,,,
Arlington,Texas,,,,,,,,,,,,,,,,,,,,95,61,54,51
Austin,Texas,,,,,,,,,,,,,,,,,73,67,56,42,27,16,14
Corpus Christi,Texas,,,,,,,,,,,,,,,,,98,74,62,60,64,61,61
Dallas,Texas,,,,,,,,,,,77,88,58,42,33,31,22,14,8,7,8,8,9
El Paso,Texas,,,,,,,,,,,,,,89,86,98,76,46,45,28,22,23,20
Fort Worth,Texas,,,,,,,,,,,,,75,65,48,46,38,34,33,33,28,27,16
Galveston,Texas,,,,,,,,,,82,,,,,,,,,,,,,
Garland,Texas,,,,,,,,,,,,,,,,,,,,,91,83,88
Houston,Texas,,,,,,,,,,,,85,68,45,26,21,14,7,6,5,4,4,4
Irving,Texas,,,,,,,,,,,,,,,,,,,,,,,95
Laredo,Texas,,,,,,,,,,,,,,,,,,,,,,,82
Lubbock,Texas,,,,,,,,,,,,,,,,,,95,93,79,87,92,85
Plano,Texas,,,,,,,,,,,,,,,,,,,,,,79,72
San Antonio,Texas,,,,,,,,,,96,81,71,54,41,38,36,25,17,15,11,10,9,7
Salt Lake City,Utah,,,,,,,,,,93,63,70,57,57,59,57,52,65,74,91,,,
Alexandria,Virginia,27,22,17,17,31,44,74,74,,,,,,,,,,,,,,,
Arlington,Virginia,,,,,,,,,,,,,,,,,68,77,77,,100,,
Chesapeake,Virginia,,,,,,,,,,,,,,,,,,,,,,93,92
Fredericksburg,Virginia,,,,,79,,,,,,,,,,,,,,,,,,
Lynchburg,Virginia,,,,,59,65,88,,,,,,,,,,,,,,,,
Norfolk,Virginia,24,10,13,16,24,36,47,61,75,83,88,80,82,59,62,60,48,41,47,55,62,74,79
Petersburg,Virginia,26,30,25,28,30,34,50,50,77,89,,,,,,,,,,,,,
Portsmouth,Virginia,,,,,,62,76,,,,,,,,,,,,,,,,
Richmond,Virginia,19,13,12,12,13,20,26,25,24,25,35,46,39,38,44,45,46,52,57,64,76,97,
Virginia Beach,Virginia,,,,,,,,,,,,,,,,,,,79,56,37,38,39
Seattle,Washington,,,,,,,,,,,70,48,21,20,20,22,19,19,22,23,21,24,24
Spokane,Washington,,,,,,,,,,,,,48,66,70,68,62,68,80,82,94,99,
Tacoma,Washington,,,,,,,,,,,84,,64,71,79,82,65,84,89,98,95,,
Wheeling,West Virginia,,,,,,51,59,63,74,61,89,97,,,,,,,,,,,
Madison,Wisconsin,,,,,,,,,,,,,,,,,,97,78,84,82,84,83
Milwaukee,Wisconsin,,,,,,,35,20,19,19,16,14,12,13,12,13,13,11,12,16,17,19,28
