County,Incorporated City or Town,Incorporation Date,"June 1, 1850","June 1, 1860","June 1, 1870","June 1, 1880","June 1, 1890 (2)","June 1, 1900","April 15, 1910","Jan. 1, 1920","April 1, 1930","April 1, 1940","April 1, 1950","April 1, 1960","April 1, 1970","April 1, 1980","April 1, 1990","April 1, 2000 (4)","April 1, 2010"
Imperial,El Centro,1908,,,,,,,"1,610","5,464","8,434","10,017","12,590","16,811","19,272","23,996","31,384","37,835","42,598"
Imperial,Holtville,1908,,,,,,,729,"1,347","1,758","1,772","2,472","3,080","3,496","4,399","4,820","5,612","5,939"
Imperial,Imperial,1904,,,,,,,"1,257","1,885","1,943","1,493","1,759","2,658","3,094","3,451","4,113","7,560","14,758"
Imperial,Westmorland,1934,,,,,,,,,,"1,010","1,213","1,404","1,175","1,590","1,380","2,131","2,225"
,,,,,,,,,,,,,,,,,,,
Inyo,,1866,,,"1,956","2,928","3,544","4,377","6,974","7,031","6,555","7,625","11,658","11,684","15,571","17,895","18,281","17,945","18,546"
Inyo,Bishop,1903,,,,,,,"1,190","1,304","1,159","1,490","2,891","2,875","3,498","3,333","3,475","3,575","3,879"
,,,,,,,,,,,,,,,,,,,
Kern,,1866,,,"2,925","5,601","9,808","16,480","37,715","54,843","82,570","135,124","228,309","291,984","330,234","403,089","543,477","661,645","839,631"
Kern,Arvin,1960,,,,,,,,,,,,,"5,199","6,863","9,286","12,956","19,304"
Kern,Bakersfield,i. 1873/ d.1876/ ri. 1898,,,,,,"4,836","12,727","18,638","26,015","29,252","34,784","56,848","69,515","105,611","174,820","246,889","347,483"
Kern,California City,1965,,,,,,,,,,,,,"1,309","2,743","5,955","8,385","14,120"
Kern,Delano,1915,,,,,,,,805,"2,632","4,573","8,717","11,913","14,559","16,491","22,762","39,489","53,041"
Kern,Maricopa,1911,,,,,,,,"1,121","1,071",670,800,648,740,946,"1,193","1,111","1,154"
Kern,McFarland,1957,,,,,,,,,,,,"3,686","4,177","5,151","7,005","9,837","12,707"
Kern,McKittrick,i. 1911/ d.1927,,,,,,,,207,,,,,,,,,
Kern,Ridgecrest,1963,,,,,,,,,,,,,"7,629","15,929","27,725","24,927","27,616"
Kern,Shafter,1938,,,,,,,,,,"1,258","2,207","4,576","5,327","7,010","8,409","12,736","16,988"
Kern,Taft,1910,,,,,,,,"3,317","3,442","3,205","3,707","3,822","4,285","5,316","5,902","8,811","9,327"
Kern,Tehachapi,1909,,,,,,,385,458,736,"1,264","1,685","3,161","4,211","4,126","5,791","11,125","14,414"
Kern,Wasco,1945,,,,,,,,,,,"5,592","6,841","8,269","9,613","12,412","21,263","25,545"
,,,,,,,,,,,,,,,,,,,
Kings,,1893,,,,,,"9,871","16,230","22,031","25,385","35,168","46,768","49,954","66,717","73,738","101,469","129,461","152,982"
Kings,Avenal,1979,,,,,,,,,,,,,,"4,137","9,770","14,674","15,505"
Kings,Corcoran,1914,,,,,,,,"1,101","1,768","2,092","3,150","4,976","5,249","6,454","13,364","20,835","24,813"
Kings,Hanford,1891,,,,,,"2,929","4,829","5,888","7,028","8,234","10,028","10,133","15,179","20,958","30,897","41,686","53,967"
Kings,Lemoore,1900,,,,,,,"1,000","1,355","1,399","1,711","2,153","2,561","4,219","8,832","13,622","19,712","24,531"
,,,,,,,,,,,,,,,,,,,
Klamath,,1851 d. 1875,,"1,803","1,686",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Lake,,1861,,,"2,969","6,596","7,101","6,017","5,526","5,402","7,166","8,069","11,481","13,786","19,548","36,366","50,631","58,309","64,665"
Lake,Clearlake,1980,,,,,,,,,,,,,,,,"13,142","15,250"
Lake,Kelseyville,i. ~1882/ d.1902,,,,,282,n/a,,,,,,,,,,,
Lake,Lakeport,1888,,,,,991,726,870,"1,024","1,318","1,490","1,983","2,303","3,005","3,675","4,390","4,820","4,753"
,,,,,,,,,,,,,,,,,,,
Lassen,,1864,,,"1,327","3,340","4,239","4,511","4,802","8,507","12,589","14,479","18,474","13,597","16,796","21,661","27,598","33,828","34,895"
Lassen,Susanville,1900,,,,,,,688,918,"1,358","1,575","5,338","5,598","6,608","6,520","7,279","17,428","17,947"
,,,,,,,,,,,,,,,,,,,
Los Angeles,,1850,"3,530","11,333","15,309","33,381","101,454","170,298","504,131","936,455","2,208,492","2,785,643","4,151,687","6,038,771","7,041,980","7,477,238","8,863,164","9,519,338","9,818,605"
Los Angeles,Agoura Hills,1982,,,,,,,,,,,,,,,"20,390","20,537","20,330"
Los Angeles,Alhambra,1903,,,,,,,"5,021","9,096","29,472","38,935","51,359","54,807","62,125","64,767","82,106","85,804","83,089"
Los Angeles,Arcadia,1903,,,,,,,696,"2,239","5,216","9,122","23,066","41,005","45,138","45,993","48,290","53,054","56,364"
Los Angeles,Artesia,1959,,,,,,,,,,,,"9,993","14,757","14,301","15,464","16,380","16,522"
Los Angeles,Avalon,1913,,,,,,,,586,"1,897","1,637","1,506","1,536","1,520","2,022","2,918","3,127","3,728"
Los Angeles,Azusa,1898,,,,,,863,"1,477","2,460","4,808","5,209","11,042","20,497","25,217","29,380","41,333","44,712","46,361"
Los Angeles,Baldwin Park,1956,,,,,,,,,,,,"33,951","47,285","50,554","69,330","75,837","75,390"
Los Angeles,Bell,1927,,,,,,,,,"7,884","11,264","15,430","19,450","21,836","25,450","34,365","36,664","35,477"
Los Angeles,Bell Gardens,1961,,,,,,,,,,,,,"29,308","34,117","42,355","44,054","42,072"
Los Angeles,Bellflower,1957,,,,,,,,,,,,"45,909","52,334","53,441","61,815","72,878","76,616"
Los Angeles,Beverly Hills,1914,,,,,,,,674,"17,429","26,823","29,032","30,817","33,416","32,646","31,971","33,784","34,109"
Los Angeles,Bradbury,1957,,,,,,,,,,,,618,838,846,829,855,"1,048"
Los Angeles,Burbank,1911,,,,,,,,"2,913","16,662","34,337","78,577","90,155","88,871","84,625","93,643","100,316","103,340"
Los Angeles,Calabasas,1991,,,,,,,,,,,,,,,,"21,356","23,058"
Los Angeles,Carson,1968,,,,,,,,,,,,,"71,150","81,221","83,995","89,730","91,714"
Los Angeles,Cerritos,1956,,,,,,,,,,,,"3,508","15,856","53,020","53,240","51,488","49,041"
Los Angeles,Claremont,1907,,,,,,,"1,114","1,728","2,719","3,057","6,327","12,633","23,998","31,028","32,503","33,998","34,926"
Los Angeles,Commerce,1960,,,,,,,,,,,,"9,555","10,635","10,509","12,135","12,568","12,823"
Los Angeles,Compton,1888,,,,,636,n/a,922,"1,478","12,516","16,198","47,991","71,812","78,547","81,347","90,454","93,493","96,455"
Los Angeles,Covina,1901,,,,,,,"1,652","1,999","2,774","3,049","3,956","20,124","30,395","32,746","43,207","46,837","47,796"
Los Angeles,Cudahy,1960,,,,,,,,,,,,,"16,998","18,275","22,817","24,208","23,805"
Los Angeles,Culver City,1917,,,,,,,,503,"5,669","8,976","19,720","32,163","34,451","38,139","38,793","38,816","38,883"
Los Angeles,Diamond Bar,1989,,,,,,,,,,,,,,,"53,672","56,287","55,544"
Los Angeles,Downey,1956,,,,,,,,,,,,"82,505","88,573","82,602","91,444","107,323","111,772"
Los Angeles,Duarte,1957,,,,,,,,,,,,"13,962","14,981","16,766","20,688","21,486","21,321"
Los Angeles,El Monte,1912,,,,,,,,"1,283","3,479","4,746","8,101","13,163","69,892","79,494","106,209","115,965","113,475"
Los Angeles,El Segundo,1917,,,,,,,,"1,563","3,503","3,738","8,011","14,219","15,620","13,752","15,223","16,033","16,654"
Los Angeles,Gardena,1930,,,,,,,,,,"5,909","14,405","35,943","41,021","45,165","49,847","57,746","58,829"
