County,Incorporated City or Town,Incorporation Date,"June 1, 1850","June 1, 1860","June 1, 1870","June 1, 1880","June 1, 1890 (2)","June 1, 1900","April 15, 1910","Jan. 1, 1920","April 1, 1930","April 1, 1940","April 1, 1950","April 1, 1960","April 1, 1970","April 1, 1980","April 1, 1990","April 1, 2000 (4)","April 1, 2010"
Santa Barbara,Guadalupe,1946,,,,,,,,,,,"2,429","2,614","3,145","3,629","5,479","5,659","7,080"
Santa Barbara,Lompoc,1888,,,,,"1,015",972,"1,482","1,876","2,845","3,379","5,520","14,415","25,284","26,267","37,649","41,103","42,434"
Santa Barbara,Santa Barbara,1850,n/a,"2,351","4,255","3,460","5,864","6,587","11,659","19,441","33,613","34,958","44,913","58,768","70,215","74,414","85,571","89,600","88,410"
Santa Barbara,Santa Maria,1905,,,,,,,"2,260","3,943","7,057","8,522","10,440","20,027","32,749","39,685","61,284","77,423","99,553"
Santa Barbara,Solvang,1985,,,,,,,,,,,,,,,"4,741","5,332","5,245"
,,,,,,,,,,,,,,,,,,,
Santa Clara,,1850,,"11,912","26,246","35,039","48,005","60,216","83,539","100,676","145,118","174,949","290,547","642,315","1,065,313","1,295,071","1,497,577","1,682,585","1,781,642"
Santa Clara,Campbell,1952,,,,,,,,,,,,"11,863","23,797","26,910","36,048","38,138","39,349"
Santa Clara,Cupertino,1955,,,,,,,,,,,,"3,664","17,895","34,297","40,263","50,546","58,302"
Santa Clara,Gilroy,1870,,,"1,625","1,621","1,694","1,820","2,437","2,862","3,502","3,615","4,951","7,348","12,684","25,769","26,303","41,464","48,821"
Santa Clara,Los Altos,1952,,,,,,,,,,,,"19,696","25,062","25,769","26,303","27,693","28,976"
Santa Clara,Los Altos Hills,1956,,,,,,,,,,,,"3,412","6,871","7,421","7,514","7,902","7,922"
Santa Clara,Los Gatos,1887,,,,,"1,652","1,915","2,232","2,317","3,168","3,597","4,907","9,036","22,613","26,906","27,357","28,592","29,413"
Santa Clara,Milpitas,1954,,,,,,,,,,,,"6,572","26,561","37,820","50,686","62,698","66,790"
Santa Clara,Monte Sereno,1957,,,,,,,,,,,,"1,506","2,847","3,434","3,287","3,483","3,341"
Santa Clara,Morgan Hill,1906,,,,,,,607,646,908,"1,014","1,627","3,151","5,579","17,060","23,928","33,556","37,882"
Santa Clara,Mountain View,1902,,,,,,,"1,161","1,888","3,308","3,946","6,563","30,889","54,132","58,655","67,460","70,708","74,066"
Santa Clara,Palo Alto,1894,,,,,,"1,658","4,486","5,900","13,652","16,774","25,475","52,287","56,040","55,225","55,900","58,598","64,403"
Santa Clara,San Jose,1850,n/a,n/a,"9,089","12,567","18,060","21,500","28,946","39,642","57,651","68,457","95,280","204,196","459,913","629,531","782,248","894,943","945,942"
Santa Clara,Santa Clara,1852,,"2,559","3,469","2,416","2,891","3,650","4,348","5,220","6,302","6,650","11,702","58,880","86,118","87,700","93,613","102,361","116,468"
Santa Clara,Saratoga,1956,,,,,,,,,,,,"14,861","26,810","29,261","28,061","29,843","29,926"
Santa Clara,Sunnyvale,1912,,,,,,,,"1,675","3,094","4,373","9,829","52,898","95,976","106,618","117,229","131,760","140,081"
,,,,,,,,,,,,,,,,,,,
Santa Cruz,,1850,643,"4,944","8,743","12,802","19,270","21,512","26,140","26,269","37,433","45,057","66,534","84,219","123,790","188,141","229,734","255,602","262,382"
Santa Cruz,Boulder Creek,i. 1902/ d.1915,,,,,,,544,,,,,,,,,,
Santa Cruz,Capitola,1949,,,,,,,,,,,"1,848","2,021","5,080","9,095","10,171","10,033","9,918"
Santa Cruz,Felton,i. ~1875/ d.1917,,,,271,259,n/a,n/a,,,,,,,,,,
Santa Cruz,Santa Cruz,1866,,,"2,561","3,898","5,596","5,659","11,146","10,917","14,395","16,896","21,970","25,596","32,076","41,483","49,040","54,593","59,946"
Santa Cruz,Scotts Valley,1966,,,,,,,,,,,,,"3,621","6,891","8,615","11,385","11,580"
Santa Cruz,Watsonville,1868,,,"1,151","1,799","2,149","3,528","4,446","5,013","8,344","8,937","11,572","13,293","14,569","23,662","31,099","44,265","51,199"
,,,,,,,,,,,,,,,,,,,
Shasta,,1850,378,"4,360","4,173","9,492","12,133","17,318","18,920","13,361","13,927","28,800","36,413","59,468","77,640","115,613","147,036","163,256","177,223"
Shasta,Anderson,1956,,,,,,,,,,,,"4,492","5,492","7,381","8,299","9,022","9,932"
Shasta,Coram,i. 1910/ d.1918,,,,,,,666,,,,,,,,,,
Shasta,Kennett,i. 1911/ d.1930,,,,,,,,464,124,,,,,,,,
Shasta,Redding,1887,,,,,"1,821","2,946","3,572","2,962","4,188","8,109","10,256","12,773","16,659","41,995","66,462","80,865","89,861"
Shasta,Shasta Lake,1993,,,,,,,,,,,,,,,,"9,008","10,164"
,,,,,,,,,,,,,,,,,,,
Sierra,,1852,,"11,387","5,619","6,623","5,051","4,017","4,098","1,783","2,422","3,025","2,410","2,247","2,365","3,073","3,318","3,555","3,240"
Sierra,Loyalton,1901,,,,,,,983,442,837,925,911,936,945,"1,030",931,862,769
,,,,,,,,,,,,,,,,,,,
Siskiyou,,1852,,"7,629","6,848","8,610","12,163","16,962","18,801","18,545","25,480","28,598","30,733","32,885","33,225","39,732","43,531","44,301","44,900"
Siskiyou,Dorris,1908,,,,,,,214,424,762,863,892,973,840,836,892,886,939
Siskiyou,Dunsmuir,1909,,,,,,,"1,719","2,528","2,256","2,359","2,256","2,873","2,214","2,253","2,129","1,923","1,650"
Siskiyou,Etna,1878,,,,361,271,500,518,425,379,456,649,596,667,754,835,781,737
Siskiyou,Fort Jones,1872,,,,n/a,266,356,316,331,302,360,525,483,515,544,639,660,839
Siskiyou,Montague,1909,,,,,,,274,453,507,463,579,782,890,"1,285","1,415","1,456","1,443"
Siskiyou,Mount Shasta,1905,,,,,,,n/a,542,"1,009","1,618","1,909","1,936","2,256","2,837","3,460","3,621","3,394"
Siskiyou,Tulelake,1937,,,,,,,,,,785,"1,028",950,857,783,"1,010","1,020","1,010"
Siskiyou,Weed,1961,,,,,,,,,,,,,"2,983","2,879","3,062","2,978","2,967"
Siskiyou,Yreka,1857,,"1,631","1,063","1,059","1,100","1,254","1,134","1,277","2,126","2,485","3,227","4,759","5,394","5,916","6,948","7,290","7,765"
,,,,,,,,,,,,,,,,,,,
Solano,,1850,580,"7,169","16,871","18,475","20,946","24,143","27,559","40,602","40,834","49,118","104,833","134,597","171,989","235,203","340,421","394,542","413,344"
Solano,Benicia,1850,480,"1,470","1,656","1,794","2,361","2,751","2,360","2,693","2,913","2,419","7,284","6,070","7,349","15,376","24,437","26,865","26,997"
Solano,Dixon,1878,,,,n/a,"1,082",783,827,926,"1,000","1,108","1,714","2,970","4,432","7,541","10,401","16,103","18,351"
Solano,Fairfield,1903,,,,,,,834,"1,008","1,131","1,312","3,118","14,968","44,146","58,099","77,211","96,178","105,321"
Solano,Rio Vista,1894,,,,,,682,884,"1,104","1,309","1,666","1,831","2,616","3,135","3,142","3,316","4,571","7,360"
Solano,Suisun City,1868,,,462,554,499,625,641,769,905,706,946,"2,470","2,917","11,087","22,686","26,118","28,111"
Solano,Vacaville,1892,,,,,,"1,220","1,177","1,254","1,556","1,614","3,169","10,898","21,690","43,367","71,479","88,625","92,428"
Solano,Vallejo,1868,,,n/a,"5,987","6,343","7,965","11,340","21,107","16,072","20,072","26,038","60,877","71,710","80,303","109,199","116,760","115,942"
,,,,,,,,,,,,,,,,,,,
Sonoma,,1850,560,"11,867","19,819","25,926","32,721","38,480","48,394","52,090","62,222","69,052","103,405","147,375","204,885","299,681","388,222","458,614","483,878"
Sonoma,Cloverdale,1872,,,,430,763,750,823,718,759,809,"1,292","2,848","3,251","3,989","4,924","6,831","8,618"
Sonoma,Cotati,1963,,,,,,,,,,,,,"1,368","3,346","5,714","6,471","7,265"
Sonoma,Healdsburg,1867,,,959,"1,133","1,485","1,869","2,011","2,412","2,296","2,507","3,258","4,816","5,438","7,217","9,469","10,722","11,254"
Sonoma,Petaluma,1858,,"1,505",n/a,"3,326","3,692","3,871","5,880","6,226","8,245","8,034","10,315","14,035","24,870","33,834","43,184","54,548","57,941"
Sonoma,Rohnert Park,1962,,,,,,,,,,,,,"6,133","22,965","36,326","42,236","40,971"
Sonoma,Santa Rosa,1868,,,"2,898","3,616","5,220","6,673","7,817","8,758","10,636","12,605","17,902","31,027","50,006","82,658","113,313","147,595","167,815"
Sonoma,Sebastopol,1902,,,,,,,"1,233","1,493","1,762","1,856","2,601","2,694","3,993","5,595","7,004","7,774","7,379"
Sonoma,Sonoma,1883,,,,,757,652,957,801,980,"1,158","2,015","3,023","4,112","6,054","8,121","9,128","10,648"
Sonoma,Windsor,1992,,,,,,,,,,,,,,,,"22,744","26,801"
,,,,,,,,,,,,,,,,,,,
Stanislaus,,1854,,"2,245","6,499","8,751","10,040","9,550","22,522","43,557","56,641","74,866","127,231","157,294","194,506","265,900","370,522","446,997","514,453"
Stanislaus,Ceres,1918,,,,,,,,637,981,"1,332","2,351","4,406","6,029","13,281","26,314","34,609","45,417"
Stanislaus,Hughson,1972,,,,,,,,,,,,,,"2,943","3,259","3,980","6,640"
Stanislaus,Modesto,1884,,,,,"2,402","2,024","4,034","9,241","13,842","16,379","17,389","36,585","61,712","106,963","164,730","188,856","201,165"
Stanislaus,Newman,1908,,,,,,,892,"1,251","1,269","1,214","1,815","2,148","2,505","2,785","4,151","7,093","10,224"
Stanislaus,Oakdale,1906,,,,,,,"1,035","1,745","2,112","2,592","4,064","4,980","6,594","8,474","11,961","15,503","20,675"
Stanislaus,Patterson,1919,,,,,,,,694,905,"1,109","1,343","2,246","3,147","3,908","8,626","11,606","20,413"
Stanislaus,Riverbank,1922,,,,,,,,,803,"1,130","2,662","2,786","3,949","5,695","8,547","15,826","22,678"
Stanislaus,Turlock,1908,,,,,,,"1,573","3,394","4,276","4,839","6,235","9,116","13,992","26,287","42,198","55,810","68,549"
Stanislaus,Waterford,1969,,,,,,,,,,,,,"2,243","2,683","4,771","6,924","8,456"
,,,,,,,,,,,,,,,,,,,
Sutter,,1850,"3,444","3,390","5,030","5,159","5,469","5,886","6,328","10,115","14,618","18,680","26,239","33,380","41,935","52,246","64,415","78,930","94,737"
Sutter,Live Oak,1947,,,,,,,,,,,"1,770","2,276","2,645","3,103","4,320","6,229","8,392"
Sutter,Yuba City,1908,,,,,,,"1,160","1,708","3,605","4,968","7,861","11,507","13,986","18,736","27,437","36,758","64,925"
,,,,,,,,,,,,,,,,,,,
Tehama,,1856,,"4,044","3,587","9,301","9,916","10,996","11,401","12,882","13,866","14,316","19,276","25,305","29,517","38,888","49,625","56,039","63,463"
Tehama,Corning,1907,,,,,,,972,"1,449","1,377","1,472","2,537","3,006","3,573","4,745","5,870","6,741","7,663"
Tehama,Red Bluff,1876,,,,"2,106","2,608","2,750","3,530","3,104","3,517","3,824","4,905","7,202","7,676","9,490","12,363","13,147","14,076"
Tehama,Tehama,1906,,,,,,,221,196,190,175,314,261,317,365,401,432,418
,,,,,,,,,,,,,,,,,,,
Trinity,,1850,"1,635","5,125","3,213","4,999","3,719","4,383","3,301","2,551","2,809","3,970","5,087","9,706","7,615","11,858","13,063","13,022","13,786"
,,,,,,,,,,,,,,,,,,,
Tulare,,1852,,"4,638","4,533","11,281","24,574","18,375","35,440","59,031","77,442","107,152","149,264","168,403","188,322","245,738","311,921","368,021","442,179"
Tulare,Dinuba,1906,,,,,,,970,"3,400","2,968","3,790","4,971","6,103","7,917","9,907","12,743","16,844","21,453"
Tulare,Exeter,1911,,,,,,,,"1,852","2,685","3,883","4,078","4,264","4,475","5,606","7,276","9,168","10,334"
Tulare,Farmersville,1960,,,,,,,,,,,,,"3,456","5,544","6,235","8,737","10,588"
Tulare,Lindsay,1910,,,,,,,"1,814","2,576","3,878","4,397","5,060","5,397","5,206","6,936","8,338","10,297","11,768"
Tulare,Porterville,1902,,,,,,,"2,696","4,097","5,303","6,270","6,904","7,991","12,602","19,707","29,563","39,615","54,165"
Tulare,Tulare,1888,,,,,"2,697","2,216","2,758","3,539","6,207","8,259","12,445","13,824","16,235","22,530","33,249","43,994","59,278"
Tulare,Visalia,1874,,,,"1,412","2,885","3,085","4,550","5,753","7,263","8,904","11,749","15,791","27,268","49,729","75,636","91,877","124,442"
Tulare,Woodlake,1941,,,,,,,,,,,"2,525","2,623","3,371","4,343","5,678","6,651","7,279"
,,,,,,,,,,,,,,,,,,,
Tuolumne,,1850,"8,351","16,229","8,150","7,848","6,082","11,166","9,979","7,768","9,271","10,887","12,584","14,404","22,169","33,928","48,456","54,504","55,365"
Tuolumne,Columbia,i. ~1855/ d.1870,,"2,062","1,123",,,,,,,,,,,,,,
Tuolumne,Sonora,1851,,"1,960","1,322","1,492","1,441","1,922","2,029","1,684","2,278","2,257","2,448","2,725","3,100","3,247","4,153","4,423","4,903"
,,,,,,,,,,,,,,,,,,,
Ventura,,1872,,,,"5,073","10,071","14,367","18,347","28,724","54,976","69,685","114,647","199,138","378,497","529,174","669,016","753,197","823,318"
Ventura,Camarillo,1964,,,,,,,,,,,,,"19,219","37,797","52,303","57,077","65,201"
Ventura,Fillmore,1914,,,,,,,,"1,597","2,893","3,252","3,884","4,808","6,285","9,602","11,992","13,643","15,002"
Ventura,Moorpark,1983,,,,,,,,,,,,,,,"25,494","31,415","34,421"
Ventura,Ojai,1921,,,,,,,,,"1,468","1,622","2,519","4,495","5,591","6,816","7,613","7,862","7,461"
Ventura,Oxnard,1903,,,,,,,"2,555","4,417","6,285","8,519","21,567","40,265","71,225","108,195","142,216","170,358","197,899"
Ventura,Port Hueneme,1948,,,,,,,,,,,"3,024","11,067","14,295","17,803","20,319","21,845","21,723"
Ventura,Santa Paula,1902,,,,,,,"2,216","3,967","7,452","8,986","11,049","13,279","18,001","20,658","25,062","28,598","29,321"
Ventura,Simi Valley,1969,,,,,,,,,,,,,"59,832","77,500","100,217","111,351","124,237"
Ventura,Thousand Oaks,1964,,,,,,,,,,,,,"35,873","77,072","104,352","117,005","126,683"
Ventura,Ventura,1866,,,n/a,"1,370","2,320","2,470","2,901","4,156","11,603","13,264","16,534","29,114","57,964","73,774","92,575","100,916","106,433"
,,,,,,,,,,,,,,,,,,,
Yolo,,1850,"1,086","4,716","9,899","11,772","12,684","13,618","13,926","17,105","23,644","27,243","40,640","65,727","91,788","113,374","141,092","168,660","200,849"
Yolo,Davis,1917,,,,,,,,939,"1,243","1,672","3,554","8,910","23,488","36,640","46,209","60,308","65,622"
Yolo,West Sacramento,1987,,,,,,,,,,,,,,,"28,898","31,615","48,744"
Yolo,Winters,1898,,,,,,785,910,903,896,"1,133","1,265","1,700","2,419","2,652","4,639","6,125","6,624"
Yolo,Woodland,1871,,,,"2,257","3,069","2,886","3,187","4,147","5,542","6,637","9,386","13,524","20,677","30,235","39,802","49,151","55,468"
,,,,,,,,,,,,,,,,,,,
Yuba,,1850,"9,673","13,668","10,851","11,284","9,636","8,620","10,042","10,375","11,331","17,034","24,420","33,859","44,736","49,733","58,228","60,219","72,155"
Yuba,Marysville,1851,,"4,740","4,738","4,321","3,991","3,497","5,430","5,461","5,763","6,646","7,826","9,553","9,353","9,898","12,324","12,268","12,072"
Yuba,Wheatland,1874,,,,635,630,492,481,435,479,496,581,813,"1,280","1,474","1,631","2,275","3,456"
