Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty,,,,,,,,
Acres Green,93.07%,0.62%,0.50%,2.03%,,1.68%,2.09%,5.40%,,,,,,,,,,,,,,,,,
Chaffee County,90.94%,1.58%,1.09%,0.44%,0.05%,4.21%,1.69%,8.58%,$34,368.00,$42,043.00,$30,770.00,$22,219.00,$19,430.00,7.40%,11.70%,17.30%,10.20%,,,,,,,,
Cheraw,95.73%,,0.95%,,,2.84%,0.47%,10.90%,$21,250.00,$24,844.00,$20,125.00,$23,750.00,$12,590.00,13.40%,14.20%,16.70%,8.60%,,,,,,,,
Cherry Creek,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Hills Village,96.06%,0.64%,0.15%,1.51%,,0.57%,1.07%,1.88%,$190,805.00,$200,001.00,$100,000.00,$49,891.00,$99,996.00,1.70%,2.20%,3.50%,1.50%,,,,,,,,
Cheyenne County,92.87%,0.49%,0.76%,0.13%,,5.11%,0.63%,8.11%,$37,054.00,$44,394.00,$32,250.00,$19,286.00,$17,850.00,8.70%,11.10%,12.90%,10.90%,,,,,,,,
Cheyenne Wells,91.19%,0.99%,0.79%,0.10%,,6.44%,0.50%,9.90%,$36,563.00,$45,132.00,$32,941.00,$23,077.00,$18,840.00,7.50%,11.10%,12.40%,12.20%,,,,,,,,
Cimarron Hills,78.67%,8.01%,0.79%,2.55%,0.41%,4.47%,5.10%,11.83%,$46,363.00,$48,091.00,$32,228.00,$25,611.00,$17,709.00,6.40%,8.00%,10.00%,6.50%,,,,,,,,
Clear Creek County,96.37%,0.28%,0.73%,0.36%,0.03%,1.02%,1.20%,3.87%,$50,997.00,$61,400.00,$41,667.00,$30,757.00,$28,160.00,3.00%,5.40%,6.80%,5.60%,,,,,,,,
Clifton,89.09%,0.55%,1.42%,0.39%,0.05%,5.72%,2.78%,14.11%,$31,684.00,$34,542.00,$30,418.00,$20,704.00,$12,968.00,10.40%,12.60%,16.90%,4.60%,,,,,,,,
Coal Creek, Boulder County,95.52%,0.17%,0.47%,0.99%,,1.16%,1.68%,3.79%,$73,750.00,$79,129.00,$48,295.00,$34,856.00,$34,911.00,2.70%,3.60%,3.30%,5.50%,,,,,,,,
Coal Creek, Fremont County,94.72%,0.66%,,0.33%,,0.99%,3.30%,1.98%,$26,563.00,$29,583.00,$17,500.00,$21,250.00,$12,563.00,14.30%,18.60%,28.30%,0.00%,,,,,,,,
Coaldale,,,,,,,,,,,,,,,,,,,,,,,,,
Cokedale,89.21%,,0.72%,,,7.19%,2.88%,43.17%,$23,958.00,$40,179.00,$20,000.00,$26,250.00,$15,503.00,7.30%,6.90%,7.00%,5.10%,,,,,,,,
Collbran,98.20%,,0.26%,,,0.77%,0.77%,4.12%,$32,500.00,$36,016.00,$28,438.00,$27,917.00,$17,080.00,5.90%,14.70%,17.20%,8.00%,,,,,,,,
Colona,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado City,92.57%,0.99%,1.88%,0.20%,0.05%,2.38%,1.93%,9.17%,$37,331.00,$44,758.00,$32,396.00,$21,000.00,$17,247.00,5.70%,8.90%,7.80%,8.90%,,,,,,,,
Colorado Springs,80.70%,6.60%,0.90%,2.80%,0.20%,5.00%,3.90%,12.00%,$45,081.00,$53,478.00,$36,786.00,$26,427.00,$22,496.00,6.10%,8.70%,10.80%,7.20%,,,,,,,,
Columbine,94.82%,0.47%,0.40%,1.16%,0.12%,1.57%,1.46%,5.58%,$71,319.00,$77,866.00,$51,300.00,$35,713.00,$28,471.00,1.60%,2.00%,2.70%,2.20%,,,,,,,,
Columbine Valley,95.30%,0.70%,0.40%,1.50%,0.00%,,1.50%,2.10%,$130,417.00,$149,375.00,,,$71,089.00,0.00%,0.50%,0.00%,0.60%,,,,,,,,
Comanche Creek,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce City,74.15%,3.39%,1.23%,2.46%,,13.15%,5.62%,46.80%,$33,680.00,$37,279.00,$28,450.00,$22,877.00,$23,445.00,15.30%,19.40%,22.50%,15.10%,,,,,,,,
Conejos,,,,,,,,,,,,,,,,,,,,,,,,,
Conejos County,72.76%,0.21%,1.69%,0.15%,0.07%,21.50%,3.61%,58.92%,$24,744.00,$29,066.00,$26,351.00,$20,200.00,$12,050.00,18.60%,23.00%,28.20%,17.30%,,,,,,,,
Copper Mountain,,,,,,,,,,,,,,,,,,,,,,,,,
Cortez,79.20%,0.40%,11.80%,0.80%,0.00%,6.04%,2.44%,13.30%,$28,776.00,$35,533.00,$30,755.00,$20,280.00,$18,040.00,14.80%,18.60%,27.30%,17.30%,,,,,,,,
Costilla County,60.91%,0.79%,2.48%,1.01%,0.14%,29.46%,5.21%,67.59%,$19,531.00,$25,509.00,$22,390.00,$16,121.00,$10,748.00,21.30%,26.80%,32.40%,23.30%,,,,,,,,
Cotopaxi,,,,,,,,,,,,,,,,,,,,,,,,,
Cottonwood,91.73%,1.18%,0.86%,1.07%,0.11%,3.33%,1.72%,6.66%,$64,013.00,$64,605.00,$51,693.00,$30,500.00,$23,179.00,0.00%,0.00%,,,,,,,,,,
Craig,92.56%,0.30%,0.96%,0.42%,0.02%,3.84%,1.89%,10.80%,$41,091.00,$45,504.00,$38,038.00,$21,806.00,$18,140.00,6.90%,8.60%,10.50%,6.50%,,,,,,,,
Crawford,96.72%,,,,,1.64%,1.64%,2.19%,$23,281.00,$27,500.00,$37,917.00,$16,563.00,$13,284.00,23.50%,29.40%,45.80%,15.90%,,,,,,,,
Creede,96.82%,,1.33%,,,,1.86%,1.59%,$30,893.00,$34,125.00,$27,250.00,$17,250.00,$21,801.00,12.20%,13.40%,31.00%,11.10%,,,,,,,,
Crested Butte,97.19%,0.26%,0.92%,0.72%,0.00%,0.46%,0.46%,2.75%,$41,250.00,$49,118.00,$27,386.00,$23,073.00,$26,789.00,2.70%,11.40%,3.50%,0.00%,,,,,,,,
Crestone,95.89%,,,,,4.11%,,1.37%,$31,250.00,$40,000.00,$22,813.00,$27,917.00,$22,291.00,18.80%,19.70%,0.00%,0.00%,,,,,,,,
Cripple Creek,92.29%,0.90%,2.15%,0.81%,,1.43%,2.42%,6.01%,$39,261.00,$41,685.00,$27,600.00,$25,000.00,$19,607.00,4.70%,6.40%,3.80%,6.10%,,,,,,,,
Crisman,,,,,,,,,,,,,,,,,,,,,,,,,
