,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Benton County,82.40%,1.30%,0.90%,2.70%,0.10%,9.00%,3.60%,18.70%,$57,354.00,$69,834.00,$57,496.00,$36,575.00,$27,161.00,9.30%,12.70%,19.30%,6.10%
Berne,,,,,,,,,,,,,,,,,
Berrydale,,,,,,,,,,,,,,,,,
Berryman,,,,,,,,,,,,,,,,,
Bethel,,,,,,,,,,,,,,,,,
Beverly,,,,,,,,,,,,,,,,,
Bickleton,92.92%,,2.65%,,2.65%,1.77%,,6.19%,$34,500.00,$48,125.00,$42,500.00,$0.00,$17,580.00,20.00%,20.20%,36.10%,0.00%
Big Lake,94.97%,0.35%,1.04%,,0.09%,1.30%,2.25%,2.78%,$57,500.00,$59,167.00,$43,571.00,$29,821.00,$22,560.00,5.10%,7.80%,14.70%,5.70%
Bingen,72.62%,0.30%,3.72%,0.74%,,17.56%,5.06%,25.30%,$24,375.00,$27,361.00,$27,083.00,$19,886.00,$16,462.00,0.00%,2.30%,33.50%,26.20%
Bingville,,,,,,,,,,,,,,,,,
Birch,,,,,,,,,,,,,,,,,
Birch Bay,92.36%,1.05%,1.19%,1.23%,0.14%,1.91%,2.12%,4.45%,$40,040.00,$44,280.00,$41,198.00,$27,076.00,$21,204.00,6.70%,9.40%,13.70%,0.90%
Birchfield,,,,,,,,,,,,,,,,,
Birdsview,,,,,,,,,,,,,,,,,
Black Diamond,93.43%,0.08%,1.56%,1.01%,0.05%,0.88%,3.00%,2.70%,$67,092.00,$72,981.00,$51,792.00,$31,932.00,,0.90%,,0.90%,0.00%
Blaine,87.72%,1.19%,1.14%,4.19%,0.66%,1.33%,3.77%,4.35%,$36,900.00,$45,056.00,$36,381.00,$23,561.00,,15.50%,,16.60%,8.30%
Blakely Island,,,,,,,,,,,,,,,,,
Blewett,,,,,,,,,,,,,,,,,
Blockhouse,,,,,,,,,,,,,,,,,
Blueslide,,,,,,,,,,,,,,,,,
Bluestem,,,,,,,,,,,,,,,,,
Blyn,90.12%,,5.56%,0.62%,,,3.70%,,$38,750.00,$53,906.00,$25,625.00,$35,833.00,$23,285.00,0.00%,3.00%,,
Bodie,,,,,,,,,,,,,,,,,
Boise,,,,,,,,,,,,,,,,,
Boistfort,,,,,,,,,,,,,,,,,
Bolles,,,,,,,,,,,,,,,,,
Bolster,,,,,,,,,,,,,,,,,
Bonney Lake,94.08%,0.60%,1.02%,1.27%,0.07%,0.62%,2.33%,3.08%,$60,282.00,$62,644.00,$46,813.00,$31,837.00,,4.00%,,3.80%,5.30%
Bordeaux,,,,,,,,,,,,,,,,,
Bossburg,,,,,,,,,,,,,,,,,
Boston Harbor,,,,,,,,,,,,,,,,,
Bothell,79.70%,1.60%,0.60%,10.20%,0.20%,3.40%,4.50%,8.70%,$59,264.00,$68,580.00,$48,476.00,$34,385.00,$26,483.00,3.60%,5.10%,5.00%,5.00%
Bothell East,,,,,,,,,,,,,,,,,
Bothell West,,,,,,,,,,,,,,,,,
Boulevard Park,,,,,,,,,,,,,,,,,
Bow,,,,,,,,,,,,,,,,,
Boyds,,,,,,,,,,,,,,,,,
Brady,95.97%,0.16%,2.33%,,0.16%,,1.40%,1.24%,$67,386.00,$72,750.00,$45,764.00,$30,625.00,$20,857.00,4.90%,5.90%,3.40%,35.70%
Brandts Landing,,,,,,,,,,,,,,,,,
Breidablick,,,,,,,,,,,,,,,,,
Bremer,,,,,,,,,,,,,,,,,
Bremerton,74.97%,7.50%,1.95%,5.53%,0.93%,2.57%,6.56%,6.59%,$30,950.00,$36,358.00,$28,320.00,$23,523.00,$22,016.00,0.00%,6.00%,25.70%,11.40%
Brennan,,,,,,,,,,,,,,,,,
Brewster,54.91%,0.37%,2.28%,0.27%,,38.78%,3.38%,59.50%,$21,556.00,$22,381.00,$15,652.00,$16,154.00,$9,555.00,29.10%,31.70%,38.00%,16.40%
Bridgeport,60.81%,0.24%,1.94%,0.19%,0.10%,30.69%,6.02%,64.79%,$25,531.00,$26,086.00,$22,333.00,$17,788.00,$10,302.00,28.90%,33.20%,43.20%,4.30%
Brier,86.42%,0.83%,0.66%,7.77%,0.16%,0.97%,3.20%,3.23%,$73,558.00,$77,226.00,$52,407.00,$37,697.00,,1.80%,,1.70%,0.00%
Brinnon,92.65%,0.25%,1.49%,0.62%,0.25%,1.00%,3.74%,1.99%,$27,885.00,$34,375.00,$31,250.00,$16,500.00,$19,820.00,9.90%,13.80%,23.30%,6.70%
Broadway,,,,,,,,,,,,,,,,,
Brookfield,,,,,,,,,,,,,,,,,
Brooklyn,,,,,,,,,,,,,,,,,
Browns Point,,,,,,,,,,,,,,,,,
Brownstown,,,,,,,,,,,,,,,,,
Bruce,,,,,,,,,,,,,,,,,
Bruceport,,,,,,,,,,,,,,,,,
Brush Prairie,96.14%,0.21%,0.29%,0.71%,0.21%,0.59%,1.85%,1.68%,$59,408.00,$71,793.00,$47,708.00,$40,533.00,$27,605.00,2.40%,3.90%,5.00%,6.20%
Bryant,,,,,,,,,,,,,,,,,
Bryn Mawr,44.24%,25.33%,0.81%,21.82%,0.51%,2.19%,5.10%,4.54%,$47,385.00,$55,927.00,$38,821.00,$31,443.00,$23,294.00,6.40%,7.70%,9.30%,6.40%
Bryn Mawr-Skyway,44.24%,25.33%,0.81%,21.82%,0.51%,2.19%,5.10%,4.54%,$47,385.00,$55,927.00,$38,821.00,$31,443.00,$23,294.00,6.40%,7.70%,9.30%,6.40%
Buckeye,,,,,,,,,,,,,,,,,
Buckhorn,,,,,,,,,,,,,,,,,
Buckley,93.78%,0.63%,1.13%,0.77%,0.17%,0.55%,2.97%,1.81%,$49,453.00,$54,900.00,$43,409.00,$29,688.00,$19,744.00,3.60%,8.30%,6.40%,4.90%
Bucoda,92.04%,,0.80%,2.23%,0.32%,1.27%,3.34%,2.07%,$34,286.00,$32,708.00,$36,071.00,$22,321.00,$16,613.00,18.50%,25.10%,41.20%,2.70%
Buena,,,,,,,,,,,,,,,,,
Bunk Foss,,,,,,,,,,,,,,,,,
Bunker,,,,,,,,,,,,,,,,,
Bunker Hill,,,,,,,,,,,,,,,,,
Burbank,90.16%,0.30%,0.82%,0.36%,0.12%,5.81%,2.42%,9.93%,$50,522.00,$52,146.00,$40,343.00,$28,580.00,$17,105.00,3.40%,6.50%,11.50%,0.00%
Burien,75.74%,5.14%,1.29%,7.00%,1.16%,5.40%,4.28%,10.66%,$41,577.00,$53,814.00,$39,248.00,$29,694.00,,9.40%,,13.10%,6.10%
Burley,,,,,,,,,,,,,,,,,
Burlington,75.49%,0.83%,1.10%,1.76%,0.18%,17.66%,2.99%,25.26%,$37,848.00,$42,083.00,$35,247.00,$22,716.00,$23,737.00,0.00%,6.90%,21.80%,16.80%
Burnett,,,,,,,,,,,,,,,,,
Buroker,,,,,,,,,,,,,,,,,
Busby,,,,,,,,,,,,,,,,,
Byron,,,,,,,,,,,,,,,,,
Cactus,,,,,,,,,,,,,,,,,
Camano,95.61%,0.25%,0.83%,0.65%,0.25%,0.56%,1.84%,2.06%,$54,262.00,$60,013.00,$47,309.00,$31,250.00,$24,362.00,4.40%,5.60%,6.50%,3.30%
Camas,92.01%,0.69%,0.69%,3.41%,0.14%,0.80%,2.26%,2.86%,$60,187.00,$64,885.00,$51,470.00,$31,985.00,,5.40%,,6.40%,4.70%
Camden,,,,,,,,,,,,,,,,,
Canby,,,,,,,,,,,,,,,,,
Canterwood,,,,,,,,,,,,,,,,,
Canyon Creek,93.59%,0.21%,0.90%,0.47%,0.09%,1.72%,3.01%,3.44%,$51,370.00,$51,037.00,$38,614.00,$26,781.00,$18,613.00,5.80%,8.70%,11.30%,0.00%
Carbonado,96.46%,,0.48%,,,0.64%,2.42%,1.93%,$50,250.00,,$38,583.00,$24,821.00,$16,135.00,1.40%,4.00%,2.90%,0.00%
Carlisle,,,,,,,,,,,,,,,,,
Carlsborg,94.74%,,1.40%,0.82%,,0.70%,2.34%,1.64%,$28,103.00,$36,736.00,$25,455.00,$16,618.00,$17,350.00,3.60%,7.50%,7.20%,0.00%
Carlton,,,,,,,,,,,,,,,,,
Carnation,91.76%,,1.32%,3.59%,0.16%,1.80%,1.37%,3.91%,$60,156.00,$64,167.00,$46,667.00,$33,281.00,,6.70%,,7.50%,6.50%
Carrolls,,,,,,,,,,,,,,,,,
Carson,,,,,,,,,,,,,,,,,
Cascade,65.30%,7.40%,0.50%,17.60%,0.60%,,4.51%,6.50%,$88,859.00,$66,811.00,$47,094.00,$33,886.00,$38,624.00,3.00%,,,
