State,1789,1790,1792,1796,1800,1803,1810,1812,1816,1817,1818,1820,1830,1836,1837,1840,1845,1848,1850,1858,1860,1861,1863,1864,1867,1870,1876,1880,1889,1890,1896,1900,1907,1910,1912,1930,1940,1950,1959,1960,1970,1980,1990,2000,2010
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,5,5,4,4,4,4,4,4,3,3,3,3
TN,0,0,0,3,5,5,8,8,8,8,8,11,15,15,15,13,13,13,12,12,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,11,12,11,11,11,10,11,11,11,11
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,,,,,,8,8,13,13,15,15,18,18,20,20,23,23,24,24,25,26,29,32,34,38
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,5,5,5,6
VT,0,3,3,3,6,6,8,8,8,8,8,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
VA,10,21,21,21,24,24,25,25,25,25,25,24,23,23,23,17,17,17,15,15,,,,,,11,11,12,12,12,12,12,12,12,12,11,11,12,12,12,12,12,13,13,13
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,7,7,8,8,9,9,9,9,10,11,11,12
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,6,6,6,6,7,7,8,8,8,8,8,8,7,6,6,5,5,5
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,8,8,8,8,8,10,10,11,11,12,12,13,13,13,13,12,12,12,12,12,11,11,11,10,10
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
