,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
South Deerfield,96.68%,0.80%,0.16%,0.43%,,0.86%,1.07%,2.25%,$43,984.00,$65,298.00,$37,898.00,$33,661.00,$24,144.00,1.30%,4.40%,0.00%,4.00%
South Dennis,95.41%,1.01%,0.60%,0.35%,,0.90%,1.74%,1.30%,$40,330.00,$47,935.00,$35,026.00,$26,818.00,$22,974.00,2.00%,3.20%,0.70%,3.70%
South Duxbury,97.98%,0.26%,0.23%,0.65%,,0.07%,0.82%,0.78%,$96,929.00,$107,094.00,$93,137.00,$45,109.00,$42,108.00,,,,
South Hadley,94.05%,1.20%,0.12%,2.53%,0.06%,0.77%,1.28%,2.36%,,,,,,,,,
South Lancaster,90.30%,6.43%,0.06%,1.26%,,1.49%,0.46%,5.45%,$48,750.00,$56,319.00,$41,917.00,$31,429.00,$23,341.00,4.60%,5.30%,1.90%,23.30%
South Yarmouth,94.74%,1.53%,0.34%,0.63%,0.06%,1.03%,1.66%,1.63%,$37,643.00,$44,325.00,$35,476.00,$26,118.00,$20,609.00,5.50%,7.30%,11.30%,3.90%
Southampton,98.29%,0.20%,0.13%,0.63%,,0.20%,0.54%,0.87%,,,,,,,,,
Southborough,94.47%,0.54%,0.07%,3.52%,0.05%,0.50%,0.87%,1.50%,,,,,,,,,
Southbridge,81.20%,2.60%,0.50%,1.90%,0.00%,,2.90%,26.60%,,,,,,,,,
Southfield, Plymouth County,,,,,,,,,,,,,,,,,
Southwick,97.41%,0.51%,0.20%,0.37%,0.01%,0.34%,1.15%,1.72%,,,,,,,,,
Spencer,97.93%,0.59%,0.24%,0.33%,0.02%,0.26%,0.64%,1.33%,,,,,,,,,
Spencer (CDP),97.58%,0.61%,0.31%,0.28%,0.02%,0.41%,0.78%,1.61%,$35,206.00,$46,333.00,$36,563.00,$25,738.00,$18,975.00,9.00%,12.00%,16.60%,11.70%
Sterling,98.06%,0.58%,0.10%,0.40%,0.01%,0.28%,0.58%,0.81%,,,,,,,,,
Stockbridge,96.92%,1.23%,0.04%,0.44%,0.04%,0.97%,0.35%,2.90%,,,,,,,,,
Stoneham,95.01%,0.89%,0.05%,2.61%,0.04%,0.59%,0.90%,1.79%,$56,605.00,$71,334.00,$46,797.00,$37,274.00,$27,599.00,3.00%,4.10%,5.70%,5.50%
Stoneham,95.01%,0.89%,0.05%,2.61%,0.04%,0.59%,0.90%,1.79%,,,,,,,,,
Stoughton,80.20%,11.10%,0.20%,2.30%,,1.30%,2.60%,3.20%,,,,,,,,,
Stow,93.60%,0.70%,0.20%,3.30%,,0.40%,1.90%,1.90%,,,,,,,,,
Sturbridge,97.14%,3.60%,2.70%,1.14%,0.09%,0.31%,0.70%,1.30%,,,,,,,,,
Sturbridge (CDP),97.56%,0.10%,0.05%,2.05%,,0.10%,0.15%,0.83%,$56,806.00,$65,649.00,$45,000.00,$32,768.00,$24,596.00,5.10%,5.70%,13.50%,0.00%
Sudbury,94.23%,0.80%,0.03%,3.72%,0.03%,0.23%,0.96%,1.24%,,,,,,,,,
Suffolk County,56.00%,21.60%,0.40%,8.20%,,9.70%,3.90%,19.90%,,,,,,,,,
Sutton,98.18%,0.68%,0.01%,0.59%,,0.27%,0.55%,0.70%,,,,,,,,,
Swampscott,97.47%,0.74%,0.06%,0.68%,0.02%,0.28%,0.75%,1.27%,$84,174.00,$92,795.00,$56,541.00,$38,690.00,$45,487.00,2.50%,3.70%,4.10%,5.40%
Swampscott,97.47%,0.74%,0.06%,0.68%,0.02%,0.28%,0.75%,1.27%,,,,,,,,,
Swansea,97.91%,0.38%,0.08%,0.36%,0.01%,0.27%,1.00%,0.60%,,,,,,,,,
Taunton,83.67%,4.84%,0.26%,1.00%,0.03%,5.59%,2.21%,6.73%,,,,,,,,,
Teaticket,94.23%,1.00%,0.37%,1.36%,,1.36%,1.68%,1.21%,$41,272.00,$46,705.00,$37,107.00,$25,642.00,$24,008.00,3.50%,5.00%,5.80%,4.80%
Templeton,98.15%,0.35%,0.22%,0.28%,,0.43%,0.57%,1.44%,,,,,,,,,
Tewksbury,96.44%,0.67%,0.12%,1.59%,0.01%,0.41%,0.75%,1.22%,,,,,,,,,
The Pinehills,,,,,,,,,,,,,,,,,
Tisbury,90.04%,2.96%,1.36%,0.32%,0.05%,1.33%,3.94%,1.04%,,,,,,,,,
Tolland,97.42%,0.94%,1.17%,0.23%,,,0.23%,1.17%,,,,,,,,,
Topsfield,97.80%,0.40%,0.03%,0.85%,0.00%,0.34%,0.65%,0.83%,,,,,,,,,
Topsfield (CDP),98.16%,0.11%,0.07%,0.57%,0.00%,0.42%,0.67%,0.85%,,,,,,,,,
Townsend,96.70%,0.60%,0.20%,0.80%,0.00%,0.40%,1.30%,1.80%,,,,,,,,,
Townsend (CDP),96.84%,0.48%,0.67%,,,0.29%,1.73%,1.15%,$50,234.00,$59,500.00,$39,813.00,$26,439.00,$25,272.00,0.00%,3.30%,0.00%,7.80%
Truro,95.11%,1.87%,0.43%,0.38%,0.10%,0.77%,1.34%,1.15%,,,,,,,,,
Turners Falls,94.93%,0.74%,0.34%,0.97%,0.11%,0.79%,2.12%,3.49%,$24,243.00,$38,041.00,$30,997.00,$25,444.00,$16,446.00,13.40%,18.90%,28.60%,8.90%
Tyngsborough,95.63%,0.50%,0.23%,2.48%,0.04%,0.14%,0.99%,1.11%,,,,,,,,,
Tyringham,95.43%,0.29%,0.29%,2.57%,,,1.43%,0.29%,,,,,,,,,
Upton,96.34%,3.46%,0.07%,0.97%,,0.30%,0.83%,0.73%,,,,,,,,,
Upton-West Upton,97.12%,0.43%,0.04%,1.03%,,0.39%,0.99%,0.69%,$62,578.00,$75,937.00,$51,071.00,$35,351.00,$26,502.00,3.00%,5.30%,7.10%,8.70%
Vineyard Haven,88.92%,3.22%,1.86%,0.20%,0.10%,1.71%,4.00%,0.63%,$37,318.00,$44,844.00,$35,824.00,$28,750.00,$26,225.00,6.50%,11.30%,29.20%,10.30%
Wakefield,96.94%,0.45%,0.08%,1.43%,0.01%,0.20%,0.90%,,$66,117.00,$77,834.00,$51,591.00,$39,327.00,$30,369.00,1.70%,3.10%,1.70%,4.60%
Wakefield,94.50%,0.90%,0.10%,2.60%,0.00%,0.60%,1.20%,2.30%,,,,,,,,,
Wales,97.75%,0.52%,0.29%,0.17%,,0.35%,0.92%,0.63%,,,,,,,,,
Walpole,95.41%,1.59%,0.11%,1.13%,0.01%,1.12%,0.64%,2.02%,,,,,,,,,
Walpole (CDP),96.71%,0.78%,0.07%,1.53%,0.02%,0.15%,0.73%,0.94%,$59,744.00,$74,535.00,$53,110.00,$35,833.00,$29,669.00,1.80%,3.10%,1.50%,6.90%
Waltham,82.98%,4.41%,0.16%,7.29%,0.06%,3.20%,1.89%,8.49%,,,,,,,,,
Ware,96.49%,0.55%,0.23%,0.60%,0.06%,0.76%,1.32%,2.08%,,,,,,,,,
Ware (CDP),95.59%,0.73%,0.24%,0.81%,0.02%,1.02%,1.59%,2.74%,$31,138.00,$35,805.00,$36,348.00,$25,411.00,$17,906.00,11.50%,13.60%,20.00%,8.40%
Wareham,57.42%,32.92%,,,0.05%,5.20%,3.43%,1.44%,,,,,,,,,
Wareham Center,90.33%,2.33%,0.49%,0.24%,0.03%,2.71%,3.86%,1.11%,$31,042.00,$43,984.00,$39,315.00,$28,715.00,$24,803.00,11.00%,14.00%,19.00%,17.40%
Warren,97.42%,0.42%,0.29%,0.27%,,0.21%,1.38%,0.88%,,,,,,,,,
Warren (CDP),98.35%,0.48%,,0.21%,,0.07%,0.90%,0.83%,$29,057.00,$37,019.00,$32,174.00,$25,069.00,$15,959.00,8.80%,10.00%,10.70%,5.10%
Warwick,96.93%,,0.27%,0.27%,,1.07%,1.47%,0.93%,,,,,,,,,
Washington,99.45%,0.37%,,,,,0.18%,0.74%,,,,,,,,,
Watertown,91.42%,1.73%,0.16%,3.87%,0.02%,0.85%,1.95%,2.68%,,,,,,,,,
Wayland,87.20%,0.90%,0.00%,9.90%,0.00%,0.40%,1.60%,2.40%,,,,,,,,,
Webster,94.82%,1.11%,0.34%,0.95%,,1.49%,,1.29%,,,,,,,,,
Webster (CDP),93.67%,1.34%,0.40%,1.09%,,1.93%,1.57%,5.07%,$32,163.00,$43,643.00,$35,187.00,$26,432.00,$18,524.00,10.50%,13.70%,16.00%,16.50%
Wellesley,,,,,,,,,$159,167.00,$186,518.00,,,$72,046.00,2.40%,3.80%,4.00%,2.10%
Wellfleet,96.58%,0.95%,0.29%,0.36%,0.04%,0.58%,1.20%,0.69%,,,,,,,,,
Wendell,92.49%,3.45%,,0.41%,,1.32%,2.33%,1.42%,,,,,,,,,
Wenham,97.84%,0.43%,0.02%,1.35%,,0.07%,0.29%,0.59%,,,,,,,,,
West Boylston,91.63%,5.33%,0.16%,0.86%,0.01%,0.63%,1.38%,4.77%,,,,,,,,,
West Bridgewater,96.40%,0.95%,0.26%,0.68%,,0.45%,1.27%,1.01%,,,,,,,,,
West Brookfield,98.16%,0.32%,0.24%,0.24%,0.05%,0.16%,0.84%,1.05%,,,,,,,,,
West Brookfield (CDP),98.26%,,0.25%,0.25%,0.06%,,1.18%,0.50%,$41,875.00,$52,292.00,$37,167.00,$27,692.00,$20,712.00,3.30%,7.40%,12.20%,5.10%
West Chatham,96.06%,1.04%,0.14%,0.21%,,1.52%,1.04%,0.90%,$42,300.00,$56,250.00,$39,554.00,$37,344.00,$26,468.00,5.80%,8.10%,18.80%,0.00%
West Concord,83.59%,5.82%,0.11%,3.50%,0.02%,5.61%,1.35%,6.18%,$86,096.00,$102,210.00,$56,053.00,$50,774.00,$43,271.00,1.90%,3.00%,1.40%,5.60%
West Dennis,95.53%,2.37%,0.54%,0.31%,,0.43%,0.82%,0.93%,$35,350.00,$50,156.00,$37,266.00,$29,625.00,$26,667.00,7.00%,10.70%,20.60%,7.50%
West Falmouth,97.86%,0.43%,0.05%,0.70%,,0.32%,0.64%,0.86%,$72,703.00,$84,368.00,$56,250.00,$42,250.00,$42,159.00,0.00%,2.10%,0.00%,0.00%
West Newbury,98.50%,0.20%,,0.50%,,0.40%,0.40%,0.70%,,,,,,,,,
West Springfield,90.68%,3.30%,0.22%,1.97%,0.04%,2.94%,2.10%,5.75%,,,,,,,,,
West Stockbridge,98.09%,0.28%,0.07%,0.92%,,0.07%,0.56%,0.85%,,,,,,,,,
West Tisbury,96.23%,0.69%,0.20%,0.36%,0.28%,0.49%,1.74%,0.69%,,,,,,,,,
West Wareham,85.06%,2.20%,0.79%,0.37%,,6.92%,4.66%,1.36%,$33,167.00,$43,333.00,$40,462.00,$28,333.00,$20,974.00,6.40%,7.10%,3.40%,16.90%
West Yarmouth,93.10%,2.03%,0.48%,0.53%,0.02%,1.47%,2.38%,1.67%,$35,597.00,$45,686.00,$35,461.00,$26,188.00,$19,633.00,7.30%,11.40%,16.90%,6.50%
Westborough (CDP),94.38%,1.58%,0.23%,1.96%,,0.65%,1.21%,3.14%,$47,708.00,$65,841.00,$46,104.00,$34,712.00,$27,119.00,5.70%,6.50%,5.30%,12.20%
Westfield,92.80%,1.60%,0.03%,1.30%,0.00%,2.22%,1.80%,7.50%,,,,,,,,,
Westford,76.10%,0.40%,0.10%,22.60%,0.00%,0.30%,1.50%,1.50%,,,,,,,,,
Westhampton,98.50%,,0.34%,0.14%,,0.27%,0.75%,0.54%,,,,,,,,,
Westminster,97.50%,0.46%,0.14%,1.14%,,0.14%,0.61%,1.11%,,,,,,,,,
Weston,90.26%,1.18%,0.05%,6.82%,0.05%,0.43%,1.21%,1.90%,,,,,,,,,
Westport,98.01%,0.17%,0.14%,0.49%,0.02%,0.37%,0.79%,0.69%,,,,,,,,,
Westwood,95.98%,0.50%,0.04%,2.48%,,0.21%,0.79%,0.94%,,,,,,,,,
Weweantic,89.07%,2.79%,0.95%,0.47%,,3.84%,2.89%,1.26%,$47,895.00,$50,192.00,$45,188.00,$27,303.00,$23,286.00,6.00%,9.00%,20.80%,3.70%
Weymouth,89.70%,3.10%,0.20%,3.20%,0.00%,0.60%,1.20%,2.10%,,,,,,,,,
Whately,97.97%,0.51%,0.13%,0.51%,,0.32%,0.57%,1.14%,,,,,,,,,
White Island Shores,89.64%,2.91%,0.84%,0.23%,0.14%,3.19%,3.05%,2.25%,$43,092.00,$43,191.00,$36,399.00,$23,953.00,$18,722.00,5.50%,5.40%,3.40%,21.80%
Whitinsville,95.20%,0.80%,0.20%,1.10%,,,1.70%,3.80%,$55,950.00,,,,,,6.50%,,
Whitman,97.15%,0.65%,0.16%,0.43%,0.01%,0.48%,1.12%,0.88%,,,,,,,,,
Wilbraham,96.40%,1.19%,0.06%,1.26%,0.06%,0.25%,0.77%,1.40%,,,,,,,,,
Wilbraham (CDP),97.12%,1.04%,0.08%,0.79%,0.08%,0.37%,0.51%,1.41%,$66,814.00,$71,825.00,$60,142.00,$34,712.00,$30,686.00,0.90%,2.10%,1.10%,6.40%
Williamsburg,97.94%,0.25%,0.08%,0.49%,,0.16%,1.07%,0.66%,,,,,,,,,
Williamstown,90.79%,2.72%,0.11%,3.12%,0.12%,0.77%,2.37%,2.77%,,,,,,,,,
Williamstown (CDP),86.87%,3.83%,0.06%,4.80%,0.11%,1.20%,3.13%,3.64%,$40,223.00,$70,000.00,$44,167.00,$23,702.00,$20,859.00,0.40%,7.40%,1.70%,4.60%
Wilmington,96.31%,0.41%,0.08%,2.03%,,0.42%,0.74%,0.95%,$70,652.00,$76,760.00,$50,446.00,$36,729.00,$25,835.00,1.80%,1.90%,1.70%,2.70%
Winchendon,95.96%,0.80%,0.30%,0.62%,0.07%,0.95%,1.29%,2.03%,,,,,,,,,
Winchendon (CDP),95.24%,1.04%,0.40%,0.85%,,1.25%,1.22%,2.40%,$33,375.00,$45,231.00,$34,980.00,$28,302.00,$18,195.00,12.00%,14.80%,16.90%,19.60%
Winchester,87.10%,1.00%,0.10%,9.30%,0.04%,0.40%,2.00%,1.90%,,,,,,,,,
Windsor,98.86%,,,,,0.34%,0.80%,0.11%,,,,,,,,,
Winthrop,94.44%,1.68%,0.16%,1.15%,0.04%,1.36%,1.16%,2.69%,,,,,,,,,
Woburn,90.57%,1.87%,0.10%,4.85%,0.05%,1.44%,1.13%,3.09%,,,,,,,,,
Woods Hole,94.70%,1.62%,0.54%,1.84%,,0.22%,1.08%,0.97%,$47,604.00,$57,969.00,$31,964.00,$31,875.00,$30,752.00,0.00%,5.30%,0.00%,6.40%
Worcester County,85.60%,4.20%,0.20%,4.00%,,3.60%,2.30%,9.40%,,,,,,,,,
Worthington,98.27%,0.31%,0.08%,0.24%,,,1.10%,1.02%,,,,,,,,,
Wrentham,97.64%,0.61%,0.12%,0.80%,0.01%,0.32%,0.50%,0.79%,,,,,,,,,
Yarmouth,95.23%,1.34%,0.33%,0.53%,0.04%,0.94%,1.59%,1.44%,,,,,,,,,
Yarmouth Port,98.46%,0.26%,0.17%,0.32%,0.02%,0.19%,0.59%,0.70%,$47,576.00,$57,841.00,$41,029.00,$30,171.00,$30,418.00,2.20%,4.30%,6.20%,1.30%
