,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Brookfield (CDP),98.10%,0.20%,0.52%,0.29%,,0.03%,0.85%,0.59%,$45,655.00,$54,519.00,$38,806.00,$29,155.00,$20,144.00,3.80%,6.10%,4.90%,13.70%
Brookline,73.30%,3.40%,0.12%,15.60%,0.30%,1.01%,3.00%,5.00%,$66,711.00,$92,993.00,$56,861.00,$43,436.00,$44,327.00,4.50%,9.30%,5.30%,7.50%
Buckland,96.53%,0.45%,0.45%,0.65%,,0.50%,1.41%,1.16%,,,,,,,,,
Burlington,79.20%,3.30%,0.10%,13.40%,0.02%,0.32%,0.86%,2.40%,,,,,,,,,
Buzzards Bay,98.49%,0.01%,0.54%,0.90%,,0.99%,0.07%,0.04%,$99,750.00,$142,165.00,$98,702.00,$68,801.00,$88,304.00,0.40%,1.70%,0.50%,1.20%
Cambridge,66.60%,11.70%,0.20%,15.10%,0.01%,2.10%,4.30%,7.60%,,,,,,,,,
Canton,86.10%,6.96%,0.05%,6.74%,0.02%,0.51%,0.95%,2.80%,,,,,,,,,
Carlisle,93.47%,0.17%,0.06%,4.83%,0.04%,0.13%,1.29%,1.19%,,,,,,,,,
Carver,95.78%,1.22%,0.10%,0.30%,0.01%,0.96%,1.63%,0.82%,,,,,,,,,
Charlemont,95.07%,0.29%,0.66%,0.74%,0.07%,0.44%,2.72%,1.99%,,,,,,,,,
Charlton,98.08%,0.46%,0.23%,0.20%,0.06%,0.34%,0.62%,0.98%,,,,,,,,,
Chatham,96.00%,1.90%,0.20%,0.30%,0.10%,0.90%,0.80%,1.00%,,,,,,,,,
Chatham (CDP),94.18%,2.22%,0.18%,0.30%,,2.10%,1.02%,1.86%,$47,037.00,$65,938.00,$32,417.00,$31,339.00,$28,542.00,0.90%,7.80%,0.90%,10.80%
Chelmsford,93.09%,0.79%,0.07%,4.62%,0.01%,0.52%,0.90%,1.23%,,,,,,,,,
Chelsea,47.80%,8.50%,1.10%,,0.09%,33.60%,5.90%,62.10%,,,,,,,,,
Cheshire,98.21%,0.38%,0.09%,0.62%,,0.06%,0.65%,0.44%,,,,,,,,,
Cheshire (CDP),,,,,,,,,,,,,,,,,
Chester,98.24%,0.15%,0.46%,0.08%,,0.31%,0.76%,1.30%,,,,,,,,,
Chester (CDP),,,,,,,,,,,,,,,,,
Chesterfield,98.67%,,,0.25%,0.25%,0.08%,0.75%,0.08%,,,,,,,,,
Chicopee,89.82%,2.28%,0.20%,0.87%,0.10%,4.90%,1.84%,8.76%,,,,,,,,,
Chilmark,97.75%,0.36%,0.12%,0.36%,,0.71%,0.71%,0.83%,,,,,,,,,
