Type,State,Subdivision,1790pop,1800pop,1810pop,1820pop,1830pop,1840pop,1850pop,1860pop,1870pop,1880pop,1890pop,1900pop,1910pop,1920pop,1930pop,1940pop,1950pop,1960pop,1970pop,1980pop,1990pop,2000pop,2010pop
County,North Carolina,Pasquotank,5477,5379,7674,8008,8641,8514,8950,8940,8131,10369,10748,13660,16693,17670,19143,20568,24347,25630,26824,28462,31298,34897,40696
County,North Carolina,Pender,,,,,,,,,,12468,12514,13381,15471,14788,15686,17710,18423,18508,18149,22215,28855,41082,53399
County,North Carolina,Perquimans,5439,5708,6052,6857,7419,7346,7332,7238,7945,9466,9293,10091,11054,11137,10668,9773,9602,9178,8351,9486,10447,11368,13487
County,North Carolina,Person,,6402,6642,9029,10027,9790,10781,11221,11170,13719,15151,16685,17356,18973,22039,25029,24361,26394,25914,29164,30180,35623,39637
County,North Carolina,Pitt,8270,9084,9169,10001,12093,11806,13397,16080,17276,21794,25519,30889,36340,45569,54466,61244,63789,69942,73900,90146,107924,133798,171134
County,North Carolina,Polk,,,,,,,,4043,4319,5062,5902,7004,7640,8832,10216,11874,11627,11395,11735,12984,14416,18324,20256
County,North Carolina,Randolph,7318,9234,10112,11331,12406,12875,15832,16793,17551,20836,25195,28232,29491,30856,36259,44554,50804,61497,76358,91728,106546,130454,142358
County,North Carolina,Richmond,5053,5623,6695,7537,9396,8909,9818,11009,12882,18245,23948,15855,19673,25567,34016,36810,39597,39202,39889,45481,44518,46564,46611
County,North Carolina,Robeson,5343,6839,7528,8204,9433,10370,12826,15489,16262,23880,31483,40371,51945,54674,66512,76860,87769,89102,84842,101610,105179,123339,135517
County,North Carolina,Rockingham,6211,8277,10316,11474,12935,13442,14495,16746,15708,21744,25363,33163,36442,44149,51083,57898,64816,69629,72402,83426,86064,91928,93329
County,North Carolina,Rowan,15972,20060,21543,26009,20786,12109,13870,14589,16810,19965,24123,31066,37521,44062,56665,69206,75410,82817,90035,99186,110605,130340,138019
County,North Carolina,Rutherford,7808,10753,13202,15351,17557,19202,13550,11573,13121,15198,18770,25101,28385,31426,40452,45577,46356,45091,47337,53787,56918,62899,67538
County,North Carolina,Sampson,6162,6719,6620,8908,11634,12157,14585,16624,16436,22894,25096,26380,29982,36002,40082,47440,49780,48013,44954,49687,47297,60161,63734
County,North Carolina,Scotland,,,,,,,,,,,,12553,15363,15600,20174,23232,26336,25183,26929,32273,33754,35998,35861
County,North Carolina,Stanly,,,,,,,6922,7801,8315,10505,12136,15220,19909,27429,30216,32834,37130,40873,42822,48517,51765,58100,60636
County,North Carolina,Stokes,8423,11026,11645,14033,16196,16265,9206,10402,11208,15353,17199,19866,20151,20575,22290,22656,21520,22314,23782,33086,37223,44711,47242
County,North Carolina,Surry,7192,9505,10366,12320,14504,15079,18443,10380,11252,15302,19281,25515,29705,32464,39749,41783,45593,48205,51415,59449,61704,71219,73714
