,1850,1850,1860,1860,1870,1870,1880,1880,1890,1890,1900,1900,1910,1910,1920,1920,1930,1930,1940,1940,1950,1950,1960,1960,1970,1970,1980,1980,1990,1990,2000,2000,2010,2010
,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state
Modoc,--,--,--,--,--,--,"4,399",0.51%,"4,986",0.41%,"5,076",0.34%,"6,191",0.26%,"5,425",0.16%,"8,038",0.14%,"8,713",0.13%,"9,678",0.09%,"8,308",0.05%,"7,469",0.04%,"8,610",0.04%,"9,678",0.03%,"9,449",0.03%,"9,686",0.03%
Mono,--,--,--,--,430,0.08%,"7,499",0.87%,"2,002",0.16%,"2,167",0.15%,"2,042",0.09%,960,0.03%,"1,360",0.02%,"2,299",0.03%,"2,115",0.02%,"2,213",0.01%,"4,016",0.02%,"8,577",0.04%,"9,956",0.03%,"12,853",0.04%,"14,202",0.04%
Monterey,"1,872",2.02%,"4,739",39.15%,"9,876",40.75%,"11,302",17.95%,"18,637",1.54%,"19,380",1.31%,"24,146",1.02%,"27,980",0.82%,"53,705",0.95%,"73,032",1.06%,"130,498",1.23%,"198,351",1.26%,"247,450",1.24%,"290,444",1.23%,"355,660",1.20%,"401,762",1.19%,"415,057",1.11%
Napa,405,0.44%,"5,521",1.45%,"7,163",1.28%,"13,235",1.53%,"16,411",1.35%,"16,451",1.11%,"19,800",0.83%,"20,678",0.60%,"22,897",0.40%,"28,503",0.41%,"46,603",0.44%,"65,890",0.42%,"79,140",0.40%,"99,199",0.42%,"110,765",0.37%,"124,279",0.37%,"136,484",0.37%
Nevada,--,--,"16,446",4.33%,"19,134",3.42%,"20,823",2.41%,"17,369",1.43%,"17,789",1.20%,"14,955",0.63%,"10,850",0.32%,"10,596",0.19%,"19,283",0.28%,"19,888",0.19%,"20,911",0.13%,"26,346",0.13%,"51,645",0.22%,"78,510",0.26%,"92,033",0.27%,"98,764",0.27%
Orange,--,--,--,--,--,--,--,--,"13,589",1.12%,"19,696",1.33%,"34,436",1.45%,"61,375",1.79%,"118,674",2.09%,"130,760",1.89%,"216,224",2.04%,"703,925",4.48%,"1,420,386",7.12%,"1,932,709",8.17%,"2,410,556",8.10%,"2,846,289",8.40%,"3,010,232",8.08%
Placer,--,--,"13,270",3.49%,"11,357",2.03%,"14,232",1.65%,"15,101",1.24%,"15,786",1.06%,"18,237",0.77%,"18,584",0.54%,"24,468",0.43%,"28,108",0.41%,"41,649",0.39%,"56,998",0.36%,"77,632",0.39%,"117,247",0.50%,"172,796",0.58%,"248,399",0.73%,"348,432",0.94%
Plumas,--,--,"4,363",1.15%,"6,180",1.10%,"4,933",0.57%,"4,657",0.38%,"5,259",0.35%,"5,681",0.24%,"7,913",0.23%,"11,548",0.20%,"13,519",0.20%,"11,620",0.11%,"11,707",0.07%,"17,340",0.09%,"19,739",0.08%,"20,824",0.07%,"20,007",0.06%,,0.00%
Riverside,--,--,--,--,--,--,--,--,--,--,"17,897",1.21%,"34,696",1.46%,"50,297",1.47%,"81,024",1.43%,"105,524",1.53%,"170,046",1.61%,"306,191",1.95%,"459,074",2.30%,"663,166",2.80%,"1,170,413",3.93%,"1,545,387",4.56%,"2,189,641",5.88%
Sacramento,--,--,--,--,--,--,--,--,--,--,"45,915",3.09%,"67,806",2.85%,"91,029",2.66%,"141,999",2.50%,"170,333",2.47%,"277,140",2.62%,"502,778",3.20%,"631,498",3.16%,"783,381",3.31%,"1,041,219",3.50%,"1,223,499",3.61%,"1,418,788",3.81%
