State,Year,Office,County,D#,R#,S#,SL#,SW#,S&L#,Comm.#,FL#,ND#,SD#,Proh.#,NP#,PF#,Pop.#,Prog.#,U#,AI#,I1#,I2#,I3#,Ref.#,NL#,G#,L#,W/I#,GR#,Am.F#,ER#,NT#,WL#,Pat.#,NA#,BD#,SM#,Cit.#,Labor#,Univ.#,Pet.1#,Pet.2#,UC#,ACP#,New I#,LMN#,SRD#,Peace I#,Am.#,Iowa#,New IA#,PND#,Pet.3#,Pet.4#,BQFTL#,CON#,Pet.#,Clear Water #,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,C#,NI#,All.#,Geneol.#
Iowa,2012,President,Decatur,1791,1947,,,5,3,,,,,,,,,,,12,9,,,,,15,33,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Delaware,4616,4636,,,2,3,,,,,,,,,,,10,5,,,,,24,46,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Des Moines,11888,8136,,,7,6,,,,,,,,,,,33,10,,,,,68,137,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Dickinson,4095,5912,,,2,2,,,,,,,,,,,18,6,,,,,23,68,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Dubuque,28768,21280,,,13,9,,,,,,,,,,,65,13,,,,,111,438,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Emmet,2099,2507,,,3,2,,,,,,,,,,,10,2,,,,,16,27,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Fayette,5732,4492,,,2,0,,,,,,,,,,,21,11,,,,,28,56,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Floyd,4680,3472,,,2,2,,,,,,,,,,,11,8,,,,,22,43,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Franklin,2266,2823,,,0,2,,,,,,,,,,,12,5,,,,,7,33,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Fremont,1637,1972,,,3,5,,,,,,,,,,,5,2,,,,,9,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Greene,2375,2380,,,5,3,,,,,,,,,,,11,6,,,,,8,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Grundy,2635,4215,,,6,1,,,,,,,,,,,18,3,,,,,10,33,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Guthrie,2569,3171,,,5,0,,,,,,,,,,,12,9,,,,,15,74,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Hamilton,3782,3991,,,0,0,,,,,,,,,,,29,9,,,,,19,54,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Hancock,2521,3317,,,1,2,,,,,,,,,,,10,2,,,,,16,39,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Hardin,4075,4670,,,5,0,,,,,,,,,,,24,8,,,,,17,53,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Harrison,3136,4065,,,3,2,,,,,,,,,,,15,5,,,,,15,52,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Henry,4460,5035,,,4,3,,,,,,,,,,,25,12,,,,,27,66,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Howard,2768,1795,,,0,3,,,,,,,,,,,8,3,,,,,10,41,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Humboldt,1972,3099,,,2,2,,,,,,,,,,,11,7,,,,,13,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Ida,1321,2286,,,3,0,,,,,,,,,,,7,2,,,,,9,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Iowa,4144,4569,,,3,3,,,,,,,,,,,28,6,,,,,27,52,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Jackson,5907,4177,,,1,1,,,,,,,,,,,22,3,,,,,15,67,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Jasper,10257,8877,,,2,3,,,,,,,,,,,59,23,,,,,42,149,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Jefferson,4798,3436,,,2,3,,,,,,,,,,,12,3,,,,,59,126,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Johnson,50666,23698,,,11,10,,,,,,,,,,,67,26,,,,,333,846,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Jones,5534,4721,,,2,0,,,,,,,,,,,32,5,,,,,23,83,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Keokuk,2303,2843,,,1,3,,,,,,,,,,,17,7,,,,,21,36,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Kossuth,3850,4937,,,3,3,,,,,,,,,,,17,9,,,,,22,43,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Lee,10714,7785,,,6,6,,,,,,,,,,,55,18,,,,,50,161,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Linn,68581,47622,,,12,17,,,,,,,,,,,148,46,,,,,221,1230,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
