State,Year,Office,County,D#,R#,CO1#,CO2#,CO3#,CC#,UIA#,ER#,CMT#,U#,Justice#,S#,Comm.#,Wor.#,SD#,PC#,Proh.#,Prog.#,SL#,FL#,PF#,SW#,AI#,Am#,IND#,I1#,I2#,I3#,I4#,I5#,Pop.#,NL#,Ref.#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,IA#,Cit.#,Am.#,I#,Year / Office,W/I#
Utah,1904,President,Summit,1358,2232,,,,,,,,,,267,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Tooele,639,1289,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Uintah,630,753,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Utah,4243,6490,,,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Wasatch,656,1042,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Washington,761,718,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Wayne,251,310,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1904,President,Weber,3108,6331,,,,,,,,,,680,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,
Utah,1908,President,Beaver,714,945,,,,,,,,,,27,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Box Elder,1417,2396,,,,,,,,,,40,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Cache,3317,3787,,,,,,,,,,64,,,,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Carbon,581,1023,,,,,,,,,,106,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Davis,1331,1736,,,,,,,,,,34,,,,,,,,,,,,,5,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Emery,749,1097,,,,,,,,,,158,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Garfield,290,722,,,,,,,,,,42,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Grand,215,232,,,,,,,,,,24,,,,,,,,,,,,,5,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Iron,488,712,,,,,,,,,,76,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Juab,1421,1615,,,,,,,,,,300,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Kane,102,415,,,,,,,,,,3,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Millard,765,1011,,,,,,,,,,38,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Morgan,306,494,,,,,,,,,,49,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Piute,157,333,,,,,,,,,,98,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Rich,285,425,,,,,,,,,,5,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Salt Lake,12954,20805,,,,,,,,,,2059,,,,,,,,,,,,,41,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,San Juan,109,130,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Sanpete,2307,3334,,,,,,,,,,128,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,
Utah,1908,President,Sevier,1272,1780,,,,,,,,,,187,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Summit,1402,1614,,,,,,,,,,148,,,,,,,,,,,,,9,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Tooele,808,1106,,,,,,,,,,59,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Uintah,683,778,,,,,,,,,,145,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Utah,4984,6373,,,,,,,,,,267,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Wasatch,985,1265,,,,,,,,,,98,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Washington,810,740,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Wayne,184,279,,,,,,,,,,96,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1908,President,Weber,3965,5881,,,,,,,,,,636,,,,,,,,,,,,,8,,,,,,,,,,,,0,,,,,,,,,,,
Utah,1912,President,Beaver,602,671,,,,,,,,,,106,,,,,,307,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Box Elder,1402,1650,,,,,,,,,,75,,,,,,936,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Cache,3296,2825,,,,,,,,,,135,,,,,,1173,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Carbon,514,771,,,,,,,,,,344,,,,,,541,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Davis,1142,1295,,,,,,,,,,21,,,,,,460,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Emery,760,760,,,,,,,,,,190,,,,,,336,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Garfield,249,673,,,,,,,,,,23,,,,,,128,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Grand,212,191,,,,,,,,,,45,,,,,,118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
