State,Year,Office,County,D#,R#,GB#,ND#,SD#,Proh.#,Comm.#,SW#,SL#,S&L#,Labor#,Workers#,IG#,FP#,RTL#,Cit.#,S#,UL1#,UL2#,FL#,IL#,Pop.#,Prog.#,AL#,Courage#,C#,IND#,I#,Ref.#,NL#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,CON#,Builders#,SE#,IProg.#,WW#,Ind. Fus.#,M#,Anti-Proh.#,TR#,RTH#,PF#,CS#,W/I#,Sapient#,Freedom#,Anti-Proh#,Ind. Soc.#,Liberal#,Ind.#,SAM#,Unity#,Year / Office
New York,,,Broome,22211,33798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994,735,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,2010 Comptroller
New York,,,Cattaraugus,6436,13686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004,157,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2010 Comptroller
New York,,,Cayuga,8268,12430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811,170,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,2010 Comptroller
New York,,,Chautauqua,12805,23369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612,287,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,2010 Comptroller
New York,,,Chemung,8173,14511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,163,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2010 Comptroller
New York,,,Chenango,4470,8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,181,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,2010 Comptroller
New York,,,Clinton,10338,10573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,122,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,2010 Comptroller
New York,,,Columbia,9906,12270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,181,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,2010 Comptroller
New York,,,Cortland,5193,7532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,113,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2010 Comptroller
New York,,,Delaware,4618,8199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,102,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2010 Comptroller
New York,,,Dutchess,35122,44639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748,663,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,2010 Comptroller
New York,,,Erie,114633,155461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11611,2374,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2010 Comptroller
New York,,,Essex,5053,6317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,70,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2010 Comptroller
New York,,,Franklin,5712,5501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,72,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,2010 Comptroller
New York,,,Fulton,3708,10536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,123,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2010 Comptroller
New York,,,Genesee,4609,11494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,182,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2010 Comptroller
New York,,,Greene,5436,9619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,160,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2010 Comptroller
New York,,,Hamilton,704,1726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,28,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2010 Comptroller
New York,,,Herkimer,5976,11144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,182,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2010 Comptroller
New York,,,Jefferson,9617,14845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889,175,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,2010 Comptroller
New York,,,Kings,287386,86777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6825,1302,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,2010 Comptroller
New York,,,Lewis,2328,4261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,85,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,2010 Comptroller
New York,,,Livingston,5945,11871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735,188,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2010 Comptroller
New York,,,Madison,6941,12303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,218,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2010 Comptroller
New York,,,Monroe,90461,120719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6215,1939,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,2010 Comptroller
New York,,,Montgomery,4509,8340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,182,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2010 Comptroller
New York,,,Nassau,178368,197004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4060,1673,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,2010 Comptroller
New York,,,New York,240232,89819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6845,1771,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,2010 Comptroller
New York,,,Niagara,20927,38162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2717,517,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2010 Comptroller
New York,,,Oneida,24155,38533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142,536,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,2010 Comptroller
New York,,,Onondaga,59716,72146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5095,1296,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,2010 Comptroller
New York,,,Ontario,11406,20020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964,323,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,2010 Comptroller
New York,,,Orange,43024,48246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2113,574,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,2010 Comptroller
New York,,,Orleans,2895,7051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,86,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2010 Comptroller
New York,,,Oswego,10411,17947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276,407,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,2010 Comptroller
New York,,,Otsego,6876,9565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,160,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,2010 Comptroller
New York,,,Putnam,11430,18306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,196,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,2010 Comptroller
New York,,,Queens,227258,93029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4680,1400,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,2010 Comptroller
New York,,,Rensselaer,21328,28881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325,533,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2010 Comptroller
New York,,,Richmond,40893,51847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329,473,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,2010 Comptroller
New York,,,Rockland,40642,40900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116,338,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,2010 Comptroller
New York,,,Saint Lawrence,12985,13053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972,172,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,2010 Comptroller
New York,,,Saratoga,28542,47869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673,721,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,2010 Comptroller
New York,,,Schenectady,19598,25186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152,656,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,2010 Comptroller
New York,,,Schoharie,3500,6317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,127,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2010 Comptroller
New York,,,Schuyler,1946,3535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,33,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2010 Comptroller
New York,,,Seneca,3692,5456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,81,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2010 Comptroller
New York,,,Steuben,7819,17294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,214,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,2010 Comptroller
