State,Year,County,Office,D#,R#,LD#,Prog.#,Proh.#,G#,IND#,L#,Ref.#,NL#,S#,SL#,Am.#,BE#,ADP#,NL#,Cit#,I#,SR#,Labor#,NA#,DR#,F1#,F2#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#
Delaware,1986,New Castle,Auditor,59511,43967,,,,,,,,,,,727,,,,,,,,,,,,,,,,,,,,,,
Delaware,1986,Sussex,Auditor,14391,14986,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,
Delaware,1988,Kent,Lieutenant Governor,14823,17568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1988,New Castle,Lieutenant Governor,78906,86283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1988,Sussex,Lieutenant Governor,17511,24293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1988,Kent,Insurance Commissioner,21115,10653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1988,New Castle,Insurance Commissioner,107321,53883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1988,Sussex,Insurance Commissioner,25395,15783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1990,Kent,Attorney General,12199,11686,,,,,,831,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1990,New Castle,Attorney General,72241,42710,,,,,,3235,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1990,Sussex,Attorney General,19522,14071,,,,,,537,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1990,Kent,Treasurer,8496,16055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1990,New Castle,Treasurer,44216,71646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1990,Sussex,Treasurer,12117,21819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1990,Kent,Auditor,10571,13846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1990,New Castle,Auditor,56503,57130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1990,Sussex,Auditor,15409,17874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1992,Kent,Lieutenant Governor,26195,12109,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1992,New Castle,Lieutenant Governor,107552,73410,,,,,,2754,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1992,Sussex,Lieutenant Governor,31609,17151,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1992,Kent,Insurance Commissioner,15833,21180,,,,,,,,,,,,,670,,,,,,,,,,,,,,,,,,,,
Delaware,1992,New Castle,Insurance Commissioner,82682,92739,,,,,,,,,,,,,2949,,,,,,,,,,,,,,,,,,,,
Delaware,1992,Sussex,Insurance Commissioner,19429,27426,,,,,,,,,,,,,669,,,,,,,,,,,,,,,,,,,,
Delaware,1994,Kent,Attorney General,10288,18043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1994,New Castle,Attorney General,66790,61972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1994,Sussex,Attorney General,14253,23127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1994,Kent,Treasurer,7924,20407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1994,New Castle,Treasurer,46338,81168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1994,Sussex,Treasurer,10029,27116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1994,Kent,Auditor,6847,21117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1994,New Castle,Auditor,49479,73767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1994,Sussex,Auditor,10208,26105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1996,Kent,Lieutenant Governor,27718,10576,,,,,,690,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1996,New Castle,Lieutenant Governor,122079,49461,,,,,,4201,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1996,Sussex,Lieutenant Governor,36770,13833,,,,,,649,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1996,Kent,Insurance Commissioner,12452,25329,,,,,,,,,,,,,,380,,,,,,,,,,,,,,,,,,,
Delaware,1996,New Castle,Insurance Commissioner,78788,89465,,,,,,,,,,,,,,2318,,,,,,,,,,,,,,,,,,,
Delaware,1996,Sussex,Insurance Commissioner,17522,31875,,,,,,,,,,,,,,521,,,,,,,,,,,,,,,,,,,
Delaware,2000,Kent,Lieutenant Governor,26478,19457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2000,New Castle,Lieutenant Governor,130193,73837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2000,Sussex,Lieutenant Governor,36677,26649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2000,Kent,Insurance Commissioner,17515,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2000,New Castle,Insurance Commissioner,103929,95753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2000,Sussex,Insurance Commissioner,23516,39143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2004,Kent,Lieutenant Governor,29301,21934,,,,,1209,230,,,,,,,,,,,,,,,,,4,,,,,,,,,,
Delaware,2004,New Castle,Lieutenant Governor,148056,73900,,,,,1922,1167,,,,,,,,,,,,,,,,,9,,,,,,,,,,
Delaware,2004,Sussex,Lieutenant Governor,41085,31667,,,,,1003,249,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2004,Kent,Insurance Commissioner,22574,29615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2004,New Castle,Insurance Commissioner,128700,92480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2004,Sussex,Insurance Commissioner,31484,41232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2006,Kent,Attorney General,18331,20008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2006,New Castle,Attorney General,88225,70450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2006,Sussex,Attorney General,26596,29604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2006,Kent,Treasurer,24834,12638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2006,New Castle,Treasurer,116139,38711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2006,Sussex,Treasurer,33415,21656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2006,Kent,Auditor,12837,24683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2006,New Castle,Auditor,81277,71761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2006,Sussex,Auditor,19361,35148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2008,Kent,Lieutenant Governor,36322,26957,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,
Delaware,2008,New Castle,Lieutenant Governor,157149,81009,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,
Delaware,2008,Sussex,Lieutenant Governor,43273,41257,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,
Delaware,2008,Kent,Insurance Commissioner,32038,29519,,,,,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2008,New Castle,Insurance Commissioner,151957,79458,,,,,3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2008,Sussex,Insurance Commissioner,35102,47462,,,,,1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2010,Kent,Attorney General,29139,,,,,,8787,,,,,,,,,,,,,,,,,,66,,,,,,,,,,
Delaware,2010,New Castle,Attorney General,136089,,,,,,28945,,,,,,,,,,,,,,,,,,101,,,,,,,,,,
Delaware,2010,Sussex,Attorney General,38703,,,,,,16771,,,,,,,,,,,,,,,,,,30,,,,,,,,,,
Delaware,2010,Kent,Treasurer,19611,28915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2010,New Castle,Treasurer,107041,75206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2010,Sussex,Treasurer,26551,42910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2010,Kent,Auditor,18683,29440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2010,New Castle,Auditor,102787,77938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2010,Sussex,Auditor,26123,42778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2012,Kent,Lieutenant Governor,35522,28021,,,,,,957,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2012,New Castle,Lieutenant Governor,160900,71683,,,,,,3206,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2012,Sussex,Lieutenant Governor,42537,44274,,,,,,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2012,Kent,Insurance Commissioner,35616,26155,,,,,,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2012,New Castle,Insurance Commissioner,156241,72125,,,,,,4407,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2012,Sussex,Insurance Commissioner,41497,42389,,,,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2014,Kent,Attorney General,18454,17391,,,,1370,1152,524,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2014,New Castle,Attorney General,77503,41485,,,,7327,2627,1807,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2014,Sussex,Attorney General,25453,31381,,,,1902,1100,653,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2014,Kent,Treasurer,14494,23190,,,,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2014,New Castle,Treasurer,67396,58700,,,,4149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2014,Sussex,Treasurer,18328,41215,,,,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2014,Kent,Auditor,14025,24597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2014,New Castle,Auditor,70544,58347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2014,Sussex,Auditor,19370,40156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2016,Kent,Lieutenant Governor,37961,32722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2016,New Castle,Lieutenant Governor,162669,83332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2016,Sussex,Lieutenant Governor,47511,53237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2016,Kent,Insurance Commissioner,35060,34884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2016,New Castle,Insurance Commissioner,171460,74916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2016,Sussex,Insurance Commissioner,39908,59428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2018,Kent,Attorney General,31788,27051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2018,New Castle,Attorney General,143443,63367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2018,Sussex,Attorney General,43120,47312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2018,Kent,Treasurer,27121,30925,,,,1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2018,New Castle,Treasurer,125821,77410,,,,4127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2018,Sussex,Treasurer,34298,55666,,,,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2018,Kent,Auditor,30383,28303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2018,New Castle,Auditor,134482,71748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2018,Sussex,Auditor,40759,49430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
