State,Year,County,Office,D#,R#,LD#,Prog.#,Proh.#,G#,IND#,L#,Ref.#,NL#,S#,SL#,Am.#,BE#,ADP#,NL#,Cit#,I#,SR#,Labor#,NA#,DR#,F1#,F2#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#
Delaware,1946,Sussex,US Senate,9636,12454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,Kent,US Senate,8911,8251,,16,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,New Castle,US Senate,50575,46882,,636,278,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,Sussex,US Senate,12402,13113,,29,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,Kent,US Senate,10380,9172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,New Castle,US Senate,64000,54955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,Sussex,US Senate,18640,13558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,Kent,US Senate,5909,10956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,New Castle,US Senate,45715,55386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1954,Sussex,US Senate,10765,16169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,Kent,US Senate,9034,8761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,New Castle,US Senate,58559,50849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1958,Sussex,US Senate,14687,12542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,Kent,US Senate,9179,12208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,New Castle,US Senate,74974,66546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,Sussex,US Senate,14721,17336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,Kent,US Senate,10140,11647,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,New Castle,US Senate,71484,74830,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,Sussex,US Senate,15226,17305,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,Kent,US Senate,8497,10812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,New Castle,US Senate,45650,71815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1966,Sussex,US Senate,13134,14641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,Kent,US Senate,9447,10835,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,New Castle,US Senate,44348,68915,,,,,,,,,,,1166,,,,,,,,,,,,,,,,,,,,,,
Delaware,1970,Sussex,US Senate,10945,15229,,,,,,,,,,,364,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,Kent,US Senate,14598,13121,,,21,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,New Castle,US Senate,85017,83273,,,133,,,,,,,,532,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,Sussex,US Senate,16391,16450,,,21,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,
Delaware,1976,Kent,US Senate,14359,13481,,,42,,,,,,,,86,,,,,44,,,,,,,,,,,,,,,,,
Delaware,1976,New Castle,US Senate,68610,93267,,,142,,,,,,,,486,,,,,323,,,,,,,,,,,,,,,,,
Delaware,1976,Sussex,US Senate,15086,18754,,,32,,,,,,,,74,,,,,73,,,,,,,,,,,,,,,,,
Delaware,1978,Kent,US Senate,12860,8485,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,
Delaware,1978,New Castle,US Senate,66256,44834,,,,,,,,,,,1449,,,,,,,,,,,,,,,,,,,,,,
Delaware,1978,Sussex,US Senate,14814,13160,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,
Delaware,1982,Kent,US Senate,10661,14591,,,,,,61,,,,,94,,,,,,,,,,,,,,,,,,,,,,
Delaware,1982,New Castle,US Senate,60478,71775,,,,,,539,,,,,322,,,,,,,,,,,,,,,,,,,,,,
Delaware,1982,Sussex,US Senate,13274,18991,,,,,,53,,,,,121,,,,,,,,,,,,,,,,,,,,,,
Delaware,1984,Kent,US Senate,13424,18911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1984,New Castle,US Senate,65352,107636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1984,Sussex,US Senate,19325,21284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1988,Kent,US Senate,21808,10810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1988,New Castle,US Senate,99798,68408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1988,Sussex,US Senate,29509,13160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1990,Kent,US Senate,14537,10103,,,,,,453,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1990,New Castle,US Senate,77105,41149,,,,,,1867,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1990,Sussex,US Senate,21276,13302,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1994,Kent,US Senate,9763,18582,,,,,,431,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1994,New Castle,US Senate,61266,68059,,,,,,2619,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1994,Sussex,US Senate,13525,24447,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1996,Kent,US Senate,21463,17922,,,,,,395,,,,,,,,243,,,,,,,,,,,,,,,,,,,
Delaware,1996,New Castle,US Senate,114747,64713,,,,,,2465,,,,,,,,1125,,,,,,,,,,,,,,,,,,,
Delaware,1996,Sussex,US Senate,29255,22453,,,,,,480,,,,,,,,330,,,,,,,,,,,,,,,,,,,
Delaware,2000,Kent,US Senate,21998,25387,,,,,,139,,,,,167,,,38,,,,,,,,,,,,,,,,,,,
Delaware,2000,New Castle,US Senate,128491,83554,,,,,,826,,,,,662,,,298,,,,,,,,,,,,,,,,,,,
Delaware,2000,Sussex,US Senate,31077,33950,,,,,,138,,,,,215,,,53,,,,,,,,,,,,,,,,,,,
Delaware,2002,Kent,US Senate,16907,17383,,,,,,99,,,,,,,,27,,159,,,,,,,,,,,,,,,,,
Delaware,2002,New Castle,US Senate,91516,52133,,,,,,711,,,,,,,,265,,622,,,,,,,,,,,,,,,,,
Delaware,2002,Sussex,US Senate,26830,25277,,,,,,112,,,,,,,,58,,215,,,,,,,,,,,,,,,,,
Delaware,2006,Kent,US Senate,23492,13191,,,,,,396,,,,,,,,,,,,,,,,,1348,43,,,,,,,,,
Delaware,2006,New Castle,US Senate,115769,39655,,,,,,1797,,,,,,,,,,,,,,,,,2238,244,,,,,,,,,
Delaware,2006,Sussex,US Senate,31306,16888,,,,,,478,,,,,,,,,,,,,,,,,7541,217,,,,,,,,,
Delaware,2008,Kent,US Senate,37074,27981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2008,New Castle,US Senate,177070,69491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2008,Sussex,US Senate,43395,43123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2010,Kent,US Senate,22315,25059,,,,,,404,,,,,,,,,,1662,,,,,,,17,4,,,,,,,,,
Delaware,2010,New Castle,US Senate,123678,57649,,,,,,1257,,,,,,,,,,4459,,,,,,,8,6,,,,,,,,,
Delaware,2010,Sussex,US Senate,28019,40345,,,,,,440,,,,,,,,,,2080,,,,,,,,,,,,,,,,,
Delaware,2012,Kent,US Senate,40750,22561,,,,457,,,,,,,,,,,,2522,,,,,,,,,,,,,,,,,
Delaware,2012,New Castle,US Senate,177244,56666,,,,2051,,,,,,,,,,,,6874,,,,,,,1,,,,,,,,,,
Delaware,2012,Sussex,US Senate,47421,36473,,,,683,,,,,,,,,,,,5904,,,,,,,,,,,,,,,,,
Delaware,2014,Kent,US Senate,19218,19527,,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2014,New Castle,US Senate,84985,45229,,,,2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2014,Sussex,US Senate,26452,34067,,,,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,2018,Kent,US Senate,31282,27210,,,,588,,670,,,,,,,,,,,,,,,,,,2,1,,,,,,,,
Delaware,2018,New Castle,US Senate,145428,59526,,,,1864,,2494,,,,,,,,,,,,,,,,,7,2,2,,,,,,,,
Delaware,2018,Sussex,US Senate,40675,50391,,,,718,,746,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1798,Kent,Governor,,,,,,,,,,,,,,,,,,,,,,742,882,0,,,,,,,,,,,
Delaware,1798,New Castle,Governor,,,,,,,,,,,,,,,,,,,,,,479,497,0,,,,,,,,,,,
Delaware,1798,Sussex,Governor,,,,,,,,,,,,,,,,,,,,,,847,1111,185,,,,,,,,,,,
Delaware,1801,Kent,Governor,,,,,,,,,,,,,,,,,,,,,,1020,1080,,,,,,,,,,,,
Delaware,1801,New Castle,Governor,,,,,,,,,,,,,,,,,,,,,,1465,682,,,,,,,,,,,,
Delaware,1801,Sussex,Governor,,,,,,,,,,,,,,,,,,,,,,990,1695,,,,,,,,,,,,
Delaware,1804,Kent,Governor,,,,,,,,,,,,,,,,,,0,,,,1035,1362,,,,,,,,,,,,
Delaware,1804,New Castle,Governor,,,,,,,,,,,,,,,,,,2,,,,1974,902,,,,,,,,,,,,
Delaware,1804,Sussex,Governor,,,,,,,,,,,,,,,,,,0,,,,1041,2127,,,,,,,,,,,,
Delaware,1807,Kent,Governor,,,,,,,,,,,,,,,,,,0,,,,952,1088,,,,,,,,,,,,
Delaware,1807,New Castle,Governor,,,,,,,,,,,,,,,,,,1,,,,1249,580,,,,,,,,,,,,
Delaware,1807,Sussex,Governor,,,,,,,,,,,,,,,,,,0,,,,861,1641,,,,,,,,,,,,
Delaware,1810,Kent,Governor,,,,,,,,,,,,,,,,,,,,,,1049,1221,,,,,,,,,,,,
Delaware,1810,New Castle,Governor,,,,,,,,,,,,,,,,,,,,,,1584,730,,,,,,,,,,,,
Delaware,1810,Sussex,Governor,,,,,,,,,,,,,,,,,,,,,,1031,1645,,,,,,,,,,,,
Delaware,1813,Kent,Governor,,,,,,,,,,,,,,,,,,,,,,742,1407,,,,,,,,,,,,
Delaware,1813,New Castle,Governor,,,,,,,,,,,,,,,,,,,,,,2033,1128,,1,1,1,,,,,,,,
Delaware,1813,Sussex,Governor,,,,,,,,,,,,,,,,,,,,,,993,2108,,,,,,,,,,,,
Delaware,1816,Kent,Governor,,,,,,,,,,,,,,,,,,,,,,802,1219,,,,,,,,,,,,
Delaware,1816,New Castle,Governor,,,,,,,,,,,,,,,,,,,,,,1706,1090,,,,,,,,,,,,
Delaware,1816,Sussex,Governor,,,,,,,,,,,,,,,,,,,,,,1009,1699,,,,,,,,,,,,
Delaware,1819,Kent,Governor,,,,,,,,,,,,,,,,,,,,,,811,1160,,,,,,,,,,,,
Delaware,1819,New Castle,Governor,,,,,,,,,,,,,,,,,,,,,,1444,894,,,,,,,,,,,,
Delaware,1819,Sussex,Governor,,,,,,,,,,,,,,,,,,,,,,930,1769,,,,,,,,,,,,
Delaware,1822,Kent,Governor,,,,,,,,,,,,,,,,,,,,,,1130,1013,,,,,,,,,,,,
Delaware,1822,New Castle,Governor,,,,,,,,,,,,,,,,,,,,,,1498,925,,,,,,,,,,,,
Delaware,1822,Sussex,Governor,,,,,,,,,,,,,,,,,,,,,,1156,1824,,,,,,,,,,,,
Delaware,1940,Kent,Governor,8196,8865,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1940,New Castle,Governor,41178,49469,2056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1940,Sussex,Governor,11863,12295,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1944,Kent,Governor,7574,7657,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1944,New Castle,Governor,43798,43889,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1944,Sussex,Governor,10784,12283,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,Kent,Governor,8632,8535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,New Castle,Governor,53427,44295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1948,Sussex,Governor,13280,12166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,Kent,Governor,9853,9797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,New Castle,Governor,55985,62769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1952,Sussex,Governor,15934,16411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1956,Kent,Governor,9911,9614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1956,New Castle,Governor,60213,67189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1956,Sussex,Governor,14923,15162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,Kent,Governor,11108,10192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,New Castle,Governor,72598,68921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1960,Sussex,Governor,17086,14930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,Kent,Governor,11035,10790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,New Castle,Governor,74824,71207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1964,Sussex,Governor,16938,15377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
