State,Year,Office,County,D#,R%,GB#,Wor.#,CL#,ST#,Cit.#,Justice#,Delta#,PF#,Proh.#,Pop.#,ND#,Comm.#,SL#,Prog.#,S&L#,S#,SW#,U#,UL#,AI#,IND#,I1#,I2#,NL#,Ref.#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,R#,I#,W/I#,CM#,Mod.#,Comp.#,Year / Office,Town,I3#,I4#
Rhode Island,2004,President,Providence,144811,82337,,151,,,,,,,,,,,,,,,,,,174,,,,,2304,747,423,,377,,,,,,,,,,,,,
Rhode Island,2004,President,Washington,34679,26533,,25,,,,,,,,,,,,,,,,,,60,,,,,800,217,172,,148,,,,,,,,,,,,,
Rhode Island,2008,President,Bristol,16162,9260,,,,,,,,,,,,,,,9,,,,,39,,234,,,,35,68,,98,,,,,,,,,,,,,
Rhode Island,2008,President,Kent,48406,33780,,,,,,,,,,,,,,,23,,,,,145,,943,,,,139,242,,396,,,,,,,,,,,,,
Rhode Island,2008,President,Newport,25479,15717,,,,,,,,,,,,,,,9,,,,,66,,366,,,,78,127,,155,,,,,,,,,,,,,
Rhode Island,2008,President,Providence,167442,81010,,,,,,,,,,,,,,,68,,,,,336,,2592,,,,428,677,,1077,,,,,,,,,,,,,
Rhode Island,2008,President,Washington,39082,25624,,,,,,,,,,,,,,,13,,,,,89,,694,,,,117,268,,273,,,,,,,,,,,,,
Rhode Island,2012,President,Bristol,14974,9231,,,,,,16,,,,,,,,,6,,,,,12,,,,,,144,228,,65,,,,,,,,,,,,,
Rhode Island,2012,President,Kent,45564,31567,,,,,,84,,,,,,,,,19,,,,,93,,,,,,416,908,,272,,,,,,,,,,,,,
Rhode Island,2012,President,Newport,23463,15202,,,,,,37,,,,,,,,,13,,,,,51,,,,,,190,380,,116,,,,,,,,,,,,,
Rhode Island,2012,President,Providence,159520,75785,,,,,,210,,,,,,,,,71,,,,,200,,,,,,1241,2069,,690,,,,,,,,,,,,,
Rhode Island,2012,President,Washington,35888,25366,,,,,,68,,,,,,,,,22,,,,,73,,,,,,428,797,,237,,,,,,,,,,,,,
Rhode Island,2016,President,Bristol,14609,8965,,,,,,,34,,,,,,,,,,,,,,,,,,,317,943,,533,70,2,2,,,,,,,,,,
Rhode Island,2016,President,Kent,37788,38336,,,,,,,132,,,,,,,,,,,,,,,,,,,1049,2943,,1663,124,12,6,,,,,,,,,,
Rhode Island,2016,President,Newport,22851,15077,,,,,,,52,,,,,,,,,,,,,,,,,,,590,1529,,854,76,13,3,,,,,,,,,,
Rhode Island,2016,President,Providence,142899,90882,,,,,,,364,,,,,,,,,,,,,,,,,,,3185,6772,,4035,307,14,16,,,,,,,,,,
Rhode Island,2016,President,Washington,33741,27230,,,,,,,89,,,,,,,,,,,,,,,,,,,1062,2543,,1514,182,5,3,,,,,,,,,,
Rhode Island,1950,US Senate,Bristol,7402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4727,,,,,,,,,
Rhode Island,1950,US Senate,Kent,16275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14983,,,,,,,,,
Rhode Island,1950,US Senate,Newport,9788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8112,,,,,,,,,
Rhode Island,1950,US Senate,Providence,143573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78714,,,,,,,,,
Rhode Island,1950,US Senate,Washington,7482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8354,,,,,,,,,
Rhode Island,1952,US Senate,Bristol,9260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7439,,,,,,,,,
Rhode Island,1952,US Senate,Kent,19780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25539,,,,,,,,,
Rhode Island,1952,US Senate,Newport,12219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13539,,,,,,,,,
Rhode Island,1952,US Senate,Providence,174710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126770,,,,,,,,,
Rhode Island,1952,US Senate,Washington,9159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12565,,,,,,,,,
Rhode Island,1954,US Senate,Bristol,7813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6204,,,,,,,,,
Rhode Island,1954,US Senate,Kent,21071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18537,,,,,,,,,
