State,Year,Office,County,D#,R#,PI#,S#,MR#,Proh.#,SL#,Prog.#,U#,Am.#,I1#,I2#,I3#,Neb.#,Ref.#,NL#,Pet1.#,Pet.2#,G#,L#,NA#,W/I#,Pet.#,NPL#,Pet.#.1,W/I1#,W/I2#,W/I3#,W/I4#,Year/Office
Nebraska,1900,President,Valley,864,810,,3,10,22,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Washington,1412,1741,,8,11,29,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Wayne,951,1246,,1,8,12,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Webster,1322,1355,,0,20,31,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,Wheeler,180,138,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1900,President,York,1871,2207,,2,5,75,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Adams,898,2315,467,58,,119,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Antelope,353,1813,509,27,,99,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Arthur,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Banner,18,155,9,3,,5,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Blaine,34,127,17,0,,3,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Boone,471,1823,428,15,,124,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Box Butte,217,668,71,25,,20,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Boyd,328,1233,247,61,,47,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Brown,134,587,74,26,,8,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Buffalo,731,2554,642,94,,94,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Burt,528,2081,171,18,,83,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Butler,1278,1723,281,12,,97,,,,,,,,,,,,,,,,,,,,,,,,
