State,Year,Office,County,D#,R#,S#,Comm.#,Liberty#,SW#,People's#,Proh.#,IND#,Labor#,Prog.#,Wor.#,FL#,U#,NRef#,Am.#,I1#,I2#,L#,Ref.#,NL#,G#,NA#,Delta#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I7#,W/I8#,W/I9#,New Ref.#,W/I#,Year / Office,C#,NPL#
Montana,1916,President,Fallon,1845,1169,95,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Fergus,5749,3290,380,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Flathead,2978,2913,520,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Gallatin,3661,2527,116,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Granite,812,574,89,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Hill,3241,1709,428,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Jefferson,1124,712,104,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Lewis and Clark,4337,3423,200,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Lincoln,1186,807,288,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Madison,1672,1279,67,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Meagher,1482,1158,46,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Mineral,781,251,188,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Missoula,4069,2926,558,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Musselshell,2036,1738,274,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Park,2050,1957,297,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Phillips,1252,999,102,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Powell,1340,939,83,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Prairie,622,535,22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Ravalli,1967,1623,233,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Richland,1947,1223,180,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Rosebud,1608,1337,95,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
