State,Year,Office,County,D#,R#,Prog.#,S#,AI#,L#,G#,I1#,I2#,I3#,I4#,I5#,NL#,Ref.#,W/I1#,W/2#,W/3#,D1#,D2#,D3#,D4#,D5#,I#,Ind.#,C#,O#,Others
Mississippi,1912,President,Yalobusha,788,22,29,24,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1912,President,Yazoo,887,7,30,10,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Adams,671,42,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Alcorn,1452,125,,12,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Amite,1024,16,,6,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Attala,1267,110,,27,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Benton,718,38,,0,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Bolivar,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Calhoun,1225,45,,34,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Carroll,943,34,,16,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Chickasaw,1215,47,,40,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Choctaw,873,53,,28,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Claiborne,435,5,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Clarke,1092,49,,29,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Clay,832,27,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Coahoma,697,21,,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Copiah,1486,20,,7,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Covington,836,63,,71,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,DeSoto,861,12,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Forrest,1146,54,,62,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Franklin,769,22,,6,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,George,341,32,,29,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Greene,399,32,,4,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Grenada,649,28,,7,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Hancock,512,68,,2,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Harrison,1395,197,,55,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Hinds,2220,97,,20,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Holmes,1070,21,,14,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Issaquena,94,8,,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Itawamba,1407,184,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Jackson,743,87,,22,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Jasper,1040,38,,37,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Jefferson,456,3,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Jefferson Davis,634,45,,4,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Jones,1664,196,,220,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Kemper,939,71,,18,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Lafayette,1370,47,,13,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Lamar,744,89,,49,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Lauderdale,3058,157,,85,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Lawrence,725,18,,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Leake,1434,31,,28,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Lee,1683,91,,5,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Leflore,853,28,,0,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Lincoln,1282,105,,20,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Lowndes,1028,29,,8,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Madison,782,36,,22,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Marion,792,51,,5,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Marshall,1017,8,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Monroe,1684,82,,15,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Montgomery,997,35,,24,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Neshoba,1459,69,,43,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Newton,1341,19,,56,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Noxubee,656,10,,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Oktibbeha,911,48,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Panola,1262,29,,0,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Pearl River,521,35,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Perry,395,32,,23,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Pike,1451,53,,12,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Pontotoc,1314,110,,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Prentiss,1342,164,,32,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Quitman,272,12,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Rankin,1104,8,,12,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Scott,1106,25,,18,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Sharkey,246,6,,2,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Simpson,966,34,,6,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Smith,1271,30,,16,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Stone,451,31,,5,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Sunflower,879,20,,2,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Tallahatchie,1061,6,,0,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Tate,1074,18,,7,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Tippah,1547,82,,11,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Tishomingo,1031,175,,19,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Tunica,173,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Union,1666,89,,8,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Walthall,665,12,,11,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Warren,1204,73,,5,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Washington,836,47,,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Wayne,787,47,,34,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Webster,944,143,,46,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Wilkinson,460,8,,4,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Winston,1152,47,,27,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Yalobusha,1175,49,,6,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1916,President,Yazoo,1146,25,,7,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Adams,642,114,,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Alcorn,1336,354,,41,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Amite,578,90,,5,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Attala,1187,270,,21,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Benton,405,124,,6,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Bolivar,1039,326,,5,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Calhoun,875,160,,41,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Carroll,669,184,,11,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Chickasaw,944,194,,26,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Choctaw,779,191,,14,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Claiborne,401,14,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Clarke,807,47,,24,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Clay,771,48,,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Coahoma,882,61,,10,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Copiah,1300,60,,14,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Covington,649,257,,29,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,DeSoto,816,27,,2,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Forrest,1146,140,,66,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Franklin,641,203,,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,George,263,56,,17,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Greene,337,24,,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Grenada,533,12,,8,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Hancock,305,130,,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Harrison,1270,314,,44,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Hinds,2510,151,,67,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Holmes,917,69,,15,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Humphreys,316,21,,2,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Issaquena,83,13,,0,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Itawamba,1023,198,,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Jackson,577,121,,4,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Jasper,899,98,,15,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Jefferson,430,14,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Jefferson Davis,485,179,,5,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Jones,734,419,,240,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Kemper,1397,129,,26,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Lafayette,873,321,,12,,,,,,,,,,,,,,,,,,,,,,,
