State,Year,Office,County,D#,R#,Pop.#,PF#,Proh.#,BR#,Right.#,FB#,Labor#,Wor.#,Nat.#,Cit.#,Free.#,Comm.#,S#,Ind.#,Prog.#,SD#,SL#,FS#,S&L#,SW#,SE#,FL#,Chr.#,Liberty#,Justice#,U#,Am.#,I1#,I2#,I3#,Ref.#,NL#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,D1#,D2#,R1#,R2#,ULS#,WSAL#,CNPM#,CNP#,IP#,New#,Buffalo#,C#,W/I#,State#,OWL#,T#,I#,Year / Office,Prog.#.1,Christian#,CON#,NM#
Washington,,,Ferry,1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Franklin,12544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9795,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Garfield,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Grant,12879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12728,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Grays Harbor,16893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9646,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Island,25660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14123,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Jefferson,13919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5229,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,King,724608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200826,,,,,,,,,,,,,,,,,,,,2358,,,,,2016 Attorney General,,,,
Washington,,,Kitsap,75893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40324,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Kittitas,10209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6707,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Klickitat,5436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4211,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
