State,Year,Office,County,D#,R#,SPD#,WFG#,S#,Liberty#,Comm.#,Labor#,Proh.#,SD#,Pop.#,CN#,SM#,Prog.#,Indiv.#,Workers#,U#,Am.#,AI#,SW#,I1#,I2#,I3#,I4#,I5#,I6#,Ref.#,NL#,G#,L#,ER#,NA#,Cit.#,NP#,Delta#,W/I#,IR#,GFC#,CFB#,R1#,R2#,Year / Office,INOM1#,INOM2#
North Dakota,,,Pierce,466,1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Ramsey,1400,3064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Ransom,853,2174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Renville,558,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Richland,1776,3912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Rolette,611,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Sargent,804,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Sheridan,275,1454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Sioux,378,828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Slope,213,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Stark,692,3554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Steele,510,1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Stutsman,2021,4483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Towner,509,1372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Traill,654,2769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Walsh,2037,2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Ward,2829,5832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Wells,786,2550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Williams,1711,3039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Lt. Governor,,
North Dakota,,,Adams,428,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Barnes,2044,3691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Benson,1019,2460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Billings,149,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Bottineau,682,2273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Bowman,382,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Burke,565,1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Burleigh,1823,6317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Cass,4562,10963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Cavalier,870,2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Dickey,854,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Divide,431,1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Dunn,515,1723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Eddy,600,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Emmons,502,2374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Foster,548,1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Golden Valley,302,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Grand Forks,2422,5713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Grant,375,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Griggs,609,1374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Hettinger,451,1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Kidder,405,1266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,LaMoure,806,2068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Logan,358,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,McHenry,962,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,McIntosh,269,2640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,McKenzie,581,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,McLean,1135,3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Mercer,464,2475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Morton,1683,4433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Mountrail,788,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Nelson,770,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Oliver,152,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Pembina,1179,2496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Pierce,472,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Ramsey,1288,3197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Ransom,810,2284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Renville,593,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Richland,1627,4043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Rolette,581,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Sargent,739,1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Sheridan,274,1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Sioux,352,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Slope,206,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Stark,826,3094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Steele,515,1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Stutsman,1999,4590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Towner,449,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Traill,634,2810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Walsh,1792,2759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Ward,3196,5465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Wells,804,2583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Williams,1788,2977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Secretary of State,,
North Dakota,,,Adams,403,957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Barnes,1570,3817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Benson,894,2542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Billings,195,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Bottineau,563,2413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Bowman,392,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Burke,503,1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Burleigh,1913,6037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Cass,4932,10282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Cavalier,852,2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Dickey,797,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Divide,430,1514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Dunn,709,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Eddy,538,1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Emmons,478,2294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Foster,556,1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Golden Valley,410,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Grand Forks,2345,5549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Grant,401,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Griggs,595,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Hettinger,608,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Kidder,377,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,LaMoure,768,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Logan,300,1751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,McHenry,909,2919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,McIntosh,258,2630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,McKenzie,595,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,McLean,1017,3296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Mercer,467,2452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Morton,1766,4063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Mountrail,720,1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Nelson,742,1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Oliver,118,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Pembina,1166,2506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Pierce,483,1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Ramsey,1313,3177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Ransom,793,2213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Renville,532,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Richland,1674,3851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Rolette,575,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Sargent,741,1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Sheridan,252,1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Sioux,373,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Slope,250,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Stark,1883,2186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Steele,489,1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Stutsman,1921,4397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Towner,452,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Traill,632,2793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Walsh,1977,2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Ward,2858,5503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Wells,763,2554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Williams,1652,3014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Attorney General,,
North Dakota,,,Adams,400,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Barnes,1585,3852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Benson,997,2491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Billings,165,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Bottineau,607,2439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Bowman,389,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Burke,533,1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Burleigh,1717,6325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Cass,4418,11075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Cavalier,941,2195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Dickey,846,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Divide,440,1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Dunn,596,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Eddy,561,1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Emmons,518,2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Foster,587,1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Golden Valley,382,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Grand Forks,2104,5927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Grant,378,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Griggs,632,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Hettinger,461,1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Kidder,401,1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,LaMoure,769,2113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Logan,321,1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,McHenry,930,2919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,McIntosh,288,2596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,McKenzie,658,1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,McLean,1077,3233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Mercer,439,2476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Morton,1693,4232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Mountrail,730,1834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Nelson,800,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Oliver,136,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Pembina,1252,2345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Pierce,459,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Ramsey,1374,3177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Ransom,852,2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Renville,539,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Richland,1686,3992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Rolette,600,1597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Sargent,792,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Sheridan,263,1483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Sioux,370,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Slope,212,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Stark,942,2927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Steele,496,1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Stutsman,2070,4416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Towner,480,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Traill,651,2786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Walsh,1972,2531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Ward,2667,6037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Wells,781,2615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Williams,1679,3117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Treasurer,,
North Dakota,,,Adams,,1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Barnes,,4590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Benson,,2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Billings,,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Bottineau,,2781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Bowman,,1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Burke,,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Burleigh,,6884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Cass,,12497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Cavalier,,2671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Dickey,,2298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Divide,,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Dunn,,2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Eddy,,1408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Emmons,,2667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Foster,,1336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Golden Valley,,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Grand Forks,,6753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Grant,,2168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Griggs,,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Hettinger,,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Kidder,,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,LaMoure,,2442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
North Dakota,,,Logan,,1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Auditor,,
