State,Year,Office,County,D#,R#,SPD#,WFG#,S#,Liberty#,Comm.#,Labor#,Proh.#,SD#,Pop.#,CN#,SM#,Prog.#,Indiv.#,Workers#,U#,Am.#,AI#,SW#,I1#,I2#,I3#,I4#,I5#,I6#,Ref.#,NL#,G#,L#,ER#,NA#,Cit.#,NP#,Delta#,W/I#,IR#,GFC#,CFB#,R1#,R2#,Year / Office,INOM1#,INOM2#
North Dakota,1904,President,Griggs,232,688,,,33,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Kidder,53,447,,,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,LaMoure,195,860,,,45,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Logan,31,454,,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,McHenry,556,1807,,,66,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,McIntosh,58,736,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,McLean,219,1928,,,17,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Mercer,17,252,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Morton,321,1474,,,25,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Nelson,340,1284,,,71,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Oliver,46,241,,,3,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Pembina,743,1870,,,5,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Pierce,284,921,,,34,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Ramsey,386,1523,,,64,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Ransom,253,1257,,,29,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Richland,1116,2420,,,63,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Rolette,366,912,,,81,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Sargent,310,1045,,,91,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Stark,231,703,,,16,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Steele,69,817,,,30,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Stutsman,453,1856,,,28,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Towner,435,1022,,,54,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Traill,176,1566,,,61,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Walsh,1113,2042,,,103,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Ward,914,4349,,,224,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Wells,209,1330,,,64,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1904,President,Williams,316,825,,,10,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Adams,201,577,,,21,,,,19,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Barnes,996,1786,,,35,,,,60,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Benson,553,1363,,,30,,,,64,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Billings,236,768,,,21,,,,17,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Bottineau,1146,1951,,,140,,,,44,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Bowman,209,451,,,15,,,,7,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Burleigh,660,1375,,,37,,,,17,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Cass,2000,3681,,,94,,,,106,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Cavalier,1190,1528,,,32,,,,24,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Dickey,633,1062,,,30,,,,17,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Dunn,160,373,,,8,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Eddy,368,540,,,6,,,,16,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Emmons,618,951,,,14,,,,10,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Foster,434,569,,,6,,,,7,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Grand Forks,1750,2740,,,153,,,,130,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Griggs,493,605,,,18,,,,51,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Hettinger,181,568,,,9,,,,10,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Kidder,242,769,,,26,,,,23,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,LaMoure,553,1104,,,19,,,,28,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Logan,143,711,,,16,,,,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,McHenry,1296,1772,,,55,,,,32,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,McIntosh,140,927,,,4,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,McKenzie,212,574,,,46,,,,7,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,McLean,927,2273,,,98,,,,51,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Mercer,96,430,,,2,,,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Morton,873,2021,,,67,,,,14,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Nelson,616,1225,,,60,,,,17,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Oliver,179,325,,,3,,,,13,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Pembina,1185,1389,,,17,,,,50,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Pierce,610,884,,,28,,,,18,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Ramsey,1072,1480,,,72,,,,27,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Ransom,581,1308,,,11,,,,36,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
