State,Year,Office,County,D#,R#,L#,C#,G#,NL#,Ref.#,S#,I1#,I2#,I3#,I4#,Pop.#,Proh.#,Prog.#,CN#,Cit.#,PBP#,In. Al.#,USC#,NA#,Ap.#,AF#,JIA#,TBA,LB#,WW#,W/I1#,W/I2#,I#,W/I#
Arkansas,1908,President,Carroll,1295,1051,,,,,,72,4,,,,5,5,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Chicot,438,644,,,,,,2,3,,,,0,0,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Clark,1206,1007,,,,,,27,2,,,,37,37,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Clay,1527,1009,,,,,,106,3,,,,2,3,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Cleburne,506,294,,,,,,55,2,,,,37,35,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Cleveland,771,426,,,,,,39,3,,,,7,8,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Columbia,1613,817,,,,,,9,0,,,,11,10,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Conway,2533,818,,,,,,45,2,,,,2,3,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Craighead,1653,711,,,,,,165,8,,,,16,11,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Crawford,1661,1339,,,,,,67,0,,,,6,6,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Crittenden,428,382,,,,,,6,3,,,,1,0,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Cross,705,507,,,,,,59,0,,,,1,1,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Dallas,721,636,,,,,,33,3,,,,22,22,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Desha,518,263,,,,,,6,0,,,,2,3,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Drew,1123,679,,,,,,40,4,,,,6,6,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Faulkner,1771,740,,,,,,93,9,,,,15,15,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Franklin,1311,565,,,,,,119,4,,,,31,32,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Fulton,741,366,,,,,,63,0,,,,6,6,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Garland,1340,1105,,,,,,105,7,,,,8,10,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Grant,524,160,,,,,,66,0,,,,1,1,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Greene,1606,549,,,,,,82,1,,,,3,2,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Hempstead,1779,1346,,,,,,27,6,,,,35,36,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Hot Spring,833,686,,,,,,23,2,,,,11,11,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Howard,967,610,,,,,,83,3,,,,34,34,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Independence,1529,948,,,,,,109,16,,,,25,27,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Izard,873,392,,,,,,53,4,,,,21,21,,,,,,,,,,,,,,,,,
