State,Year,Office,County,D1#,R#,SD#,D2#,AS#,Nat.#,Wor.#,AF#,Lib.#,TC#,NP#,HR#,Cit.#,GB#,FL#,Proh.#,Labor#,UL#,Pop.#,SW#,S#,Comm.#,SL#,SE#,CW#,ST#,Prog.#,U#,AI#,Ind.#,Tisch#,I1#,I2#,I3#,I4#,Ref.#,NL#,G#,L#,WL#,UC#,W/I#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,D#,FN#,WW#,I#,WAC#,W/I1#,IND#,Am.#,CON#,SD#.1,PU#,Tisch #,W/I7#,W/I8#,W/I9#,SqD#,CD#,T#
Michigan,1938,LG,Berrien,,17332,,,,,,,,,,,,,,,,,,,32,,5,,2,,,,,,,,,,,,,,,,,0,,,,,,11885,,,,,,,,,,3,,,,,1,17,0
Michigan,1938,LG,Branch,,6402,,,,,,,,,,,,,,,,,,,13,,0,,1,,,,,,,,,,,,,,,,,0,,,,,,2961,,,,,,,,,,2,,,,,0,13,3
Michigan,1938,LG,Calhoun,,15941,,,,,,,,,,,,,,,,,,,63,,9,,6,,,,,,,,,,,,,,,,,0,,,,,,11553,,,,,,,,,,4,,,,,9,41,4
Michigan,1938,LG,Cass,,5390,,,,,,,,,,,,,,,,,,,5,,1,,2,,,,,,,,,,,,,,,,,0,,,,,,3535,,,,,,,,,,4,,,,,1,25,1
Michigan,1938,LG,Charlevoix,,2826,,,,,,,,,,,,,,,,,,,7,,2,,1,,,,,,,,,,,,,,,,,0,,,,,,1593,,,,,,,,,,6,,,,,1,0,1
Michigan,1938,LG,Cheboygan,,3055,,,,,,,,,,,,,,,,,,,9,,2,,1,,,,,,,,,,,,,,,,,0,,,,,,2337,,,,,,,,,,0,,,,,0,4,0
Michigan,1938,LG,Chippewa,,5581,,,,,,,,,,,,,,,,,,,7,,0,,4,,,,,,,,,,,,,,,,,0,,,,,,4082,,,,,,,,,,1,,,,,3,30,3
Michigan,1938,LG,Clare,,2471,,,,,,,,,,,,,,,,,,,4,,1,,2,,,,,,,,,,,,,,,,,0,,,,,,901,,,,,,,,,,1,,,,,1,2,0
Michigan,1938,LG,Clinton,,5672,,,,,,,,,,,,,,,,,,,7,,0,,0,,,,,,,,,,,,,,,,,0,,,,,,2688,,,,,,,,,,0,,,,,3,7,0
Michigan,1938,LG,Crawford,,757,,,,,,,,,,,,,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,0,,,,,,581,,,,,,,,,,0,,,,,0,1,0
Michigan,1938,LG,Delta,,5213,,,,,,,,,,,,,,,,,,,22,,1,,1,,,,,,,,,,,,,,,,,0,,,,,,7193,,,,,,,,,,0,,,,,2,34,2
Michigan,1938,LG,Dickinson,,5413,,,,,,,,,,,,,,,,,,,17,,5,,1,,,,,,,,,,,,,,,,,0,,,,,,5992,,,,,,,,,,2,,,,,4,13,2
Michigan,1938,LG,Eaton,,8574,,,,,,,,,,,,,,,,,,,30,,1,,1,,,,,,,,,,,,,,,,,0,,,,,,4150,,,,,,,,,,0,,,,,3,8,4
Michigan,1938,LG,Emmet,,3287,,,,,,,,,,,,,,,,,,,8,,1,,0,,,,,,,,,,,,,,,,,0,,,,,,1941,,,,,,,,,,0,,,,,2,6,2
Michigan,1938,LG,Genesee,,35275,,,,,,,,,,,,,,,,,,,107,,10,,5,,,,,,,,,,,,,,,,,0,,,,,,33817,,,,,,,,,,0,,,,,6,72,9
Michigan,1938,LG,Gladwin,,2138,,,,,,,,,,,,,,,,,,,2,,0,,0,,,,,,,,,,,,,,,,,0,,,,,,829,,,,,,,,,,0,,,,,8,0,0
Michigan,1938,LG,Gogebic,,6107,,,,,,,,,,,,,,,,,,,21,,2,,2,,,,,,,,,,,,,,,,,0,,,,,,7442,,,,,,,,,,2,,,,,5,11,3
Michigan,1938,LG,Grand Traverse,,4166,,,,,,,,,,,,,,,,,,,8,,0,,0,,,,,,,,,,,,,,,,,0,,,,,,2329,,,,,,,,,,0,,,,,0,11,0
Michigan,1938,LG,Gratiot,,6248,,,,,,,,,,,,,,,,,,,4,,0,,13,,,,,,,,,,,,,,,,,0,,,,,,2662,,,,,,,,,,0,,,,,2,5,1
Michigan,1938,LG,Hillsdale,,7308,,,,,,,,,,,,,,,,,,,18,,2,,1,,,,,,,,,,,,,,,,,0,,,,,,2521,,,,,,,,,,0,,,,,0,8,2
Michigan,1938,LG,Houghton,,8768,,,,,,,,,,,,,,,,,,,3,,3,,1,,,,,,,,,,,,,,,,,0,,,,,,9849,,,,,,,,,,0,,,,,2,19,2
Michigan,1938,LG,Huron,,7460,,,,,,,,,,,,,,,,,,,18,,0,,2,,,,,,,,,,,,,,,,,4,,,,,,3483,,,,,,,,,,0,,,,,0,12,2
Michigan,1938,LG,Ingham,,24197,,,,,,,,,,,,,,,,,,,152,,10,,7,,,,,,,,,,,,,,,,,0,,,,,,18162,,,,,,,,,,3,,,,,11,28,9
Michigan,1938,LG,Ionia,,7751,,,,,,,,,,,,,,,,,,,9,,1,,6,,,,,,,,,,,,,,,,,0,,,,,,4390,,,,,,,,,,2,,,,,5,8,1
Michigan,1938,LG,Iosco,,2039,,,,,,,,,,,,,,,,,,,2,,0,,3,,,,,,,,,,,,,,,,,0,,,,,,1092,,,,,,,,,,0,,,,,0,4,1
Michigan,1938,LG,Iron,,4371,,,,,,,,,,,,,,,,,,,9,,2,,1,,,,,,,,,,,,,,,,,0,,,,,,4284,,,,,,,,,,1,,,,,0,8,0
Michigan,1938,LG,Isabella,,4737,,,,,,,,,,,,,,,,,,,10,,2,,6,,,,,,,,,,,,,,,,,0,,,,,,2007,,,,,,,,,,0,,,,,1,3,3
Michigan,1938,LG,Jackson,,18627,,,,,,,,,,,,,,,,,,,57,,9,,8,,,,,,,,,,,,,,,,,0,,,,,,12321,,,,,,,,,,2,,,,,6,5,1
Michigan,1938,LG,Kalamazoo,,18288,,,,,,,,,,,,,,,,,,,39,,6,,28,,,,,,,,,,,,,,,,,0,,,,,,9418,,,,,,,,,,1,,,,,1,22,4
Michigan,1938,LG,Kalkaska,,884,,,,,,,,,,,,,,,,,,,5,,0,,1,,,,,,,,,,,,,,,,,0,,,,,,577,,,,,,,,,,0,,,,,0,3,0
Michigan,1938,LG,Kent,,36987,,,,,,,,,,,,,,,,,,,195,,26,,11,,,,,,,,,,,,,,,,,0,,,,,,30412,,,,,,,,,,9,,,,,50,49,15
Michigan,1938,LG,Keweenaw,,934,,,,,,,,,,,,,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,0,,,,,,1024,,,,,,,,,,0,,,,,0,2,2
Michigan,1938,LG,Lake,,1223,,,,,,,,,,,,,,,,,,,7,,1,,0,,,,,,,,,,,,,,,,,0,,,,,,824,,,,,,,,,,0,,,,,0,4,0
Michigan,1938,LG,Lapeer,,6857,,,,,,,,,,,,,,,,,,,10,,2,,2,,,,,,,,,,,,,,,,,0,,,,,,2080,,,,,,,,,,0,,,,,0,9,0
Michigan,1938,LG,Leelanau,,1932,,,,,,,,,,,,,,,,,,,5,,2,,3,,,,,,,,,,,,,,,,,0,,,,,,937,,,,,,,,,,0,,,,,1,4,0
Michigan,1938,LG,Lenawee,,13094,,,,,,,,,,,,,,,,,,,19,,4,,1,,,,,,,,,,,,,,,,,0,,,,,,4567,,,,,,,,,,4,,,,,1,16,3
Michigan,1938,LG,Livingston,,6422,,,,,,,,,,,,,,,,,,,15,,0,,1,,,,,,,,,,,,,,,,,0,,,,,,2802,,,,,,,,,,1,,,,,2,5,1
Michigan,1938,LG,Luce,,1406,,,,,,,,,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,,,,0,,,,,,845,,,,,,,,,,0,,,,,0,1,1
