State,Year,Office,County,D#,R#,Liberty#,I1#,I2#,I3#,Proh.#,Pop.#,SD#,FL#,S#,Wor.#,Prog.#,Ref.#,C#,L#,NP#,SoJ,W/I#,I#,Year / Office
South Dakota,1972,President,Lake,2886,2919,,17,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Lawrence,2533,4795,,24,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Lincoln,2617,3201,,10,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Lyman,774,1166,,4,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Marshall,1646,1500,,1,,,,,,,,,,,,,,,,,
South Dakota,1972,President,McCook,1993,1963,,7,,,,,,,,,,,,,,,,,
South Dakota,1972,President,McPherson,579,1950,,6,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Meade,1633,3416,,31,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Mellette,433,637,,6,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Miner,1337,1059,,9,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Minnehaha,22386,22447,,155,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Moody,1895,1648,,11,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Pennington,8592,13654,,80,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Perkins,900,1691,,7,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Potter,858,1389,,6,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Roberts,2976,2187,,9,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Sanborn,1074,1064,,7,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Shannon,1246,356,,9,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Spink,2321,2547,,12,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Stanley,492,779,,7,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Sully,414,773,,4,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Todd,907,806,,10,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Tripp,1538,2592,,2,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Turner,1993,3007,,10,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Union,2554,2271,,17,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Walworth,1287,2416,,8,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Washabaugh,211,245,,0,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Yankton,3835,4366,,24,,,,,,,,,,,,,,,,,
South Dakota,1972,President,Ziebach,378,486,,6,,,,,,,,,,,,,,,,,
South Dakota,1976,President,Aurora,1269,831,,4,5,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Beadle,4846,4758,,38,18,6,,,,,,,,,,,,,,,
South Dakota,1976,President,Bennett,481,610,,15,1,4,,,,,,,,,,,,,,,
South Dakota,1976,President,Bon Homme,2154,1897,,12,10,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Brookings,4685,5278,,40,14,9,,,,,,,,,,,,,,,
South Dakota,1976,President,Brown,8888,7609,,91,29,16,,,,,,,,,,,,,,,
South Dakota,1976,President,Brule,1534,1175,,6,5,3,,,,,,,,,,,,,,,
South Dakota,1976,President,Buffalo,240,194,,0,0,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Butte,1366,2055,,43,6,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Campbell,489,897,,3,2,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Charles Mix,2593,1779,,12,9,1,,,,,,,,,,,,,,,
South Dakota,1976,President,Clark,1376,1449,,7,4,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Clay,2593,2647,,41,11,9,,,,,,,,,,,,,,,
South Dakota,1976,President,Codington,4680,4504,,19,7,3,,,,,,,,,,,,,,,
South Dakota,1976,President,Corson,967,846,,9,1,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Custer,995,1373,,34,2,1,,,,,,,,,,,,,,,
South Dakota,1976,President,Davison,4510,3688,,35,13,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Day,2610,1617,,16,10,4,,,,,,,,,,,,,,,
South Dakota,1976,President,Deuel,1465,1177,,6,2,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Dewey,706,820,,7,1,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Douglas,975,1315,,0,4,1,,,,,,,,,,,,,,,
South Dakota,1976,President,Edmunds,1629,1294,,3,6,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Fall River,1537,2046,,28,3,1,,,,,,,,,,,,,,,
South Dakota,1976,President,Faulk,1063,868,,4,2,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Grant,2398,2051,,11,3,1,,,,,,,,,,,,,,,
South Dakota,1976,President,Gregory,1658,1475,,12,0,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Haakon,477,812,,20,2,1,,,,,,,,,,,,,,,
South Dakota,1976,President,Hamlin,1402,1452,,8,3,1,,,,,,,,,,,,,,,
South Dakota,1976,President,Hand,1477,1510,,3,3,1,,,,,,,,,,,,,,,
South Dakota,1976,President,Hanson,1005,693,,5,4,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Harding,459,470,,16,0,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Hughes,2506,3997,,17,7,9,,,,,,,,,,,,,,,
South Dakota,1976,President,Hutchinson,2062,2822,,14,7,1,,,,,,,,,,,,,,,
South Dakota,1976,President,Hyde,572,687,,2,1,1,,,,,,,,,,,,,,,
South Dakota,1976,President,Jackson,313,532,,16,2,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Jerauld,845,821,,2,1,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Jones,374,515,,1,0,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Kingsbury,1762,1844,,11,0,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Lake,2930,2530,,10,5,1,,,,,,,,,,,,,,,
South Dakota,1976,President,Lawrence,3102,4206,,129,9,3,,,,,,,,,,,,,,,
South Dakota,1976,President,Lincoln,2957,3105,,19,1,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Lyman,831,892,,13,1,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Marshall,1721,1233,,11,1,0,,,,,,,,,,,,,,,
South Dakota,1976,President,McCook,1822,1744,,6,6,0,,,,,,,,,,,,,,,
South Dakota,1976,President,McPherson,693,1662,,11,0,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Meade,2478,3096,,106,2,8,,,,,,,,,,,,,,,
South Dakota,1976,President,Mellette,429,508,,10,0,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Miner,1289,839,,9,1,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Minnehaha,22068,23286,,151,26,25,,,,,,,,,,,,,,,
South Dakota,1976,President,Moody,1942,1475,,8,2,1,,,,,,,,,,,,,,,
South Dakota,1976,President,Pennington,10058,13352,,273,5,11,,,,,,,,,,,,,,,
South Dakota,1976,President,Perkins,1262,1298,,29,1,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Potter,908,1136,,6,1,1,,,,,,,,,,,,,,,
South Dakota,1976,President,Roberts,2890,1915,,9,4,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Sanborn,1025,881,,5,1,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Shannon,756,301,,17,5,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Spink,2650,2003,,17,6,3,,,,,,,,,,,,,,,
South Dakota,1976,President,Stanley,548,637,,3,1,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Sully,505,630,,4,0,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Todd,826,583,,17,4,4,,,,,,,,,,,,,,,
South Dakota,1976,President,Tripp,1822,1980,,8,5,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Turner,1906,2694,,16,2,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Union,2540,2297,,21,2,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Walworth,1516,2187,,19,4,2,,,,,,,,,,,,,,,
South Dakota,1976,President,Washabaugh,276,229,,17,4,0,,,,,,,,,,,,,,,
South Dakota,1976,President,Yankton,3987,4029,,49,16,6,,,,,,,,,,,,,,,
South Dakota,1976,President,Ziebach,370,369,,15,5,2,,,,,,,,,,,,,,,
South Dakota,1980,President,Aurora,709,1251,,125,35,3,,,,,,,,,,,,,,,
South Dakota,1980,President,Beadle,3521,5921,,545,109,8,,,,,,,,,,,,,,,
South Dakota,1980,President,Bennett,350,919,,42,13,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Bon Homme,1191,2794,,214,38,2,,,,,,,,,,,,,,,
South Dakota,1980,President,Brookings,3934,5727,,1169,140,11,,,,,,,,,,,,,,,
South Dakota,1980,President,Brown,6050,10550,,1143,231,25,,,,,,,,,,,,,,,
South Dakota,1980,President,Brule,925,1674,,153,47,1,,,,,,,,,,,,,,,
South Dakota,1980,President,Buffalo,147,272,,26,11,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Butte,843,2850,,150,53,2,,,,,,,,,,,,,,,
South Dakota,1980,President,Campbell,182,1271,,39,6,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Charles Mix,1741,2608,,203,40,7,,,,,,,,,,,,,,,
South Dakota,1980,President,Clark,774,1963,,151,22,1,,,,,,,,,,,,,,,
South Dakota,1980,President,Clay,2271,3004,,906,111,24,,,,,,,,,,,,,,,
South Dakota,1980,President,Codington,3353,5903,,638,85,11,,,,,,,,,,,,,,,
South Dakota,1980,President,Corson,522,1233,,82,16,2,,,,,,,,,,,,,,,
South Dakota,1980,President,Custer,708,2057,,129,60,1,,,,,,,,,,,,,,,
South Dakota,1980,President,Davison,3107,4743,,568,89,5,,,,,,,,,,,,,,,
South Dakota,1980,President,Day,1720,2507,,259,56,1,,,,,,,,,,,,,,,
South Dakota,1980,President,Deuel,891,1657,,169,27,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Dewey,600,1045,,109,11,2,,,,,,,,,,,,,,,
South Dakota,1980,President,Douglas,508,1855,,91,9,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Edmunds,883,1881,,125,25,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Fall River,982,2831,,184,67,3,,,,,,,,,,,,,,,
South Dakota,1980,President,Faulk,520,1300,,110,15,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Grant,1602,2691,,254,44,3,,,,,,,,,,,,,,,
South Dakota,1980,President,Gregory,883,2283,,121,50,3,,,,,,,,,,,,,,,
South Dakota,1980,President,Haakon,255,1162,,38,10,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Hamlin,903,1885,,197,20,2,,,,,,,,,,,,,,,
South Dakota,1980,President,Hand,803,2066,,159,38,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Hanson,598,1015,,93,18,1,,,,,,,,,,,,,,,
South Dakota,1980,President,Harding,205,727,,28,14,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Hughes,1751,4652,,554,82,9,,,,,,,,,,,,,,,
South Dakota,1980,President,Hutchinson,1145,3789,,228,15,3,,,,,,,,,,,,,,,
South Dakota,1980,President,Hyde,273,864,,60,21,3,,,,,,,,,,,,,,,
South Dakota,1980,President,Jackson,354,929,,50,19,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Jerauld,595,1018,,103,12,1,,,,,,,,,,,,,,,
South Dakota,1980,President,Jones,189,689,,37,4,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Kingsbury,1132,2376,,258,40,1,,,,,,,,,,,,,,,
South Dakota,1980,President,Lake,2207,3093,,504,47,1,,,,,,,,,,,,,,,
South Dakota,1980,President,Lawrence,2259,5306,,574,250,14,,,,,,,,,,,,,,,
South Dakota,1980,President,Lincoln,2261,3848,,524,57,8,,,,,,,,,,,,,,,
South Dakota,1980,President,Lyman,486,1256,,106,29,1,,,,,,,,,,,,,,,
South Dakota,1980,President,Marshall,1120,1710,,147,36,2,,,,,,,,,,,,,,,
South Dakota,1980,President,McCook,1223,2014,,269,5,0,,,,,,,,,,,,,,,
South Dakota,1980,President,McPherson,287,2056,,54,22,2,,,,,,,,,,,,,,,
South Dakota,1980,President,Meade,1721,5349,,342,127,2,,,,,,,,,,,,,,,
South Dakota,1980,President,Mellette,279,624,,46,14,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Miner,833,1172,,148,17,1,,,,,,,,,,,,,,,
South Dakota,1980,President,Minnehaha,20008,26256,,4658,531,25,,,,,,,,,,,,,,,
South Dakota,1980,President,Moody,1364,1807,,279,29,1,,,,,,,,,,,,,,,
South Dakota,1980,President,Pennington,7121,18991,,1650,433,9,,,,,,,,,,,,,,,
South Dakota,1980,President,Perkins,595,1931,,93,33,3,,,,,,,,,,,,,,,
South Dakota,1980,President,Potter,436,1633,,81,18,1,,,,,,,,,,,,,,,
South Dakota,1980,President,Roberts,1829,2904,,235,37,4,,,,,,,,,,,,,,,
South Dakota,1980,President,Sanborn,628,1178,,107,19,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Shannon,1132,438,,91,20,6,,,,,,,,,,,,,,,
South Dakota,1980,President,Spink,1572,2915,,294,50,3,,,,,,,,,,,,,,,
South Dakota,1980,President,Stanley,339,892,,55,12,1,,,,,,,,,,,,,,,
South Dakota,1980,President,Sully,220,852,,60,17,0,,,,,,,,,,,,,,,
South Dakota,1980,President,Todd,972,803,,112,30,6,,,,,,,,,,,,,,,
South Dakota,1980,President,Tripp,947,2669,,130,26,4,,,,,,,,,,,,,,,
South Dakota,1980,President,Turner,1369,3343,,281,37,2,,,,,,,,,,,,,,,
South Dakota,1980,President,Union,1830,2788,,359,74,3,,,,,,,,,,,,,,,
South Dakota,1980,President,Walworth,753,2675,,139,19,2,,,,,,,,,,,,,,,
South Dakota,1980,President,Yankton,2698,5355,,553,127,14,,,,,,,,,,,,,,,
South Dakota,1980,President,Ziebach,246,523,,30,5,0,,,,,,,,,,,,,,,
South Dakota,1984,President,Aurora,840,1029,,10,4,,,,,,,,,,,,,,,,
South Dakota,1984,President,Beadle,3523,5876,,18,5,,,,,,,,,,,,,,,,
South Dakota,1984,President,Bennett,453,856,,4,3,,,,,,,,,,,,,,,,
South Dakota,1984,President,Bon Homme,1408,2478,,13,7,,,,,,,,,,,,,,,,
South Dakota,1984,President,Brookings,4089,6679,,37,9,,,,,,,,,,,,,,,,
South Dakota,1984,President,Brown,6852,10541,,51,21,,,,,,,,,,,,,,,,
South Dakota,1984,President,Brule,961,1578,,13,4,,,,,,,,,,,,,,,,
South Dakota,1984,President,Buffalo,236,253,,3,2,,,,,,,,,,,,,,,,
South Dakota,1984,President,Butte,784,2865,,14,4,,,,,,,,,,,,,,,,
South Dakota,1984,President,Campbell,214,1035,,4,2,,,,,,,,,,,,,,,,
South Dakota,1984,President,Charles Mix,1879,2660,,14,10,,,,,,,,,,,,,,,,
South Dakota,1984,President,Clark,960,1748,,7,3,,,,,,,,,,,,,,,,
South Dakota,1984,President,Clay,2711,3057,,29,11,,,,,,,,,,,,,,,,
South Dakota,1984,President,Codington,3528,6108,,37,5,,,,,,,,,,,,,,,,
South Dakota,1984,President,Corson,792,955,,5,1,,,,,,,,,,,,,,,,
South Dakota,1984,President,Custer,858,2183,,19,3,,,,,,,,,,,,,,,,
South Dakota,1984,President,Davison,3248,4783,,14,3,,,,,,,,,,,,,,,,
South Dakota,1984,President,Day,1932,2150,,14,5,,,,,,,,,,,,,,,,
South Dakota,1984,President,Deuel,941,1537,,11,1,,,,,,,,,,,,,,,,
South Dakota,1984,President,Dewey,772,941,,8,6,,,,,,,,,,,,,,,,
South Dakota,1984,President,Douglas,536,1713,,5,0,,,,,,,,,,,,,,,,
South Dakota,1984,President,Edmunds,1007,1553,,9,1,,,,,,,,,,,,,,,,
South Dakota,1984,President,Fall River,1135,2748,,16,6,,,,,,,,,,,,,,,,
South Dakota,1984,President,Faulk,579,1124,,3,0,,,,,,,,,,,,,,,,
South Dakota,1984,President,Grant,1606,2738,,13,3,,,,,,,,,,,,,,,,
South Dakota,1984,President,Gregory,780,1777,,12,0,,,,,,,,,,,,,,,,
South Dakota,1984,President,Haakon,237,1168,,4,1,,,,,,,,,,,,,,,,
South Dakota,1984,President,Hamlin,963,1782,,10,6,,,,,,,,,,,,,,,,
South Dakota,1984,President,Hand,846,2030,,8,2,,,,,,,,,,,,,,,,
South Dakota,1984,President,Hanson,625,898,,6,1,,,,,,,,,,,,,,,,
South Dakota,1984,President,Harding,186,723,,2,1,,,,,,,,,,,,,,,,
South Dakota,1984,President,Hughes,2072,4985,,29,3,,,,,,,,,,,,,,,,
South Dakota,1984,President,Hutchinson,1237,3372,,8,7,,,,,,,,,,,,,,,,
South Dakota,1984,President,Hyde,350,797,,1,0,,,,,,,,,,,,,,,,
South Dakota,1984,President,Jackson,365,903,,6,1,,,,,,,,,,,,,,,,
South Dakota,1984,President,Jerauld,542,1012,,6,2,,,,,,,,,,,,,,,,
South Dakota,1984,President,Jones,206,689,,3,1,,,,,,,,,,,,,,,,
South Dakota,1984,President,Kingsbury,1249,2121,,12,1,,,,,,,,,,,,,,,,
South Dakota,1984,President,Lake,2367,3027,,15,4,,,,,,,,,,,,,,,,
South Dakota,1984,President,Lawrence,2565,5949,,39,16,,,,,,,,,,,,,,,,
South Dakota,1984,President,Lincoln,2626,3988,,19,3,,,,,,,,,,,,,,,,
South Dakota,1984,President,Lyman,478,1120,,6,1,,,,,,,,,,,,,,,,
South Dakota,1984,President,Marshall,1111,1529,,8,4,,,,,,,,,,,,,,,,
South Dakota,1984,President,McCook,1448,1902,,5,0,,,,,,,,,,,,,,,,
South Dakota,1984,President,McPherson,418,1813,,5,4,,,,,,,,,,,,,,,,
South Dakota,1984,President,Meade,2093,5908,,31,9,,,,,,,,,,,,,,,,
South Dakota,1984,President,Mellette,303,616,,6,2,,,,,,,,,,,,,,,,
South Dakota,1984,President,Miner,960,1004,,8,5,,,,,,,,,,,,,,,,
South Dakota,1984,President,Minnehaha,23042,29908,,177,44,,,,,,,,,,,,,,,,
South Dakota,1984,President,Moody,1586,1633,,7,2,,,,,,,,,,,,,,,,
South Dakota,1984,President,Pennington,8224,21947,,186,32,,,,,,,,,,,,,,,,
South Dakota,1984,President,Perkins,714,1686,,11,0,,,,,,,,,,,,,,,,
South Dakota,1984,President,Potter,482,1551,,2,0,,,,,,,,,,,,,,,,
South Dakota,1984,President,Roberts,2063,2767,,7,3,,,,,,,,,,,,,,,,
South Dakota,1984,President,Sanborn,611,1080,,2,2,,,,,,,,,,,,,,,,
South Dakota,1984,President,Shannon,1489,324,,7,9,,,,,,,,,,,,,,,,
South Dakota,1984,President,Spink,1680,2627,,12,5,,,,,,,,,,,,,,,,
South Dakota,1984,President,Stanley,351,942,,6,0,,,,,,,,,,,,,,,,
South Dakota,1984,President,Sully,266,836,,4,1,,,,,,,,,,,,,,,,
South Dakota,1984,President,Todd,1022,679,,7,6,,,,,,,,,,,,,,,,
South Dakota,1984,President,Tripp,935,2483,,14,8,,,,,,,,,,,,,,,,
South Dakota,1984,President,Turner,1486,3086,,14,6,,,,,,,,,,,,,,,,
South Dakota,1984,President,Union,2221,2431,,20,5,,,,,,,,,,,,,,,,
South Dakota,1984,President,Walworth,779,2396,,15,4,,,,,,,,,,,,,,,,
South Dakota,1984,President,Yankton,2932,5161,,37,15,,,,,,,,,,,,,,,,
South Dakota,1984,President,Ziebach,359,429,,2,2,,,,,,,,,,,,,,,,
South Dakota,1988,President,Aurora,987,856,,5,5,1,,,,,,,,,,,,,,,
South Dakota,1988,President,Beadle,4523,4611,,29,15,2,,,,,,,,,,,,,,,
South Dakota,1988,President,Bennett,579,663,,18,1,1,,,,,,,,,,,,,,,
South Dakota,1988,President,Bon Homme,1574,1826,,6,9,2,,,,,,,,,,,,,,,
South Dakota,1988,President,Brookings,4860,5394,,20,29,2,,,,,,,,,,,,,,,
South Dakota,1988,President,Brown,8673,8537,,42,39,11,,,,,,,,,,,,,,,
South Dakota,1988,President,Brule,991,971,,9,2,1,,,,,,,,,,,,,,,
South Dakota,1988,President,Buffalo,334,151,,2,1,2,,,,,,,,,,,,,,,
South Dakota,1988,President,Butte,1256,2291,,19,15,1,,,,,,,,,,,,,,,
South Dakota,1988,President,Campbell,334,909,,8,1,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Charles Mix,2205,1966,,5,4,4,,,,,,,,,,,,,,,
South Dakota,1988,President,Clark,1164,1247,,3,9,1,,,,,,,,,,,,,,,
South Dakota,1988,President,Clay,2859,2307,,18,7,9,,,,,,,,,,,,,,,
South Dakota,1988,President,Codington,4570,5050,,34,46,14,,,,,,,,,,,,,,,
South Dakota,1988,President,Corson,722,710,,11,4,1,,,,,,,,,,,,,,,
South Dakota,1988,President,Custer,1180,1806,,34,9,7,,,,,,,,,,,,,,,
South Dakota,1988,President,Davison,3705,4024,,20,30,7,,,,,,,,,,,,,,,
South Dakota,1988,President,Day,2137,1616,,19,2,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Deuel,1246,1251,,17,12,2,,,,,,,,,,,,,,,
South Dakota,1988,President,Dewey,1007,765,,14,1,2,,,,,,,,,,,,,,,
South Dakota,1988,President,Douglas,695,1438,,3,3,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Edmunds,1259,1327,,7,4,2,,,,,,,,,,,,,,,
South Dakota,1988,President,Fall River,1380,2002,,25,7,3,,,,,,,,,,,,,,,
South Dakota,1988,President,Faulk,714,842,,2,3,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Grant,1988,2148,,19,15,2,,,,,,,,,,,,,,,
South Dakota,1988,President,Gregory,1138,1566,,7,9,2,,,,,,,,,,,,,,,
South Dakota,1988,President,Haakon,379,958,,9,5,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Hamlin,1258,1380,,9,4,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Hand,1101,1461,,8,8,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Hanson,776,786,,8,2,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Harding,259,633,,5,3,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Hughes,2853,4545,,24,15,5,,,,,,,,,,,,,,,
South Dakota,1988,President,Hutchinson,1594,2700,,9,13,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Hyde,436,546,,29,5,3,,,,,,,,,,,,,,,
South Dakota,1988,President,Jackson,450,671,,14,2,4,,,,,,,,,,,,,,,
South Dakota,1988,President,Jerauld,751,777,,2,4,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Jones,261,521,,3,1,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Kingsbury,1472,1592,,11,7,5,,,,,,,,,,,,,,,
South Dakota,1988,President,Lake,2663,2439,,8,9,3,,,,,,,,,,,,,,,
South Dakota,1988,President,Lawrence,3705,5570,,66,32,6,,,,,,,,,,,,,,,
South Dakota,1988,President,Lincoln,3190,3537,,15,9,6,,,,,,,,,,,,,,,
South Dakota,1988,President,Lyman,631,843,,3,3,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Marshall,1372,1142,,1,6,2,,,,,,,,,,,,,,,
South Dakota,1988,President,McCook,1492,1501,,4,2,1,,,,,,,,,,,,,,,
South Dakota,1988,President,McPherson,571,1358,,7,4,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Meade,3212,5189,,43,27,2,,,,,,,,,,,,,,,
South Dakota,1988,President,Mellette,385,460,,6,0,1,,,,,,,,,,,,,,,
South Dakota,1988,President,Miner,955,795,,4,1,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Minnehaha,29135,26765,,82,84,29,,,,,,,,,,,,,,,
South Dakota,1988,President,Moody,1715,1161,,4,7,2,,,,,,,,,,,,,,,
South Dakota,1988,President,Pennington,12068,19510,,90,71,18,,,,,,,,,,,,,,,
South Dakota,1988,President,Perkins,851,1326,,17,3,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Potter,701,1175,,10,5,2,,,,,,,,,,,,,,,
South Dakota,1988,President,Roberts,2267,2012,,20,6,6,,,,,,,,,,,,,,,
South Dakota,1988,President,Sanborn,770,815,,4,6,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Shannon,1206,256,,7,4,6,,,,,,,,,,,,,,,
South Dakota,1988,President,Spink,2071,1969,,9,8,5,,,,,,,,,,,,,,,
South Dakota,1988,President,Stanley,511,698,,8,2,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Sully,393,571,,41,1,0,,,,,,,,,,,,,,,
South Dakota,1988,President,Todd,1117,535,,5,9,10,,,,,,,,,,,,,,,
South Dakota,1988,President,Tripp,1219,2113,,13,6,5,,,,,,,,,,,,,,,
South Dakota,1988,President,Turner,1780,2436,,11,8,4,,,,,,,,,,,,,,,
South Dakota,1988,President,Union,2612,1907,,11,14,6,,,,,,,,,,,,,,,
South Dakota,1988,President,Walworth,1094,1940,,15,9,2,,,,,,,,,,,,,,,
South Dakota,1988,President,Yankton,3777,4186,,26,41,13,,,,,,,,,,,,,,,
South Dakota,1988,President,Ziebach,427,362,,3,2,1,,,,,,,,,,,,,,,
South Dakota,1992,President,Aurora,680,594,,435,1,0,,,,,,,,,,2,,,,,
South Dakota,1992,President,Beadle,3925,3363,,1819,5,1,,,,,,,,,,23,,,,,
South Dakota,1992,President,Bennett,413,556,,221,2,0,,,,,,,,,,5,,,,,
South Dakota,1992,President,Bon Homme,1294,1212,,836,4,6,,,,,,,,,,15,,,,,
South Dakota,1992,President,Brookings,4645,4698,,2614,17,2,,,,,,,,,,26,,,,,
South Dakota,1992,President,Brown,7521,6665,,3812,20,6,,,,,,,,,,23,,,,,
South Dakota,1992,President,Brule,1060,908,,687,14,0,,,,,,,,,,7,,,,,
South Dakota,1992,President,Buffalo,282,137,,72,3,0,,,,,,,,,,2,,,,,
South Dakota,1992,President,Butte,973,1674,,1039,5,2,,,,,,,,,,7,,,,,
South Dakota,1992,President,Campbell,222,574,,252,1,0,,,,,,,,,,4,,,,,
South Dakota,1992,President,Charles Mix,1639,1570,,886,3,1,,,,,,,,,,0,,,,,
South Dakota,1992,President,Clark,799,803,,761,1,3,,,,,,,,,,8,,,,,
South Dakota,1992,President,Clay,2826,1869,,1303,10,4,,,,,,,,,,24,,,,,
South Dakota,1992,President,Codington,3701,3943,,3262,9,8,,,,,,,,,,20,,,,,
South Dakota,1992,President,Corson,444,483,,321,0,0,,,,,,,,,,3,,,,,
South Dakota,1992,President,Custer,1078,1422,,845,1,1,,,,,,,,,,16,,,,,
South Dakota,1992,President,Davison,3285,3111,,1706,17,2,,,,,,,,,,25,,,,,
South Dakota,1992,President,Day,1578,1161,,973,5,1,,,,,,,,,,7,,,,,
South Dakota,1992,President,Deuel,880,778,,761,0,0,,,,,,,,,,4,,,,,
South Dakota,1992,President,Dewey,766,642,,340,1,1,,,,,,,,,,2,,,,,
South Dakota,1992,President,Douglas,481,1175,,403,4,3,,,,,,,,,,1,,,,,
South Dakota,1992,President,Edmunds,894,944,,415,1,2,,,,,,,,,,4,,,,,
South Dakota,1992,President,Fall River,1416,1533,,792,2,1,,,,,,,,,,10,,,,,
South Dakota,1992,President,Faulk,488,658,,281,4,1,,,,,,,,,,2,,,,,
South Dakota,1992,President,Grant,1484,1595,,1018,3,0,,,,,,,,,,10,,,,,
South Dakota,1992,President,Gregory,879,1027,,688,12,0,,,,,,,,,,9,,,,,
South Dakota,1992,President,Haakon,209,860,,245,0,0,,,,,,,,,,4,,,,,
South Dakota,1992,President,Hamlin,826,1133,,774,3,0,,,,,,,,,,4,,,,,
South Dakota,1992,President,Hand,785,1130,,624,2,0,,,,,,,,,,5,,,,,
South Dakota,1992,President,Hanson,566,522,,341,1,0,,,,,,,,,,5,,,,,
