State,Year,Office,County,D#,R#,Prog.#,S#,SD#,Proh.#,SR#,Am.#,IND#,I1#,I2#,Ref.#,NL#,L#,G#,NA#,UC#,W/I#,D1#,D2#,I#,W/I1#,W/I2#,Year / Office,C#,All.#
South Carolina,1912,President,Chesterfield,1178,0,4,1,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Clarendon,932,0,32,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Colleton,797,14,12,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Darlington,883,0,2,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Dillon,680,2,11,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Dorchester,576,18,13,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Edgefield,779,3,18,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Fairfield,622,3,8,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Florence,1496,6,65,6,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Georgetown,405,10,37,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Greenville,3140,0,0,0,,,,,,,,,,,,,,55,,,,,,,,
South Carolina,1912,President,Greenwood,1307,17,11,3,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Hampton,631,0,0,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Horry,863,13,7,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Jasper,198,0,0,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Kershaw,708,7,25,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Lancaster,1140,6,5,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Laurens,1566,6,17,1,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Lee,571,3,6,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Lexington,1201,3,30,31,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Marion,710,3,11,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Marlboro,719,0,0,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Newberry,1206,6,12,6,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Oconee,760,58,69,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Orangeburg,1550,40,95,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Pickens,815,15,18,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Richland,1557,23,161,25,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Saluda,850,0,3,14,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Spartanburg,3616,37,185,6,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Sumter,910,31,52,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Union,1609,20,56,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,Williamsburg,729,6,18,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1912,President,York,1641,12,12,1,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Abbeville,900,8,3,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Aiken,1750,26,11,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Anderson,2609,6,7,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Bamberg,820,0,0,0,,,,,,,,,,,,,,1,,,,,,,,
South Carolina,1916,President,Barnwell,1454,21,1,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Beaufort,376,105,4,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Berkeley,457,6,0,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Calhoun,665,41,0,35,,,,,,,,,,,,,,2,,,,,,,,
South Carolina,1916,President,Charleston,1929,129,2,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Cherokee,1271,13,12,0,,,,,,,,,,,,,,23,,,,,,,,
South Carolina,1916,President,Chester,1182,17,2,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Chesterfield,1883,3,4,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Clarendon,894,18,0,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Colleton,974,31,0,0,,,,,,,,,,,,,,1,,,,,,,,
South Carolina,1916,President,Darlington,1462,5,3,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Dillon,972,0,0,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Dorchester,716,44,0,0,,,,,,,,,,,,,,2,,,,,,,,
South Carolina,1916,President,Edgefield,959,5,0,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Fairfield,726,0,12,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Florence,1912,26,0,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Georgetown,470,2,0,4,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Greenville,3384,81,13,8,,,,,,,,,,,,,,15,,,,,,,,
South Carolina,1916,President,Greenwood,1636,13,2,3,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Hampton,852,0,0,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Horry,1638,0,7,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Jasper,243,0,0,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Kershaw,989,14,5,0,,,,,,,,,,,,,,2,,,,,,,,
South Carolina,1916,President,Lancaster,1426,1,1,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Laurens,1895,14,0,1,,,,,,,,,,,,,,11,,,,,,,,
South Carolina,1916,President,Lee,779,14,2,0,,,,,,,,,,,,,,11,,,,,,,,
South Carolina,1916,President,Lexington,2060,31,8,46,,,,,,,,,,,,,,20,,,,,,,,
South Carolina,1916,President,Marion,1019,3,2,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Marlboro,1071,2,0,0,,,,,,,,,,,,,,6,,,,,,,,
South Carolina,1916,President,McCormick,637,0,15,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Newberry,1719,19,10,20,,,,,,,,,,,,,,1,,,,,,,,
South Carolina,1916,President,Oconee,885,59,3,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Orangeburg,2641,159,0,0,,,,,,,,,,,,,,31,,,,,,,,
South Carolina,1916,President,Pickens,1139,7,0,0,,,,,,,,,,,,,,52,,,,,,,,
South Carolina,1916,President,Richland,2283,292,9,12,,,,,,,,,,,,,,11,,,,,,,,
South Carolina,1916,President,Saluda,1227,1,0,5,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Spartanburg,4503,112,6,1,,,,,,,,,,,,,,53,,,,,,,,
South Carolina,1916,President,Sumter,1357,142,4,0,,,,,,,,,,,,,,17,,,,,,,,
South Carolina,1916,President,Union,1476,0,13,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,Williamsburg,1213,57,0,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1916,President,York,1393,23,1,0,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1920,President,Abbeville,868,13,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Aiken,1649,64,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Allendale,440,11,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Anderson,2489,33,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Bamberg,688,0,,0,,,,,,,,,,,,,,,,,,,,,,
