State,Year,Office,County,D#,R#,GR#,Justice#,C#,FLR#,IND#,I#,New#,PF#,LU#,T#,S&L,SW#,Labor#,S#,Comm.#,SL#,Proh.#,Pop.#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,GD#,Prog.#,GWP#,Ref.#,NL#,G#,SD#,NA#,Cit.#,L#,P&P,KISS#,ABC#,I1#,I2#,I3#,I4#,I5#,I6#,I7#,GR#.1,M#,W/I#,ER#,CRE#,RJF#,PoV#,Loc.#,Year / Office,Town,S&L#,P&P#
Vermont,1908,President,Orleans,384,2535,,,,,19,,,,,,,,,,,,34,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1908,President,Rutland,1542,5643,,,,,167,,,,,,,,,,,,102,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1908,President,Washington,1610,3823,,,,,130,,,,,,,,,,,,71,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1908,President,Windham,906,3738,,,,,67,,,,,,,,,,,,46,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1908,President,Windsor,907,4683,,,,,82,,,,,,,,,,,,62,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1912,President,Addison,621,1835,,,,,,,,,,,,,,19,,,85,,0,,,,,,,,,,,1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1912,President,Bennington,1057,1464,,,,,,,,,,,,,,105,,,49,,0,,,,,,,,,,,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1912,President,Caledonia,1065,1583,,,,,,,,,,,,,,32,,,88,,0,,,,,,,,,,,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1912,President,Chittenden,2266,2368,,,,,,,,,,,,,,42,,,96,,0,,,,,,,,,,,1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1912,President,Essex,348,463,,,,,,,,,,,,,,10,,,13,,0,,,,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1912,President,Franklin,1317,1433,,,,,,,,,,,,,,25,,,89,,0,,,,,,,,,,,1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1912,President,Grand Isle,210,193,,,,,,,,,,,,,,6,,,9,,0,,,,,,,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1912,President,Lamoille,431,852,,,,,,,,,,,,,,30,,,55,,0,,,,,,,,,,,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1912,President,Orange,956,1289,,,,,,,,,,,,,,32,,,67,,0,,,,,,,,,,,1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1912,President,Orleans,628,1475,,,,,,,,,,,,,,17,,,43,,1,,,,,,,,,,,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1912,President,Rutland,2079,2999,,,,,,,,,,,,,,79,,,240,,0,,,,,,,,,,,2927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1912,President,Washington,1743,2797,,,,,,,,,,,,,,373,,,136,,0,,,,,,,,,,,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1912,President,Windham,1327,2143,,,,,,,,,,,,,,67,,,45,,0,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1912,President,Windsor,1302,2409,,,,,,,,,,,,,,91,,,79,,0,,,,,,,,,,,2546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1916,President,Addison,874,2765,,,,,,,,,,,,,,11,,,53,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1916,President,Bennington,1590,2602,,,,,,,,,,,,,,83,,,33,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1916,President,Caledonia,1887,3024,,,,,,,,,,,,,,24,,,68,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1916,President,Chittenden,2772,3786,,,,,,,,,,,,,,43,,,58,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1916,President,Essex,544,734,,,,,,,,,,,,,,7,,,8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1916,President,Franklin,2107,2796,,,,,,,,,,,,,,11,,,43,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1916,President,Grand Isle,434,407,,,,,,,,,,,,,,3,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1916,President,Lamoille,643,1474,,,,,,,,,,,,,,27,,,51,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
