County,Town,1876PVI,1880PVI,1884PVI,1888PVI,1892PVI,1896PVI,1900PVI,1904PVI,1908PVI,1912PVI,1916PVI,1920PVI,1924PVI,1928PVI,1932PVI,1936PVI,1940PVI,1944PVI,1948PVI,1952PVI,1956PVI,1960PVI,1964PVI,1968PVI,1972PVI,1976PVI,1980PVI,1984PVI,1988PVI,1992PVI,1996PVI,2000PVI,2004PVI,2008PVI,2012PVI,2016PVI
Marshall,,,,,,,,,,,,D+11.74,D+12.71,D+20.30,D+16.27,D+14.31,D+20.65,D+23.23,D+23.42,D+20.85,D+25.83,D+27.46,D+20.50,R+00.88,R+20.66,R+18.75,D+02.31,D+15.44,D+05.01,R+05.38,R+07.93,R+10.39,R+12.89,R+17.09,R+26.96,R+32.30,R+34.55
Mobile,,,,,,,,,,,,D+28.84,D+30.03,D+34.13,D+23.79,D+19.38,D+27.31,D+29.83,D+26.91,D+25.35,D+16.89,D+04.58,D+03.42,R+14.19,R+08.87,D+00.47,R+08.08,R+03.42,R+04.16,R+05.84,R+08.96,R+10.09,R+08.55,R+07.63,R+07.97,R+07.35,R+07.35
Monroe,,,,,,,,,,,,D+41.08,D+54.55,D+62.85,D+38.85,D+25.99,D+37.02,D+40.04,D+43.82,D+44.90,D+40.76,D+33.30,D+24.56,R+12.25,R+05.31,D+08.99,R+06.91,D+01.81,D+00.56,R+04.41,R+08.01,R+08.80,R+08.21,R+09.19,R+09.49,R+07.33,R+07.10
Montgomery,,,,,,,,,,,,D+39.76,D+52.24,D+59.71,D+43.05,D+31.27,D+36.19,D+39.37,D+42.62,D+39.20,D+22.44,D+05.29,R+01.89,R+21.23,R+11.11,D+01.42,R+08.59,R+03.09,D+00.15,R+01.98,R+05.31,R+04.99,R+01.83,D+01.27,D+03.91,D+08.11,D+11.25
Morgan,,,,,,,,,,,,D+28.43,D+37.37,D+43.75,D+25.21,D+16.60,D+29.80,D+33.41,D+34.41,D+34.12,D+33.19,D+30.16,D+21.98,R+01.92,R+14.71,R+13.99,R+01.49,D+10.78,R+00.53,R+09.48,R+10.82,R+13.15,R+13.23,R+15.16,R+22.15,R+25.15,R+26.24
Perry,,,,,,,,,,,,D+40.71,D+53.64,D+61.85,D+47.20,D+35.03,D+37.12,D+39.24,D+42.12,D+43.29,D+32.20,D+19.36,D+12.86,R+17.24,R+00.90,D+25.16,D+13.73,D+18.38,D+15.38,D+13.61,D+15.18,D+14.61,D+17.65,D+19.65,D+19.31,D+21.10,D+22.65
Pickens,,,,,,,,,,,,D+32.89,D+40.50,D+51.12,D+37.33,D+26.77,D+32.19,D+34.48,D+35.66,D+37.75,D+29.87,D+19.22,D+14.61,R+17.26,R+05.65,D+13.06,R+00.54,D+07.97,D+06.77,D+00.54,R+01.95,R+01.23,R+00.62,R+03.45,R+06.78,R+06.67,R+07.21
Pike,,,,,,,,,,,,D+40.15,D+49.06,D+58.04,D+49.56,D+37.18,D+37.32,D+38.49,D+41.85,D+42.69,D+35.42,D+29.12,D+28.74,R+09.32,R+12.51,D+02.40,R+05.91,D+02.67,R+01.73,R+05.71,R+06.96,R+07.87,R+08.55,R+10.26,R+11.71,R+10.10,R+10.18
Randolph,,,,,,,,,,,,D+16.23,D+17.09,D+25.09,D+15.54,D+07.47,D+15.24,D+19.24,D+20.62,D+19.17,D+24.84,D+26.83,D+19.70,R+04.45,R+14.67,R+10.23,R+02.70,D+07.88,R+00.86,R+09.57,R+09.14,R+06.94,R+08.68,R+13.83,R+20.52,R+22.93,R+25.13
Russell,,,,,,,,,,,,D+41.68,D+53.85,D+61.04,D+46.45,D+34.57,D+36.59,D+38.84,D+42.07,D+41.68,D+39.09,D+32.19,D+22.36,R+10.59,R+03.81,D+11.02,D+03.64,D+17.38,D+16.13,D+08.71,D+06.10,D+06.74,D+06.72,D+04.31,D+00.67,D+01.97,D+01.92
Shelby,,,,,,,,,,,,D+08.67,D+01.96,D+12.34,D+07.97,D+06.52,D+13.48,D+16.30,D+16.70,D+14.19,D+11.80,D+06.47,D+02.26,R+16.07,R+21.43,R+15.98,R+14.20,R+09.16,R+15.61,R+22.42,R+27.36,R+30.46,R+30.01,R+29.20,R+30.24,R+33.00,R+35.74
