State,Year,Office,County,D#,R#,Pop.#,Prog.#,Proh.#,SD#,SL#,UR#,S#,Labor#,Comm.#,Wor.#,Am.#,L#,IND#,I#,Ref.#,NL#,G#,3rdP#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,W/I12#,W/I13#,W/I14#,W/I15#,AI#,I1#,I2#,U#
Maryland,1908,President,Dorchester,2769,2627,,,66,,,,15,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Frederick,5158,5966,,,156,,,,31,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Garrett,1121,2055,,,119,,,,21,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Harford,3148,2742,,,70,,,,6,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Howard,1764,1276,,,50,,,,5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Kent,1939,1753,,,19,,,,12,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Montgomery,3351,2805,,,102,,,,14,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Prince George's,2680,2639,,,38,,,,10,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Queen Anne's,2086,1135,,,104,,,,7,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Somerset,1627,1912,,,70,,,,20,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Saint Mary's,1011,1333,,,105,,,,12,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Talbot,2025,1908,,,86,,,,9,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Washington,4518,4650,,,108,,,,97,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Wicomico,2751,2273,,,150,,,,4,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1908,President,Worcester,1974,1529,,,94,,,,13,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Allegany,3382,1396,,2631,121,,,,1036,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Anne Arundel,3049,2222,,794,474,,,,57,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Baltimore,11524,4247,,6211,112,,,,212,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Baltimore City,48030,15597,,33679,105,,,,1763,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Calvert,616,1035,,83,27,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Caroline,1882,1445,,196,78,,,,40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Carroll,3616,2546,,923,112,,,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Cecil,2491,1509,,646,49,,,,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Charles,918,1573,,113,34,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Dorchester,2509,2387,,313,62,,,,51,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Frederick,5545,2813,,2776,96,,,,127,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Garrett,1005,655,,1069,81,,,,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Harford,3064,1737,,802,87,,,,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Howard,1523,1004,,364,58,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Kent,1816,1021,,463,41,,,,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Montgomery,3501,1675,,884,119,,,,47,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Prince George's,2424,1456,,1308,94,,,,47,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Queen Anne's,1902,1311,,119,60,,,,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Somerset,1617,1528,,370,78,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Saint Mary's,843,1262,,144,26,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Talbot,1888,1835,,190,83,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Washington,4589,1907,,2606,91,,,,338,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Wicomico,3176,2038,,442,105,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1912,President,Worcester,1764,757,,663,51,,,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Allegany,4859,5760,,,147,,,,377,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Anne Arundel,4111,2705,,,134,,,,137,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Baltimore,15226,12633,,,336,,,,158,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Baltimore City,60226,49805,,,836,,,,1216,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Calvert,910,975,,,37,,,,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Caroline,1965,1666,,,55,,,,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Carroll,4016,3602,,,108,,,,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Cecil,2587,1959,,,42,,,,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Charles,1363,1374,,,80,,,,9,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Dorchester,2750,2468,,,76,,,,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Frederick,6094,5725,,,119,,,,75,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Garrett,1031,1808,,,35,,,,67,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Harford,3345,2302,,,60,,,,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Howard,1913,1346,,,35,,,,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Kent,1886,1673,,,20,,,,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Montgomery,3805,2913,,,85,,,,43,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Prince George's,3493,3058,,,76,,,,83,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Queen Anne's,2206,1242,,,43,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Somerset,1885,2364,,,57,,,,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Saint Mary's,1443,1064,,,105,,,,38,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Talbot,2180,1753,,,131,,,,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Washington,5642,5093,,,91,,,,267,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Wicomico,3285,2539,,,88,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1916,President,Worcester,2138,1520,,,107,,,,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Allegany,5643,9595,,,,,,,1291,100,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Anne Arundel,5053,6199,,,,,,,70,33,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Baltimore,9365,12432,,,,,,,233,40,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Baltimore City,86748,125526,,,,,,,6272,509,,,,,,,,,,1091,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Calvert,1230,1741,,,,,,,8,10,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Caroline,3012,2929,,,,,,,29,3,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Carroll,4273,5784,,,,,,,18,25,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Cecil,3468,3435,,,,,,,7,21,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Charles,1642,2585,,,,,,,12,29,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Dorchester,3950,4218,,,,,,,15,21,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Frederick,7747,9559,,,,,,,98,70,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Garrett,1070,2805,,,,,,,91,21,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Harford,4134,4175,,,,,,,36,16,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Howard,2397,2608,,,,,,,23,27,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Kent,3034,2838,,,,,,,2,8,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Montgomery,6277,5948,,,,,,,76,51,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Prince George's,4857,6628,,,,,,,110,23,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Queen Anne's,3519,2157,,,,,,,38,19,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Somerset,2634,3658,,,,,,,16,24,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Saint Mary's,1861,2175,,,,,,,27,43,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Talbot,3130,3050,,,,,,,11,7,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Washington,6852,8757,,,,,,,353,25,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Wicomico,5054,4225,,,,,,,12,12,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
Maryland,1920,President,Worcester,3676,3090,,,,,,,28,41,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Allegany,4442,9042,,2822,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Anne Arundel,3766,3670,,758,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Baltimore,9424,9383,,2824,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Baltimore City,60222,69588,,32958,,,,,,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Calvert,1242,1564,,84,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Caroline,2493,2210,,165,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Carroll,4616,5301,,320,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Cecil,2863,3156,,213,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Charles,1491,2215,,177,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Dorchester,3047,3356,,203,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Frederick,7740,8441,,903,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Garrett,1226,2594,,373,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Harford,3841,3545,,355,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Howard,2786,1989,,382,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Kent,2628,2019,,94,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Montgomery,6639,5675,,557,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Prince George's,5088,5868,,1477,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Queen Anne's,3155,1656,,82,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Somerset,2903,3230,,152,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Saint Mary's,1949,1653,,93,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Talbot,2859,2451,,176,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Washington,4620,7460,,1654,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1924,President,Wicomico,3068,2604,,269,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
