State,Year,Office,County,D#,R#,Prog.#,Cit.#,SM#,PC#,CN#,New#,S#,SL#,Liberty#,Comm.#,Proh.#,FL#,U#,Workers#,AI#,SW#,I#,Ref.#,NL#,G#,L#,S&L,Delta#,NA#,W/I#,LRU#,PCP#,INM#,W/I1#,W/I2#,Year / Office,C#
New Mexico,1924,President,Rio Arriba,2734,3707,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Roosevelt,1340,398,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,San Juan,1096,1587,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,San Miguel,819,889,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Sandoval,3543,3894,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Santa Fe,2602,4010,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Sierra,546,632,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Socorro,1251,2332,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Taos,1655,2470,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Torrance,1269,1666,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Union,1735,1415,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1924,President,Valencia,678,3183,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Bernalillo,6572,8725,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Catron,420,774,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Chaves,1364,3124,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Colfax,3022,3904,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Curry,1530,1968,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,De Baca,514,474,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Dona Ana,2169,3141,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Eddy,1212,1618,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Grant,1994,2058,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Guadalupe,1093,1718,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
