State,Year,Office,County,D#,R#,Prog.#,Pop.#,SW#,Comm.#,S#,Wor.#,Proh.#,Am.#,I#,G#,L#,Ref.#,NL#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,C#,ATP#,Year / Office
West Virginia,1916,President,Hancock,891,1434,,,,,117,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Hardy,1425,701,,,,,6,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Harrison,5970,6262,,,,,584,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Jackson,2032,2474,,,,,29,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Jefferson,2544,1181,,,,,44,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Kanawha,10276,10096,,,,,598,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Lewis,2248,2263,,,,,102,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Lincoln,2113,2104,,,,,59,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Logan,3270,2107,,,,,62,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Marion,5493,4443,,,,,443,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Marshall,2997,3699,,,,,229,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Mason,2336,2454,,,,,101,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,McDowell,3692,7086,,,,,20,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Mercer,4836,4788,,,,,55,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Mineral,1747,1965,,,,,79,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Mingo,2472,2223,,,,,10,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Monongalia,2227,3412,,,,,297,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Monroe,1609,1584,,,,,8,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Morgan,666,1208,,,,,30,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Nicholas,2467,2056,,,,,69,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Ohio,6074,7349,,,,,509,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Pendleton,1276,888,,,,,9,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Pleasants,899,876,,,,,7,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Pocahontas,1849,1550,,,,,53,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Preston,1694,3838,,,,,105,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Putnam,1837,1925,,,,,131,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Raleigh,3319,3791,,,,,151,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Randolph,3024,2165,,,,,253,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Ritchie,1657,2225,,,,,89,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Roane,2186,2406,,,,,38,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Summers,2389,1781,,,,,24,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Taylor,1672,2002,,,,,87,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Tucker,1388,1531,,,,,158,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Tyler,1336,1900,,,,,68,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Upshur,1019,2553,,,,,68,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Wayne,2989,2215,,,,,43,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Webster,1513,854,,,,,14,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Wetzel,2797,1910,,,,,77,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Wirt,1072,951,,,,,12,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Wood,4817,4521,,,,,142,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1916,President,Wyoming,1199,1484,,,,,7,,,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Barbour,2777,3763,,,,,94,,17,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Berkeley,4399,5259,,,,,60,,30,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Boone,2529,2674,,,,,108,,4,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Braxton,4269,4274,,,,,10,,10,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Brooke,2129,3060,,,,,104,,42,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Cabell,12845,13170,,,,,204,,64,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Calhoun,1773,1671,,,,,2,,1,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Clay,1533,1981,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Doddridge,1137,3135,,,,,12,,13,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Fayette,9003,10561,,,,,340,,30,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Gilmer,1854,1635,,,,,6,,15,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Grant,492,2417,,,,,26,,7,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Greenbrier,4994,4850,,,,,55,,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Hampshire,2221,1214,,,,,10,,22,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Hancock,1435,2768,,,,,101,,60,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Hardy,2014,1354,,,,,6,,1,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Harrison,10206,13784,,,,,620,,149,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Jackson,2831,4330,,,,,18,,2,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Jefferson,3944,2168,,,,,29,,6,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Kanawha,19284,23781,,,,,627,,77,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Lewis,3310,4618,,,,,109,,45,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Lincoln,2649,3339,,,,,19,,1,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Logan,5588,4304,,,,,27,,17,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Marion,8734,11494,,,,,16,,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Marshall,4814,7208,,,,,408,,175,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Mason,3177,4912,,,,,259,,99,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,McDowell,5068,12198,,,,,101,,13,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Mercer,7981,8613,,,,,38,,18,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Mineral,2516,3646,,,,,99,,36,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Mingo,4934,3972,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Monongalia,3442,6773,,,,,284,,85,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Monroe,2519,3001,,,,,8,,4,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Morgan,712,1817,,,,,13,,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Nicholas,3564,3691,,,,,27,,23,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Ohio,10278,15735,,,,,746,,83,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Pendleton,1814,1581,,,,,0,,4,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Pleasants,1449,1657,,,,,16,,10,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Pocahontas,2540,2836,,,,,26,,19,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Preston,2150,6729,,,,,87,,38,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Putnam,2578,3223,,,,,108,,6,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Raleigh,5916,7668,,,,,53,,9,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Randolph,4676,4158,,,,,153,,31,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Ritchie,2050,4377,,,,,40,,28,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Roane,3082,4232,,,,,6,,4,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Summers,3552,3611,,,,,15,,9,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Taylor,2311,3649,,,,,76,,44,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Tucker,1961,2498,,,,,185,,39,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Tyler,1762,3654,,,,,63,,30,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Upshur,1418,4936,,,,,12,,30,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Wayne,4490,3754,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Webster,1942,1562,,,,,5,,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Wetzel,4103,3619,,,,,54,,28,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Wirt,1376,1680,,,,,4,,1,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Wood,8839,10463,,,,,129,,47,,,,,,,,,,,,,,,,,,,,
West Virginia,1920,President,Wyoming,1825,2950,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Barbour,3188,3347,830,,,,,,,6,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Berkeley,4366,5427,410,,,,,,,2,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Boone,3326,3010,939,,,,,,,9,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Braxton,5168,4192,117,,,,,,,13,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Brooke,2037,3858,558,,,,,,,48,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Cabell,16211,15581,1133,,,,,,,44,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Calhoun,2231,1399,2,,,,,,,1,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Clay,2037,1843,40,,,,,,,0,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Doddridge,1594,2777,57,,,,,,,1,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Fayette,9563,10555,2411,,,,,,,29,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Gilmer,2750,1570,28,,,,,,,2,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Grant,658,2344,99,,,,,,,4,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Greenbrier,6048,4768,415,,,,,,,57,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Hampshire,2993,1172,38,,,,,,,1,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Hancock,1187,3775,320,,,,,,,29,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Hardy,2442,1272,33,,,,,,,3,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Harrison,13470,15165,2009,,,,,,,66,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Jackson,2936,3739,51,,,,,,,8,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Jefferson,4368,1870,191,,,,,,,4,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Kanawha,22726,26018,4071,,,,,,,136,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Lewis,4410,4839,218,,,,,,,3,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Lincoln,3355,3164,171,,,,,,,0,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Logan,7377,7062,569,,,,,,,43,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Marion,9386,12167,2482,,,,,,,31,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Marshall,4710,7413,1194,,,,,,,25,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Mason,3308,4225,547,,,,,,,10,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,McDowell,5561,12422,1716,,,,,,,33,,,,,,,,,,,,,,,,,,,
