State,Year,Office,County,D#,R#,ATP#,PMP#,AF#,Labor#,Proh.#,SD#,SW#,SL#,S&L#,Pop.#,S#,Comm.#,Prog.#,CON#,FL#,Delta#,VH#,Cons.#,WL#,WW#,DWL#,PF#,Wor.#,ST#,RTL#,MC#,CL#,6MJ#,NJJ#,NSA#,U#,Am.#,GW#,I1#,I2#,I3#,I4#,I5#,I6#,I7#,L#,NA#,Cit.#,NL#,Ref.#,G#,W/I1#,W/I2#,W/I3#,W/I4#,EG#,ARN#,UIS#,FoC#,DR#,EdB#,JS#,TIC#,RFI#,NS#,RefN#,GWT#,DefLife,PPC#,Boss#,PR#,DDD#,CoC#,Repeal,GR#,PAJ#,VIV#,Tow#,Con#,PC#,S,W,Proh.,Labor,IV#,MiS#,NewDay,FTP#,LM#,I8#,I9#,W/I#,MCE#,LIV#,PNP#,MGB#,OEO#,TTL#,Cmmty,L&O#,TSM#,IHA#,LBE#,MCC#,F#,TW#,TR#,DefNC,IC#,VB#,SSS#,VBN#,PWL#,AA#,JVB#,IVP#,ING#,Roos#,PFE#,TR#.1,TEC#,S1#,S2#,ENC#,C#,WTP#,GSN#,ONJ#,Var#,PD#,CWL#,FEP#,LFG#,RPT#,I10#,I11#,I12#,I13#,I14#,I14#.1,I15#,I16#,Year / Office,D1#,D2#,IA#,None#,I#,OBF#,LWR#,Unity#,All.#
New Jersey,1904,President,Camden,9423,18225,,,,,569,,,45,,114,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Cape May,1238,2832,,,,,122,,,3,,11,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Cumberland,3317,7402,,,,,548,,,30,,56,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Essex,25452,50508,,,,,582,,,647,,842,2479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Gloucester,2818,4829,,,,,399,,,13,,58,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Hudson,38021,36683,,,,,372,,,696,,677,2860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Hunterdon,4360,3856,,,,,291,,,10,,116,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Mercer,8528,14900,,,,,335,,,118,,119,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Middlesex,6996,10117,,,,,214,,,69,,173,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Monmouth,9032,10885,,,,,415,,,45,,109,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Morris,4768,8201,,,,,514,,,104,,246,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Ocean,1709,3666,,,,,140,,,7,,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Passaic,11532,17705,,,,,261,,,439,,433,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Salem,2775,3694,,,,,228,,,5,,35,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Somerset,3195,4633,,,,,136,,,18,,44,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Sussex,3133,2642,,,,,141,,,8,,86,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Union,8574,13906,,,,,261,,,204,,120,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1904,President,Warren,4368,3935,,,,,402,,,51,,102,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
