State,Year,Office,County,D#,R#,L#,G#,NL#,Ref.#,Cit.#,Work.#,NA#,C#,I1#,I2#,I3#,I4#,PF#,SW#,S#,New#,SL#,Union,Comm.#,Proh.#,Prog.#,Pop.#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,W/I12#,W/I13#,W/I14#,W/I15#,W/I16#,W/I17#,PoP,AE#,SA#
Arizona,1924,President,Santa Cruz,673,579,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,
Arizona,1924,President,Yavapai,1800,2827,,,,,,,,,,,,,,,,,,,,,2136,,,,,,,,,,,,,,,,,,,,,
Arizona,1924,President,Yuma,851,1280,,,,,,,,,,,,,,,,,,,,,935,,,,,,,,,,,,,,,,,,,,,
Arizona,1928,President,Apache,791,837,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1928,President,Cochise,4262,5776,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1928,President,Coconino,1172,1717,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1928,President,Gila,3341,3436,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1928,President,Graham,1615,1238,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1928,President,Greenlee,935,685,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1928,President,Maricopa,12146,20089,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1928,President,Mohave,728,1127,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1928,President,Navajo,1316,1608,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1928,President,Pima,4976,6635,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1928,President,Pinal,1419,1631,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1928,President,Santa Cruz,962,919,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1928,President,Yavapai,3285,4507,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1928,President,Yuma,1589,2328,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1932,President,Apache,1271,760,,,,,,,,,,,,,,,2,,,,1,,,,0,,,,,,,,,,,,,,,,,,,
Arizona,1932,President,Cochise,7798,2838,,,,,,,,,,,,,,,571,,,,9,,,,0,,,,,,,,,,,,,,,,,,,
Arizona,1932,President,Coconino,2689,1110,,,,,,,,,,,,,,,50,,,,4,,,,0,,,,,,,,,,,,,,,,,,,
Arizona,1932,President,Gila,4625,1865,,,,,,,,,,,,,,,209,,,,19,,,,0,,,,,,,,,,,,,,,,,,,
Arizona,1932,President,Graham,2867,718,,,,,,,,,,,,,,,30,,,,10,,,,0,,,,,,,,,,,,,,,,,,,
Arizona,1932,President,Greenlee,1558,377,,,,,,,,,,,,,,,6,,,,13,,,,0,,,,,,,,,,,,,,,,,,,
Arizona,1932,President,Maricopa,28601,15086,,,,,,,,,,,,,,,489,,,,95,,,,9,,,,,,,,,,,,,,,,,,,
Arizona,1932,President,Mohave,1660,537,,,,,,,,,,,,,,,81,,,,5,,,,0,,,,,,,,,,,,,,,,,,,
