State,Year,Office,County,D#,R#,Proh.#,Pop.#,S#,Comm.#,SW#,SL#,FL#,Prog.#,Nat.#,UR#,UC#,Cont.#,Ind.#,ST#,Wor.#,WW#,CL#,Cit.#,Labor#,Sol.#,NA#,New#,U#,ID#,SD#,C#,I1#,I2#,Ref.#,NL#,G#,L#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,IR#,CON#,LLMR#,LWB#,WC#,HL#,PP#,AN#,Liberty#,HCR#,IND#,Coop#,Liberal#,CWL#,S&L#
Illinois,1922,Treasurer,Cass,2752,2306,,,122,,,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Champaign,4780,9369,,,122,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Christian,5841,5869,,,196,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Clark,3802,4019,,,33,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Clay,2789,3165,,,41,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Clinton,2642,2267,,,145,,,,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Coles,5841,6995,,,55,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Cook,360125,378838,,,23425,,,,5941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Crawford,4128,4054,,,20,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Cumberland,2295,2504,,,21,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,De Witt,2640,3682,,,66,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,DeKalb,1269,5901,,,91,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Douglas,1437,2672,,,29,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,DuPage,2074,7374,,,207,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Edgar,5687,5805,,,50,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Edwards,789,2240,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Effingham,3520,2659,,,14,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Fayette,4655,4890,,,76,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
